	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
T63_LPS_FC1_4	0.0489920076580236	0.220140470512206	0.0006635965572444	0.0704131607347811	0.618394504240673	0.0413962602970728
T81_LPS_FC1_4	0.131412351948174	0.169602673675426	0.337371944110031	0.0976689929121253	0.263941517115401	2.5202388427157e-06
T104_LPS_FC1_4	0.0362798241457238	0.0654540840926429	0.574486487291246	0.0229652805828252	0.28410447969851	0.0167098441890513
T4_GARD_BATCH_2	0.142271051915703	0.0165000669283627	0.390161951498235	7.8885027028451e-06	0.317812799397562	0.133246241757434
K47_LPS_FC1_4	0.0376426331366581	0.273827334805771	0.207911442892662	0.07312394895777	0.407482222131864	1.24180752751446e-05
T4_CTL_FC5	0.128428637197013	0.0168998257686903	0.428570794081944	1.71717195817613e-05	0.29182779711794	0.13425577411483
T12_CTL_B_BATCH_2	0.0628643938909378	0.159394401567847	0.669926010120863	5.90653815006031e-05	0.0387375268124318	0.0690186022264203
T84_LPS_FC1_4	0.0550182647312209	0.170027247397195	0.263303833798856	0.0230576195299891	0.47009764789973	0.0184953866430087
K44_LPS_FC1_4	0.0811489534140461	0.118587916681094	0.514888709349495	0.003072031938594	0.264087289099714	0.018215099517058
K10_LPS_FC1_4	0.0336488901209027	0.0352102563029282	0.516851446748584	2.65592155336541e-05	0.333265694418893	0.0809971531931577
T13_LPS_FC1_4	0.14148693224663	0.262412596976147	0.0827698670926539	0.0691477137412498	0.444170441974392	1.24479689272626e-05
T119_LPS_FC1_4	0.0526388235231875	0.0593854219383164	0.549955982393072	0.0714464242063922	0.229955129785596	0.0366182181534363
T115_LPS_FC1_4	0.0937930138884103	0.199555872957462	0.188880340302403	0.0926629250702546	0.425103767244844	4.08053662543723e-06
K19_CTL_FC1_4	0.103349282563197	0.0119083826988523	0.777149889929713	0.0081694115224206	0.0195165926345077	0.0799064406513094
T9_LPS_FC1_4	0.0554797367454052	0.135235385063484	0.485539877659857	0.0478471058646857	0.275890118614102	7.77605246595274e-06
T30_CTL_FC1_4	0.0960061404741667	0.223877931488231	0.388445172816759	0.0424743926660231	0.158831723621309	0.0903646389335103
T15_GARD_BATCH_2	0.413229373176438	0.0312904200251914	0.290612595907058	0.0096557920648801	0.242622072784425	0.0125897460420084
T101_GARD_BATCH_2	0.11905877389874	0.117312587966353	0.128236778560773	0.0267314429654097	0.365075160324345	0.24358525628438
K29_CTL_FC1_4	0.138520671597958	0.0609839106319497	0.634069487863745	0.040256171267407	0.091469644489771	0.0347001141491694
T32_GARD_BATCH_2	0.13160070841698	0.218542858697061	0.305945303168543	0.157719373404823	0.174403340735208	0.0117884155773861
T34_CTL_FC1_4	0.127440879124767	0.0668539283942003	0.454290238697777	1.11022410575113e-05	0.218145335523989	0.133258516018209
T120_GARD_BATCH_2	0.0609542405085629	0.0329275059539227	0.445668004578554	0.0139761966888084	0.4464609942763	1.30579938525255e-05
T15_CTL_FC1_4	0.339577066336652	0.0111076308205807	0.427469491412551	1.06181652895854e-05	0.177136893834773	0.0446982994301545
T31_CTL_FC1_4	0.262155383250149	0.0818703208350471	0.372250888526719	0.109333260804528	0.0873701080614549	0.0870200385221026
T65_LPS_FC1_4	0.0348738653219501	0.127928591922002	0.565749813435848	0.0471693182983428	0.169184153499861	0.0550942575219959
