	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
T63_LPS_FC1_4	0.0364707234590891	0.263237928736041	0.0001092801880056	2.48559492278476e-06	0.626264171784725	0.0739154102372171
T81_LPS_FC1_4	0.127674122967022	0.184564178002382	0.294731451921542	0.0002151849882753	0.392813895596128	1.16652465024009e-06
T104_LPS_FC1_4	0.0299998820131172	0.0709014252027588	0.483342441467236	4.40401213005414e-06	0.413269651259527	0.0024821960452314
T4_GARD_BATCH_2	0.0913556489033018	4.01546643164113e-06	0.297427937768542	0.0249944467661976	0.51164477279292	0.0745731783026061
K47_LPS_FC1_4	0.0419632264314643	0.299606287340219	0.159379154778974	0.0093237778269383	0.489595643670866	0.0001319099515385
T4_CTL_FC5	0.0822380897736716	1.4392623695413e-05	0.330776346267997	0.0239053284678162	0.492771348923284	0.0702944939435354
T12_CTL_B_BATCH_2	0.0215089941663072	0.0525259476667332	0.52904094028124	0.113611695480255	0.247002653990227	0.0363097684152373
T84_LPS_FC1_4	0.043054801875253	0.150723859086264	0.219788657155657	2.19840407361368e-05	0.583179338711809	0.0032313591302812
K44_LPS_FC1_4	0.0708514913655027	0.0890476144869673	0.44798894449934	1.08908344940352e-05	0.392094378925745	6.67988795065447e-06
K10_LPS_FC1_4	0.0268140470070712	0.0285479546603767	0.398011975311793	2.54877209823478e-06	0.537339586880916	0.0092838873677455
T13_LPS_FC1_4	0.117774411914317	0.275329419813051	0.0392903087224668	0.0003568963242404	0.565803202327432	0.001445760898494
T119_LPS_FC1_4	0.0501100516306201	0.079433356673603	0.479664961429573	0.0019348990815689	0.367139942083448	0.0217167891011873
T115_LPS_FC1_4	0.0887158067358569	0.267283597512873	0.0716520440878819	0.0011243101420345	0.570595476710771	0.0006287648105823
K19_CTL_FC1_4	0.0636005077295674	2.82086432318616e-06	0.652366558310615	0.0309371732867114	0.214112142581641	0.0389807972271421
T9_LPS_FC1_4	0.0499384318499223	0.121203890491342	0.440482675906339	0.0002689245546733	0.388102929758905	3.14743881779456e-06
T30_CTL_FC1_4	0.0300305221984197	0.0804616992001502	0.285507803401265	0.19696048874464	0.340464953646122	0.0665745328094025
T15_GARD_BATCH_2	0.318284811452469	0.0097675483314749	0.23201568244121	0.0529714260471517	0.377522784937197	0.0094377467904974
T101_GARD_BATCH_2	0.0695447927528629	0.0768203850149758	0.0511574993225163	0.0588767299934008	0.524337166929071	0.219263425987173
K29_CTL_FC1_4	0.0884182940496037	0.0213728718871912	0.51345849103835	0.0926496690635517	0.271797031156727	0.0123036428045771
T32_GARD_BATCH_2	0.0856223317153171	0.202459773285247	0.179124476789795	0.164928996663498	0.318203514374086	0.0496609071720578
T34_CTL_FC1_4	0.0773003625072493	0.0183069667119298	0.342116030662997	0.0502629671612312	0.421780396695048	0.0902332762615447
T120_GARD_BATCH_2	0.0582062047885269	0.0460328141151125	0.276201589293294	1.46412629385987e-06	0.6195374060186	2.05216581727233e-05
T15_CTL_FC1_4	0.250336860317358	0.0011352978772756	0.336325563394518	0.0195626552417161	0.367816101036784	0.0248235221323478
