	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
CYFZ	0.123753609689447	0.245433731922464	0.0643098292661708	0.232902773390068	0.15053713989307	0.183062915838782
FY2H	0.0538087131770086	0.382610341342522	0.0153816903034722	0.318809262854827	0.161734517559509	0.0676554747626614
FLWA	0.117686900386212	0.246293398671645	0.073804185897082	0.279675557102301	0.142868275204245	0.139671682738516
453W	0.047803619704296	0.27594738880807	0.13075850729177	0.19282146742464	0.204517084799191	0.148151931972033
684C	0.361296876447567	0.182560521872668	0.111880361289162	0.18095517508698	0.0861522385963371	0.0771548267072859
CZJE	0.1294867446323	0.240418691292324	0.115090791071342	0.341665998210321	0.0730703202319973	0.100267454561715
925L	0.166442362314616	0.167461594601558	0.0798686998558068	0.307033493288383	0.142960897499181	0.136232952440455
9JD4	0.177777893477895	0.104748233745754	0.156106488547882	0.314772680175691	0.101222634019497	0.145372070033281
G4YW	0.248197132053999	0.249503991954694	0.0923270323204529	0.188516528474102	0.0615746553989003	0.159880659797851
4DUY	0.214042790802763	0.181460051840413	0.163244521405769	0.238256854058742	0.0493654242716221	0.15363035762069
36TS	0.0527302443191057	0.356228413820508	0.0499492322435044	0.329089569041517	0.126754524145969	0.0852480164293955
CR3L	0.254246291765288	0.278662972369894	0.135949405034978	0.193728948949381	0.0639890891529575	0.0734232927275013
