Mixture	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
CYFZ	0.105721032147379	0.159211097770902	0.288502073073709	0.27152665561954	0.135703183414924	0.0393359579735475
FY2H	0.032490348183235	0.343995776729178	0.249403127482427	0.295576310850216	0.061002695076755	0.0175317416781894
FLWA	0.0691262993337287	0.249710634765385	0.285426717957545	0.284276813337239	0.0683387517557273	0.0431207828503747
453W	0.0	0.2867299827461	0.375442799337749	0.197084720843446	0.0597682126828657	0.0809742843898385
684C	0.303884820016101	0.140648600536846	0.326388628674907	0.164482585490862	0.059741228445297	0.0048541368359878
CZJE	0.102018381921518	0.262119421082289	0.329559880808628	0.257342097114615	0.0101469746340802	0.0388132444388693
925L	0.110583345131631	0.187219352865367	0.327975296369623	0.253691713841423	0.0879940957814366	0.0325361960105197
9JD4	0.137217719175242	0.0558473629066752	0.408681849837872	0.31223878460592	0.0343414482225063	0.051672835251785
G4YW	0.249388091123145	0.195219467163778	0.277550909772033	0.191428736509285	0.0393375006657013	0.0470752947660588
4DUY	0.177752368924338	0.129240557286254	0.430824820587378	0.226280135719579	0.0188840726991751	0.017018044783276
36TS	0.0686582208668483	0.424547610764503	0.247545761483932	0.168929166899467	0.0608730536360269	0.0294461863492233
CR3L	0.218041368245238	0.194810353788559	0.333281735289302	0.225575997563447	0.009595558130178	0.0186949869832761
