	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
CYFZ	0.275727116	0.1087888232	0.1852203979999999	0.088139068	0.144882706	0.197241868
FY2H	0.4882938620000001	0.124293536	0.136793602	0.0630068387999999	0.0803909372	0.1072212236
FLWA	0.313787298	0.1211184192	0.160081176	0.078663521	0.13457342	0.191776184
453W	0.3243924139999999	0.093375135	0.1686700699999999	0.052773123	0.118384328	0.242404936
684C	0.2527886379999999	0.1032999872	0.276923374	0.101206207	0.1027246222	0.163057146
CZJE	0.3107885579999999	0.128154191	0.1888033119999999	0.094201222	0.103494041	0.174558694
925L	0.27584438	0.100319898	0.166437072	0.154427226	0.110078311	0.192893124
9JD4	0.2042922439999999	0.126573996	0.225518386	0.083720013	0.1107037199999999	0.249191634
G4YW	0.3310506199999999	0.095190637	0.172456002	0.0760682864	0.134015284	0.191219162
4DUY	0.29270722	0.0861696322	0.283351354	0.076920673	0.111039926	0.14981118
36TS	0.526520904	0.103506414	0.146963085	0.0501551879999999	0.080494844	0.0923595771999999
CR3L	0.2902374319999999	0.121548254	0.240886824	0.1096735008	0.090907977	0.14674603
