	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.5345515	0.11319133	0.032887395	0.0015514143	0.05512618	0.12662983
sample_1	0.3315879	0.063319236	0.39106563	-0.10086554	0.024137469	0.20907815
sample_2	0.3205613	0.120068036	-0.15434885	0.08269296	0.22954144	0.2020945
sample_3	0.57455987	0.10462322	0.10693544	0.02388403	0.059591856	-0.076016255
sample_4	0.5352208	0.08759908	-0.012833747	0.0033334745	0.06409658	0.11539728
sample_5	0.40292847	0.12904976	0.04136216	0.05338989	0.08113171	0.1293223
sample_6	0.45366216	0.1227991	-0.0952214	-0.033055607	0.15421905	0.18936987
sample_7	0.6449465	0.19083506	0.13910861	-0.07649147	0.09335396	-0.04400885
sample_8	0.48347816	0.1911562	0.1625291	-0.008666075	0.0719152	-0.024572732
sample_9	0.40518177	0.06773855	0.40299252	-0.011670612	0.043276113	0.022966752
sample_10	0.8287387	0.24729879	-0.014952905	-0.2527257	0.1211021	-0.017064806
sample_11	0.51801664	0.09510354	0.34130383	-0.03625022	0.03630277	0.029524663
sample_12	0.4103006	0.056700617	0.2808518	-0.017779132	0.042905316	0.15844043
sample_13	0.35630095	0.047125082	0.37144148	0.014787105	0.035309855	0.14900024
sample_14	0.3900478	0.11603842	0.3158573	0.009321206	-0.0009127806	0.054648
sample_15	0.66043955	0.15806428	0.21523283	-0.14192288	0.059938222	-0.08069009
sample_16	0.3075639	0.055160414	0.29356465	-0.050260525	0.061849132	0.18106742
sample_17	0.28638938	0.0065448084	0.3784473	0.05474584	0.0036664475	0.15217976
sample_18	0.39563397	0.1796407	0.41989228	-0.05966279	-0.038466755	0.027567843
sample_19	0.43357626	0.10588133	0.32043797	-0.089808576	0.051134605	0.09800967
