	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
CYFZ	0.29089212	0.027162569	0.15676169	0.08602644	0.10049644	0.18249257
FY2H	0.3703979	0.09573761	0.15161265	0.034245357	0.09427083	0.0754888
FLWA	0.29784134	0.084349215	0.14304534	0.06081416	0.1023132	0.16559024
453W	0.29375908	0.045427423	0.16398156	0.04506145	0.11188751	0.21166871
684C	0.25133	0.052760646	0.22851211	0.090250134	0.100913666	0.12867308
CZJE	0.2969707	0.09539142	0.15637802	0.09003588	0.04868878	0.16632186
925L	0.28000996	0.03688296	0.16605462	0.16400048	0.084329724	0.17259912
9JD4	0.25130555	0.06316453	0.19610858	0.08936712	0.08932645	0.21225297
G4YW	0.334594	0.06601205	0.1580078	0.07415405	0.101349376	0.18540835
4DUY	0.3174027	0.017190127	0.23654127	0.084748395	0.11304725	0.1446542
36TS	0.43088937	0.07605938	0.14830117	0.034782585	0.0725303	0.09400479
CR3L	0.2871191	0.06853399	0.18840875	0.105906665	0.083202936	0.13347478
