	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X2_D0	0.3085696	0.25226668	-0.010175887	-0.14213128	0.14388494	0.30744424
X4_D0	0.32117668	0.06896783	-0.12871207	-0.193767	0.40048847	0.39128038
X5_D0	0.56634456	0.12583368	0.05686724	-0.2319712	0.19101673	0.16622837
X6_D0	0.50171024	0.13330859	-0.0669915	-0.12929212	0.20874482	0.27226618
X8_D0	0.26028684	0.12527443	0.04507209	-0.049431175	0.17788427	0.24447232
X10_D0	0.32217473	0.12416548	0.09783456	-0.099335335	0.16814864	0.23281647
X11_D0	0.38989282	0.1553433	0.0892727	-0.10293585	0.13521947	0.20916116
X12_D0	0.3962823	0.13886212	-0.056832876	-0.17931241	0.17408097	0.3236885
X13_D0	0.5061253	0.23342638	0.22657903	-0.18211299	0.09145838	0.035222936
X14_D0	0.36833572	0.1895891	0.09865758	-0.25528145	0.2025582	0.23951627
X15_D0	0.3814946	0.09203901	0.095266886	-0.07926672	0.23866564	0.1628877
X19_D0	0.5313094	0.14602348	-0.17480528	-0.22094454	0.31720114	0.23517787
X20_D0	0.36615288	0.043253	0.066552155	-0.17294322	0.27657363	0.28353104
X23_D0	0.2837305	0.17712814	0.090042256	-0.17862217	0.13918914	0.30691335
X24_D0	0.3666753	0.10181383	0.27688706	-0.13199289	0.11409398	0.16294815
X27_D0	0.58855176	0.048940852	-0.057068367	-0.1604585	0.20181741	0.29364398
X29_D0	0.48896185	0.17345555	-0.06691267	-0.2407971	0.13618192	0.31854722
X31_D0	0.28660515	0.11059221	0.015237831	-0.19562642	0.2258176	0.41881803
X32_D0	0.29814515	0.24771531	-0.022374501	-0.11249856	0.13914062	0.31411597
X33_D0	0.33154416	0.24501745	-0.08401668	-0.21673155	0.23601432	0.33171722
X35_D0	0.3231744	0.16246822	-0.08839705	-0.18673313	0.24351448	0.4410901
X36_D0	0.5262421	0.13064694	0.0744697	-0.13998608	0.13311306	0.12266169
X38_D0	0.32115844	0.19213535	0.02613122	-0.1562833	0.1637188	0.2889224
X39_D0	0.45630845	0.2290442	0.054542016	-0.21322787	0.17233504	0.17277615
X40_D0	0.36581922	0.088374294	0.13258761	-0.16460805	0.17373967	0.2358074
X42_D0	0.35640386	0.12358424	-0.025230626	-0.17633569	0.24240826	0.3028684
X44_D0	0.46813822	0.25369355	-0.06267268	-0.16101897	0.20153666	0.15153906
X45_D0	0.5283143	0.23491192	-0.12054518	-0.20139158	0.16055799	0.2903769
X46_D0	0.4857075	0.124762625	-0.033217486	-0.18798701	0.2497021	0.20353603
X48_D0	0.39772496	0.16196734	0.04464361	-0.17060584	0.23654173	0.18548153
X49_D0	0.45399356	0.015507703	-0.1213843	-0.17205578	0.292817	0.34831178
X50_D0	0.40872398	0.18101187	0.109012544	-0.18844886	0.073230796	0.2719986
X51_D0	0.28972793	0.22304098	0.11197546	-0.13306646	0.005478038	0.41100442
X52_D0	0.3753952	0.2379442	0.103602886	-0.17479134	0.06226756	0.2787614
X53_D0	0.343915	0.19708474	0.11640545	-0.17933434	0.07099091	0.369336
X54_D0	0.2985635	0.16493535	0.058104485	-0.102692984	0.028222987	0.43611228
X55_D0	0.31734928	0.28232074	0.026214046	-0.10747663	0.08318411	0.27545962
X56_D0	0.41690585	0.17721532	0.03593339	-0.21727245	0.1716774	0.29347393
X57_D0	0.32138678	0.13162743	0.06127807	-0.1527465	0.17105739	0.3416787
X58_D0	0.61057454	0.10994657	0.080287315	-0.2091235	0.086391635	0.22582753
X59_D0	0.3671057	0.287181	0.0019108007	-0.19587755	0.23154594	0.2845484
X60_D0	0.32980844	0.13478334	0.08777156	-0.15161453	0.18122213	0.35603786
X62_D0	0.30037507	0.16506754	0.030063383	-0.20064978	0.20226616	0.37074843
X63_D0	0.47703704	0.12613703	0.010336788	-0.077561766	0.19445167	0.18486416
X64_D0	0.39153162	0.22771738	0.023008322	-0.17441042	0.12893496	0.2637528
X67_D0	0.42420325	0.14661962	0.02291228	-0.22483695	0.20916212	0.25542176
X68_D0	0.51151496	0.2321223	-0.060100004	-0.118293084	0.035056483	0.25457835
X69_D0	0.23563711	0.15527226	0.10253241	-0.16604753	0.12302049	0.34624135
X70_D0	0.51892585	0.2333417	0.13081925	-0.21660548	0.060789358	0.13108191
X71_D0	0.45919028	0.21350305	0.042860642	-0.201321	0.08649043	0.3071374
X73_D0	0.373356	0.14590175	0.08685192	-0.17232747	0.086040966	0.3145716
X74_D0	0.41342178	0.16289778	0.08393844	-0.11742606	0.11139914	0.17903392
X75_D0	0.39413616	0.18637528	0.07037621	-0.1992743	0.07818716	0.27923813
X76_D0	0.29417643	0.06825779	0.07536769	-0.13430925	0.1550851	0.43591097
X77_D0	0.4621819	0.21708584	0.015046938	-0.1723619	0.1356643	0.25989726
X78_D0	0.559758	0.2485435	-0.021022758	-0.17604248	0.07157319	0.20634443
X79_D0	0.43106627	0.1673491	0.07441851	-0.14546192	0.116338134	0.19847131
X80_D0	0.34791622	0.14638573	0.14317405	-0.21151198	0.13072129	0.28419802
X81_D0	0.35514376	0.14884919	0.16012938	-0.20156044	0.044656724	0.4007285
X83_D0	0.31801528	0.21833992	0.13148202	-0.18598865	0.10027961	0.26725113
X84_D0	0.48698238	0.23877464	-0.027207144	-0.1682688	0.17653108	0.24512999
X85_D0	0.3850654	0.17737103	0.046049487	-0.14204364	0.14527784	0.23169558
X86_D0	0.3716643	0.14933698	0.095258765	-0.19157137	0.1963317	0.25508043
X87_D0	0.40005955	0.2259006	-0.05370559	-0.20495528	0.21906517	0.21361266
X90_D0	0.6073794	0.1673346	-0.0017316785	-0.21693917	0.20366293	0.16458368
X91_D0	0.5275218	0.16716419	0.10388594	-0.18615992	0.1727932	0.06930112
X92_D0	0.48390165	0.19952178	-0.002555538	-0.16126741	0.18734325	0.17017134
X93_D0	0.47388577	0.27016357	0.10519778	-0.28152648	0.19228165	0.07644814
X94_D0	0.5487091	0.17560716	0.069684304	-0.106573425	0.115919106	0.116051175
X95_D0	0.08628169	0.2951159	-0.06561883	-0.31001374	0.34786955	0.5768762
X96_D0	0.50657415	0.14925943	0.07186948	-0.26812205	0.30060276	0.16205746
X99_D0	0.48758844	0.099654876	-0.004484181	-0.16104327	0.22064352	0.21906066
X100_D0	0.32911828	0.17975207	-0.008957828	-0.20048697	0.24183172	0.2930844
X102_D0	0.44227812	0.22715168	-0.069782875	-0.28480175	0.18966746	0.39441285
X104_D0	0.53445905	0.15125106	-0.13594997	-0.20669806	0.21080947	0.29449162
X105_D0	0.49354538	0.14997055	-0.030051624	-0.2085646	0.20947307	0.17625724
X107_D0	0.47651362	0.1215836	-0.00420255	-0.1389395	0.15528327	0.2097587
X108_D0	0.33775565	0.12806612	0.05833748	-0.13480224	0.16717102	0.29491913
X116_D0	0.53379	0.12065277	-0.011407179	-0.2320158	0.21097867	0.2199421
X118_D0	0.4116714	0.12221374	0.04725158	-0.23227964	0.22165143	0.25488618
X119_D0	0.4051013	0.22569408	0.093363106	-0.21862192	0.17516804	0.16912638
X122_D0	0.53332824	0.11288536	-0.071454175	-0.22006643	0.21913601	0.2155988
X123_D0	0.5698658	0.14098425	-0.0826109	-0.09938782	0.10741842	0.2057029
X124_D0	0.29977244	0.18070994	0.04168463	-0.14805317	0.1802441	0.29169008
X125_D0	0.5181428	0.1922431	-0.022687301	-0.19251335	0.11240473	0.25268266
X126_D0	0.4522874	0.17645544	-0.16458012	-0.24440007	0.23554671	0.42915344
X128_D0	0.56962806	0.17118776	0.037638556	-0.15064333	0.073971815	0.15502805
X129_D0	0.48743948	0.1016533	0.08126404	-0.19814073	0.19163096	0.14016016
X132_D0	0.38825908	0.14702918	0.051510468	-0.19906805	0.18364574	0.24232812
X135_D0	0.33456922	0.23432863	0.12842576	-0.21988235	0.16655071	0.23038578
X136_D0	0.3355399	0.2144262	0.06643333	-0.188011	0.21206127	0.2322799
X137_D0	0.47706056	0.20383203	0.047744382	-0.17085533	0.1116119	0.22670858
X138_D0	0.56667745	0.17511576	0.12425319	-0.20579337	0.04767098	0.16669935
X139_D0	0.3109518	0.19896759	0.14302018	-0.17230791	0.13412426	0.22934361
X142_D0	0.39262787	0.1405225	0.009284587	-0.17600201	0.18939024	0.24388927
X143_D0	0.35426533	0.13790157	0.034436163	-0.1777953	0.16733338	0.28833416
X144_D0	0.45496193	0.14353146	-0.034365285	-0.14075543	0.158543	0.2951425
X145_D0	0.6534054	0.11958272	-0.084138416	-0.1166952	0.23813622	0.10042453
X146_D0	0.4108659	0.16075695	-0.009941629	-0.16493972	0.21636897	0.28383952
X147_D0	0.5248883	0.15326732	0.0672289	-0.20117915	0.1557275	0.17836732
X149_D0	0.31625244	0.1628818	-0.022761928	-0.16752644	0.22339897	0.29315746
X150_D0	0.36339867	0.21612455	0.04202858	-0.15394787	0.15388608	0.2545608
X152_D0	0.4359809	0.098659806	-0.018491566	-0.087696336	0.20386529	0.24554189
X153_D0	0.5014884	0.17011763	0.15111147	-0.26771724	0.15415718	0.16858046
X154_D0	0.48228025	0.14511327	-0.07450345	-0.10474542	0.14470714	0.30606833
X155_D0	0.51112026	0.13723439	-0.05222259	-0.17874934	0.22684269	0.22544438
X160_D0	0.42364523	0.12789035	0.0069688745	-0.15059517	0.224558	0.22849588
X161_D0	0.4574691	0.13934146	0.18164688	-0.25254956	0.11885565	0.20768976
X165_D0	0.5403403	0.14052418	-0.052793134	-0.13777538	0.20092817	0.2209065
X167_D0	0.42565003	0.15138607	0.23454863	-0.23050344	0.1327723	0.18991846
X168_D0	0.4498736	0.19599771	0.078839295	-0.1894088	0.14411663	0.1932304
X169_D0	0.41315114	0.21063043	-0.026138589	-0.1865964	0.16726561	0.23273487
X170_D0	0.33707094	0.098748386	-0.12336322	-0.14321421	0.25144127	0.43341872
X171_D0	0.5641835	0.2247291	0.007896009	-0.26512638	0.16911119	0.16825308
X172_D0	0.46738443	0.14999096	0.008838837	-0.19631843	0.18063426	0.2701708
X173_D0	0.45010796	0.09480762	0.1801175	-0.21522336	0.1031068	0.23160094
