	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
CYFZ	0	0.427817607299954	0	0	0.572182392700046	0.0
FY2H	0	0.632982949972803	0	0	0.367017050027197	0.0
FLWA	0	0.434723178605601	0	0	0.548132863396235	0.017143957998164
453W	0	0.405331112970601	0	0	0.586874518953214	0.0077943680761853
684C	0	0.395547943748347	0	0	0.588319388658995	0.0161326675926586
CZJE	0	0.490095964832404	0	0	0.466534812345141	0.0433692228224549
925L	0	0.466275574752121	0	0	0.507240817858744	0.0264836073891345
9JD4	0	0.383849962094542	0	0	0.588454325744634	0.0276957121608234
G4YW	0	0.503701394465236	0	0	0.487440110689742	0.0088584948450219
4DUY	0	0.451841719695869	0	0	0.523226892776027	0.0249313875281047
36TS	0	0.582537348696082	0	0	0.417383364096695	7.92872072239352e-05
CR3L	0	0.439013562656082	0	0	0.560986437343918	0.0
