	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.4099535	0.09949692	0.19181962	0.04450902	0.09641927	0.15780161
sample_1	0.28469095	0.07871748	0.3606367	0.036620934	0.07517075	0.16416319
sample_2	0.27746677	0.104490615	0.13138874	0.093801975	0.18048517	0.21236674
sample_3	0.45374313	0.08917258	0.24680078	0.0555891	0.07550318	0.07919117
sample_4	0.39408836	0.09599408	0.21842028	0.060267214	0.074063994	0.15716608
sample_5	0.33314797	0.099044174	0.22892219	0.072113946	0.09352235	0.17324932
sample_6	0.37672773	0.091414906	0.15920295	0.04625755	0.1114767	0.21492016
sample_7	0.4504306	0.102134824	0.24182953	0.040193576	0.07597148	0.08943995
sample_8	0.35625044	0.114266485	0.2753438	0.053076938	0.095685996	0.105376326
sample_9	0.27610606	0.09237789	0.36551583	0.05511708	0.085980296	0.12490285
sample_10	0.64188725	0.100263655	0.09834244	0.014737177	0.07794114	0.06682825
sample_11	0.31805694	0.09525593	0.33974257	0.049081724	0.0819029	0.11595994
sample_12	0.27436945	0.080541186	0.33875993	0.06903667	0.06504285	0.17224997
sample_13	0.24287687	0.081311	0.3526509	0.06402435	0.09048434	0.16865246
sample_14	0.3013284	0.095482476	0.36809698	0.05757096	0.058329914	0.11919125
sample_15	0.51376915	0.08760563	0.24754459	0.02228363	0.060641196	0.06815576
sample_16	0.23660396	0.077878706	0.32825848	0.053902686	0.07466349	0.2286927
sample_17	0.21365489	0.06632804	0.38312748	0.07457123	0.052295983	0.21002233
sample_18	0.32199535	0.10232871	0.34091496	0.04368474	0.06781144	0.12326477
sample_19	0.33295086	0.080141634	0.32113484	0.040966306	0.08055446	0.14425187
