	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X2_D0	0.32188502	0.07970656	0.2148187	0.04649879	0.12466971	0.2124212
X4_D0	0.2811936	0.061357502	0.12929308	0.03769892	0.24376494	0.24669194
X5_D0	0.46529278	0.050860118	0.22063355	0.020484466	0.11696637	0.1257628
X6_D0	0.40002385	0.0670647	0.16934955	0.02981501	0.12984268	0.20390421
X8_D0	0.28327242	0.075607486	0.26542962	0.0709795	0.11721287	0.18749805
X10_D0	0.32119188	0.06815668	0.27180395	0.07081431	0.11589982	0.15213333
X11_D0	0.33578956	0.076927535	0.2636952	0.050664473	0.0969257	0.17599757
X12_D0	0.35816	0.07931844	0.20160373	0.038453717	0.120191716	0.20227243
X13_D0	0.45958638	0.08081812	0.30262524	0.034464773	0.059578527	0.062926956
X14_D0	0.3404101	0.08966857	0.26686928	0.02894595	0.13420068	0.13990544
X15_D0	0.35510838	0.07024034	0.27318534	0.060332537	0.12272792	0.11840544
X19_D0	0.43423948	0.07227147	0.08917921	0.026441487	0.2357651	0.14210324
X20_D0	0.32757345	0.065613516	0.25064412	0.03399824	0.15144466	0.1707261
X23_D0	0.30621076	0.07812774	0.26230288	0.044247855	0.10528037	0.20383042
X24_D0	0.3679533	0.06874909	0.38355228	0.053026974	0.048908796	0.07780961
X27_D0	0.45163134	0.046547666	0.17541349	0.026094163	0.11509627	0.18521704
X29_D0	0.41391572	0.072501056	0.19676405	0.027510205	0.10697033	0.1823386
X31_D0	0.27499458	0.06717486	0.2419446	0.03377086	0.13636322	0.24575187
X32_D0	0.29940167	0.092025764	0.26369607	0.060807273	0.10610768	0.17796154
X33_D0	0.32003853	0.07986467	0.1450931	0.029934056	0.18419655	0.24087305
X35_D0	0.2918508	0.06863638	0.17280935	0.040492248	0.1799189	0.24629234
X36_D0	0.4721806	0.05995981	0.2476803	0.02974101	0.094167165	0.096271105
X38_D0	0.3025888	0.08229474	0.20965491	0.050674204	0.14003703	0.21475033
X39_D0	0.43238798	0.06583413	0.22148274	0.02680535	0.121325254	0.13216464
X40_D0	0.33269033	0.06751366	0.29183415	0.03614189	0.11688007	0.1549399
X42_D0	0.32378247	0.06644262	0.20386158	0.032042272	0.16305156	0.21081944
X44_D0	0.43869328	0.09073157	0.17170978	0.038866956	0.16114129	0.098857135
X45_D0	0.43813923	0.071208306	0.1581323	0.027708655	0.1262766	0.17853491
