	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.51578504	0.058664788	0.09910729	0.021838808	0.09999716	0.20460694
sample_1	0.22723775	0.04110563	0.15890814	0.019990606	0.15240861	0.40034923
sample_2	0.51326567	0.06563828	0.11621777	0.0171044	0.08172943	0.20604444
sample_3	0.48109612	0.03616031	0.17489873	0.014121659	0.0782927	0.21543045
sample_4	0.41949573	0.04305515	0.14822088	0.02351193	0.08773282	0.27798352
sample_5	0.38575038	0.052843392	0.20794518	0.016806887	0.11296629	0.2236879
sample_6	0.24766655	0.03596979	0.20063879	0.017739354	0.1088537	0.38913187
sample_7	0.55160946	0.07833112	0.110588335	0.01891248	0.092112206	0.1484464
sample_8	0.42437983	0.06323705	0.14586017	0.030306645	0.09454871	0.24166767
sample_9	0.50837153	0.054610502	0.18906088	0.015657851	0.044536244	0.18776304
sample_10	0.17410524	0.016717868	0.42200527	0.031689852	0.04253989	0.31294182
sample_11	0.45848992	0.04603469	0.18100841	0.019210314	0.08814603	0.2071106
