	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.46099338	0.0	0.059757587	0.07153916	0.13164002	0.27606994
sample_1	0.381954	0.0	0.074143656	0.071670026	0.14007708	0.3321553
sample_2	0.44586626	0.0	0.06890198	0.07460388	0.13373573	0.27689213
sample_3	0.43422395	0.0	0.0743062	0.07041165	0.13149078	0.28956747
sample_4	0.42893377	0.0	0.07380504	0.07208773	0.12695152	0.29822198
sample_5	0.4137056	0.0	0.08022211	0.073589236	0.1402467	0.2922363
sample_6	0.38255367	0.0	0.083129995	0.07914112	0.13820817	0.31696713
sample_7	0.46447098	0.0	0.06375643	0.072156645	0.13247463	0.26714122
sample_8	0.42891616	0.0	0.07049616	0.07782123	0.13334794	0.28941846
sample_9	0.46158165	0.0	0.0754425	0.066332914	0.11907011	0.27757278
sample_10	0.36027277	0.0	0.12004435	0.09612649	0.11556072	0.3079957
sample_11	0.42883688	0.0	0.07546279	0.07547494	0.13654362	0.28368175
