	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.58385146	0.10224155	0.09735621	0.012734238	0.14967422	0.054142237
sample_1	0.24231072	0.06776922	0.13819236	0.0	0.19104548	0.36068225
sample_2	0.5276522	0.12376528	0.14744797	0.014062263	0.13946727	0.04760504
sample_3	0.48431638	0.06626233	0.18505186	0.0	0.14188959	0.1224799
sample_4	0.44256204	0.055091742	0.18327564	0.009795356	0.12677325	0.18250193
sample_5	0.38601127	0.110258915	0.21406536	0.0036767991	0.18119003	0.10479763
sample_6	0.26037273	0.07371585	0.20613329	0.018318228	0.16451465	0.2769452
sample_7	0.58802134	0.13614836	0.11551961	0.01580195	0.14450881	0.0
sample_8	0.43837222	0.11370711	0.15972067	0.03328959	0.14997596	0.10493446
sample_9	0.57491875	0.092101626	0.21060337	0.0	0.081698745	0.04067747
sample_10	0.20084117	0.0	0.4879612	0.08057066	0.047127172	0.18349977
sample_11	0.45937932	0.10240532	0.19288526	0.016046185	0.16002391	0.069260016
