Sample Name	Bcells	CD4Tcells	CD8Tcells	Monocytes	NK	Unknown
CYFZ	0.0819	0.17362	0.27818	0.1679	0.14	0.1584
FY2H	0.06927	0.19182	0.17287	0.3267	0.026	0.21334
FLWA	0.0822	0.23634	0.08345	0.2086	0.195	0.19441
453W	0.05123	0.25331	0.28258	0.2166	0.0678	0.12848
684C	0.0923	0.29714	0.1549	0.2219	0.0845	0.14926
CZJE	0.1269	0.19169	0.14691	0.2279	0.158	0.1486
925L	0.15572	0.19425	0.18723	0.1966	0.0969	0.1693
9JD4	0.0803	0.30033	0.23596	0.1698	0.0753	0.13831
G4YW	0.0704	0.24426	0.13448	0.2202	0.175	0.15566
4DUY	0.07368	0.24222	0.12392	0.2225	0.0792	0.25848
36TS	0.0674	0.1915	0.17041	0.3153	0.0772	0.17819
CR3L	0.1061	0.26843	0.15129	0.1596	0.108	0.20658
