	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
CYFZ	0.110209514503848	0.32140404592352	0.0001217339048828	0.244547057037232	0.152574555878052	0.171143092752465
FY2H	0.0424500784625893	0.481959948579224	9.18625286320759e-05	0.301811221687829	0.10075695905508	0.0729299296866465
FLWA	0.107951462870661	0.353341093154614	0.0357313854759412	0.24908130991508	0.117597229434895	0.136297519148808
453W	0.0498272965549238	0.394210750495638	0.0620626168244987	0.162409924531992	0.186981606761374	0.144507804831574
684C	0.340664472590391	0.294891205538558	0.0598835728973945	0.133471818883617	0.0883909779165287	0.0826979521735095
CZJE	0.114949789178018	0.316525419288541	0.0663301667423792	0.34653121916731	0.0475889638255666	0.108074441798186
925L	0.15183219705717	0.242380033378551	0.0215102100750986	0.333095460510607	0.117349226188712	0.133832872789862
9JD4	0.164088896697487	0.176744024188815	0.111453688963301	0.324992847016733	0.0689158001516475	0.153804742982016
G4YW	0.238551657334372	0.358682656454855	0.0560981299703144	0.153426339650147	0.0322787606250058	0.160962455965306
4DUY	0.193445688176054	0.278533766533984	0.123677711744716	0.223684392825182	0.0268173273185201	0.153841113401544
36TS	0.043978080065691	0.428727934913637	0.0104152343730723	0.335151745556916	0.104661544957013	0.0770654601336709
CR3L	0.225093300060127	0.38383688230758	0.0809017077907228	0.170948344530091	0.0681982725366626	0.0710214927748173
