	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
X2_D0	0.177664390229916	0.0732569417241248	0.086141822664542	0.409667404001717	0.016603928720806	0.236665512658894
X4_D0	0.176687262735265	0.0718398646764063	0.0838243557637701	0.398398714989096	0.0149358641366674	0.254313937698795
X5_D0	0.169930449333377	0.0871945131327395	0.0895642627797655	0.403479680885536	0.0094157906011796	0.240415303267403
X6_D0	0.172809515041207	0.0800331897886987	0.0852774031018388	0.411341657331905	0.0125898771638479	0.237948357572503
X8_D0	0.183094760237043	0.0737898153341786	0.0943665308212082	0.402686990174621	0.0076684013513089	0.23839350208164
X10_D0	0.184618869553145	0.0743432976773906	0.0893811667285227	0.407856980085716	0.0094251211834828	0.234374564771743
X11_D0	0.179943829393321	0.0799571762284452	0.0910537560752802	0.400934740284916	0.014861817570203	0.233248680447834
X12_D0	0.174696755142489	0.0718134394798532	0.0850096615850836	0.416470236117399	0.0169947529480934	0.235015154727082
X13_D0	0.173065838190844	0.0792794777510329	0.091203556025988	0.425823201879823	0.0049182725177218	0.225709653634591
X14_D0	0.169864103468734	0.0734384510132506	0.0884939923196686	0.414614217061394	0.0108884792357917	0.242700756901162
X15_D0	0.180998718681754	0.0809047152091372	0.0926945531222191	0.398006715101731	0.008078525757841	0.239316772127318
X19_D0	0.169998793191613	0.075074171728456	0.0695566609032001	0.423203741691827	0.0135755905284388	0.248591041956465
X20_D0	0.171853242638091	0.0751718238359351	0.0909166847724108	0.406619917195821	0.0142216458752791	0.241216685682462
X23_D0	0.17741786707051	0.0733628313416079	0.0927594363442707	0.40766036530632	0.0151518072700547	0.233647692667237
X24_D0	0.182342204112147	0.0754692178412385	0.103135522390295	0.41307475002579	0.0099315420080876	0.216046763622443
X27_D0	0.17358851533999	0.0854223298426322	0.0857877443435232	0.40072521935049	0.0197621926511721	0.234713998472192
X29_D0	0.172504611895311	0.082503463677578	0.0823532252946332	0.411501115184435	0.0156757090565653	0.235461874891478
X31_D0	0.173477984988814	0.0706823454981954	0.0971140656371553	0.403458903762797	0.0141199207166149	0.241146779396423
X32_D0	0.181885145147548	0.0698543155098779	0.0850316901979915	0.415014605107058	0.0127823877768796	0.235431856260645
X33_D0	0.171861642437459	0.0709679844821506	0.0809473334964472	0.416011787789427	0.0142241676624132	0.245987084132103
X35_D0	0.178880086630783	0.0756995976136078	0.0881193838801321	0.399204471716748	0.0118940493844936	0.246202410774235
X36_D0	0.173168977843606	0.0852448059238268	0.0885847118549009	0.407342114918804	0.0105052842995734	0.235154105159288
X38_D0	0.17985753643752	0.0724997101252291	0.0866651105860872	0.409317199205664	0.0120741383495884	0.23958630529591
X39_D0	0.173538873480229	0.0796356780725174	0.0846472010481713	0.41340196666723	0.0120660465822081	0.236710234149644
X40_D0	0.175394684546205	0.0735684552819615	0.0972243310853995	0.407097824877812	0.0119716232603481	0.234743080948274
X42_D0	0.174838925510715	0.0764613301563911	0.0865038494364943	0.403122881287174	0.0156030146146822	0.243469998994544
X44_D0	0.17583730223765	0.082202325692565	0.0767817586975575	0.413294684103811	0.0088617541371898	0.243022175131227
X45_D0	0.174178934235072	0.0826216459540625	0.0794085824722104	0.410429706785565	0.0167225420884042	0.236638588464685
X46_D0	0.173727939881077	0.0814513102874727	0.0848206296904914	0.403619891124142	0.0103577067985873	0.24602252221823
X48_D0	0.178071483822625	0.0791681621816945	0.0841982492424742	0.403362494734574	0.0119732996586505	0.243226310359981
X49_D0	0.174506542181756	0.0810152151849117	0.0785043988237589	0.400375358196491	0.0192683522587945	0.246330133354289
X50_D0	0.178916382699114	0.0826470975174119	0.102912339840226	0.39874990791902	0.0042105603855908	0.232563711638637
X51_D0	0.18042796118124	0.0790163325191436	0.104957377617689	0.396174895114862	0.0076487587066738	0.231774674860391
X52_D0	0.180798463195772	0.0750345681406211	0.0990042144341424	0.407431247010205	0.0093755566120682	0.228355950607191
X53_D0	0.181142779849977	0.0740284295414593	0.101487955995632	0.40512071898711	0.0106394585802637	0.227580657045558
X54_D0	0.18087080555775	0.0773013525791065	0.105352441909246	0.398069235150743	0.0129039262416561	0.225502238561498
X55_D0	0.182675823935915	0.0766166590898742	0.0943003649309411	0.409096893548927	0.0099728790542754	0.227337379440067
X56_D0	0.172903152715222	0.0821346932610653	0.0928414760450015	0.401598251439251	0.0120193313615422	0.238503095177918
X57_D0	0.181462720441097	0.0732434832519997	0.0901589048706119	0.407973186270114	0.0141537925727652	0.233007912593411
X58_D0	0.17082812523075	0.0858381969849738	0.092988094143518	0.410237735049694	0.0103987429996822	0.229709105591382
X59_D0	0.175325862564021	0.0758487356387171	0.0871169889646576	0.407386632679656	0.0103150629451927	0.244006717207756
X60_D0	0.175824164466193	0.0763241729772599	0.0994367491956605	0.395545755173458	0.0163583275910885	0.23651083059634
X62_D0	0.177034312298244	0.0737695318518166	0.0889456461298376	0.404602178835597	0.0159336549443505	0.239714675940154
X63_D0	0.179230448864337	0.0801493137675288	0.0846865573809899	0.405091296646123	0.0131269379105038	0.237715445430517
X64_D0	0.175819989634782	0.0780404507222165	0.09114142604294	0.407779040806955	0.007859331970913	0.239359760822193
