	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
sample_0	0.0374307609883652	0.503015310768977	0.0419548897989898	0.162867374914127	0.103488815759376	0.151242847770164
sample_1	0.0118531762846668	0.0951344561126741	0.0017754057081676	0.185605915989182	0.468237869149665	0.237393176755644
sample_2	0.0195358874912345	0.498775460476835	0.122302192517959	0.160545239668573	0.0892224368709755	0.109618782974423
sample_3	0.0170476353249833	0.435581198436485	0.112014503436312	0.100577322981362	0.232177415513086	0.102601924307771
sample_4	0.0474068324737942	0.287069227980816	0.176961434096658	0.0921377496115987	0.364223896139924	0.0322008596972101
sample_5	0.0125279037229411	0.325731787352722	0.144321720086911	0.170347636202575	0.054595491317771	0.292475461317081
sample_6	0.0313563181215187	0.170667496516109	0.138980002291451	0.0761040398406478	0.484264385711797	0.0986277575184771
sample_7	0.0259014261815979	0.52373384303327	0.0716239851726337	0.208516822506821	0.0612617074869457	0.108962215618732
sample_8	0.0465557112359784	0.385006727002769	0.0907314144446214	0.179736780840848	0.124202764863658	0.173766601612125
sample_9	0.019889293071159	0.466337050147141	0.215329448127432	0.163755560007891	0.0799643729032135	0.0547242757431637
sample_10	0.0852253047676693	0.106570666674979	0.73249234905767	2.201851675236e-06	0.0308340418291094	0.0448754358188976
sample_11	0.0221845096193329	0.472104763373619	0.123815801397118	0.130100531365733	0.0519326505594968	0.199861743684701
