	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
X2_D0	0.15880321322359	0.0260768890806876	0.279214503152865	0.324069164494054	0.0890003764101648	0.122835853638639
X4_D0	0.158588949575599	0.0257736450549103	0.277793807700543	0.316775058286864	0.0903190960589492	0.130749443323135
X5_D0	0.1553262439332	0.0301602013286312	0.281605388599865	0.32430873277757	0.0842831428203705	0.124316290540363
X6_D0	0.156009723758357	0.0276569565212043	0.280959814144222	0.326430599674475	0.0846841882545148	0.124258717647227
X8_D0	0.161093638837936	0.0250057358828729	0.286049415690913	0.320742899629907	0.0832655201338931	0.123842789824477
X10_D0	0.160440789496186	0.0261010265396507	0.28866761423383	0.321968471603496	0.0806478417986702	0.122174256328168
X11_D0	0.159046003332244	0.0255875556690379	0.28736412950155	0.324352642936392	0.0826294286452143	0.121020239915562
X12_D0	0.157819995248237	0.0278230756959896	0.283531166573452	0.323502527906871	0.083699444437127	0.123623790138324
X13_D0	0.157418514087444	0.0279001345100394	0.285827306288989	0.333676013930866	0.0760904048503403	0.119087626332321
X14_D0	0.154418705999129	0.0268279243291434	0.284176645729592	0.326085774608144	0.0843459658339644	0.124144983500028
X15_D0	0.160923697815147	0.0266406934088399	0.282509172101032	0.321010658399777	0.0850894761056334	0.12382630216957
X19_D0	0.156634622924078	0.0283148367678543	0.271829000156045	0.328836754502739	0.0841805290358557	0.130204256613428
X20_D0	0.15736513151085	0.0267454819884911	0.282651084057413	0.321240457808499	0.0860801203007869	0.125917724333961
X23_D0	0.158525175847419	0.0259437230834156	0.282433422527119	0.324575912768104	0.0880886528288201	0.120433112945122
X24_D0	0.161176712936235	0.0271791524326192	0.294567980352855	0.325376223427553	0.0765555633482295	0.115144367502508
X27_D0	0.157099016924707	0.0294785525215353	0.280645099204206	0.323484732799413	0.0846132380976014	0.124679360452537
X29_D0	0.156841686463446	0.0286963167013483	0.27964748934053	0.326370407948799	0.0844256612762427	0.124018438269633
X31_D0	0.155272310808456	0.0253812833925569	0.289151121493536	0.318656705572286	0.0856073211783674	0.125931257554797
X32_D0	0.159749099183601	0.024891928047038	0.283892712853596	0.325831378218717	0.0836211788945359	0.122013702802512
X33_D0	0.156976033197518	0.0266312487163754	0.279149424905847	0.323870488251203	0.0876916885898066	0.12568111633925
X35_D0	0.159275430129421	0.0258212885896909	0.27802087163953	0.319287535825368	0.0906601361851011	0.126934737630889
X36_D0	0.157584449866895	0.0295899026822478	0.280158117426287	0.325788781059668	0.0839901640509998	0.122888584913902
X38_D0	0.159489885001218	0.026661547746478	0.282033970111457	0.321135186186318	0.0869700940070349	0.123709316947494
X39_D0	0.154365928098716	0.027621525359497	0.280724541999824	0.329722476655983	0.083280642446827	0.124284885439152
X40_D0	0.156543590420586	0.0252476821956846	0.285540498291282	0.324207467810364	0.086122413179323	0.122338348102761
X42_D0	0.156787347892007	0.0272730724725965	0.280254630205254	0.321566990294968	0.087531523779187	0.126586435355988
X44_D0	0.156785814500973	0.0290772089992134	0.276116891088362	0.330585136149566	0.0821758755466718	0.125259073715214
X45_D0	0.156329283237538	0.0285113350375176	0.276955209590276	0.328760924571974	0.085506609679649	0.123936637883045
X46_D0	0.156000042777101	0.0261653912984832	0.277655374418007	0.328232571654799	0.0863823746257397	0.12556424522587
X48_D0	0.159175521621741	0.0267285992677849	0.27736530431343	0.324620606430448	0.0847527759321532	0.127357192434442
X49_D0	0.157253542921363	0.0277877920234666	0.277173511281092	0.321349233499981	0.0882242597929762	0.12821166048112
X50_D0	0.15702589639167	0.0279241101137331	0.294085104731885	0.322556593585267	0.0775178713831072	0.120890423794338
X51_D0	0.159141543617838	0.0267891974948454	0.292600202395187	0.319384177171726	0.0822705706839353	0.119814308636469
X52_D0	0.158906607816538	0.0265454550369717	0.289329097144925	0.321812088813662	0.0841110778681069	0.119295673319796
X53_D0	0.159749079551267	0.0261496072795924	0.292333824664548	0.320908714664022	0.0821496103237646	0.118709163516806
X54_D0	0.15973850876994	0.0260955983585101	0.292130951667789	0.319622600713257	0.0849552868951433	0.117457053595361
X55_D0	0.159796783015396	0.0267737792117713	0.286938676180648	0.324275095643117	0.0817854860779351	0.120430179871133
X56_D0	0.154014133677792	0.0277623349897536	0.285831817991442	0.325063120189028	0.0811722090123143	0.12615638413967
X57_D0	0.158183152265758	0.025791175033045	0.286192095288867	0.323656881392296	0.082962243078143	0.12321445294189
X58_D0	0.154043822026922	0.0278705919647257	0.28447320537601	0.332163947929437	0.0818008679802233	0.119647564722683
