	Bcells	Monocytes	CD4Tcells	Unknown	CD8Tcells	NK
sample_0	0.0216652706291253	0.436019087247978	0.001326147037401	0.151779891346246	0.250290270727351	0.138919333011899
sample_1	0.0006432319214859	0.0665775962329194	0.0006014658672998	0.14532998795102	0.549457068619441	0.237390649407834
sample_2	0.0118113388869489	0.432557203854061	0.0853919945409419	0.154267895906666	0.243168391244077	0.0728031755673044
sample_3	0.0080234476959447	0.361774583825434	0.0642375229653318	0.0840482619261617	0.428426901212497	0.05348928237463
sample_4	0.0396353525606799	0.247978261713774	0.178166621583234	0.062863811304743	0.470699013218718	0.0006569396188515
sample_5	0.0001597664356979	0.250836697745113	0.0862267608192003	0.167456670741022	0.206921624545853	0.288398479713115
sample_6	0.0172828773128862	0.131184646695998	0.103515688005559	0.069131721443802	0.614761209877866	0.0641238566638889
sample_7	0.0125589139224459	0.465368609874044	0.0181424514057794	0.221161170486855	0.210271356990581	0.0724974973202953
sample_8	0.0271496764741194	0.297645741126522	0.031910835674614	0.189098556731953	0.270395982009426	0.183799207983365
sample_9	0.0063328037329069	0.400725643290682	0.171589253833913	0.165354916738619	0.243467030825777	0.0125303515781029
sample_10	0.0717529555428157	0.0742051652101492	0.745609532113126	3.60643155611284e-06	0.0983543264013318	0.0100744143010204
sample_11	0.0070335491595855	0.373446495741034	0.0545599152704611	0.138046624743364	0.222605238508135	0.204308176577421
