	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
T63_LPS_FC1_4	0.1526063	0.06259505	0.2358185	0.1275125	0.17807065	0.24339707
T81_LPS_FC1_4	0.075736254	0.049337167	0.36560884	0.257536	0.04891751	0.2028642
T104_LPS_FC1_4	0.034111377	0.025752079	0.64083385	0.060454443	0.03841512	0.20043321
T4_GARD_BATCH_2	0.04008616	0.035103794	0.49072877	0.14024693	0.07700574	0.2168286
K47_LPS_FC1_4	0.16183037	0.055176914	0.34386304	0.14234054	0.08813993	0.20864917
T4_CTL_FC5	0.04085715	0.03585631	0.4934293	0.13641122	0.07346592	0.21998015
T12_CTL_B_BATCH_2	0.07153635	0.037826654	0.59803003	0.07736665	0.036324166	0.17891614
T84_LPS_FC1_4	0.08572921	0.037498575	0.446555	0.10759831	0.077777505	0.24484135
K44_LPS_FC1_4	0.0479309	0.03238009	0.4855529	0.1410736	0.053150903	0.23991163
K10_LPS_FC1_4	0.036941964	0.027502038	0.49431643	0.101455115	0.075991586	0.26379293
T13_LPS_FC1_4	0.14764793	0.055960555	0.30254692	0.25688073	0.09447791	0.14248598
T119_LPS_FC1_4	0.03684599	0.03737815	0.57183284	0.0912175	0.044894278	0.2178312
T115_LPS_FC1_4	0.14998451	0.05403057	0.36561528	0.22840115	0.06278771	0.13918087
K19_CTL_FC1_4	0.028658858	0.02712987	0.66065246	0.0895074	0.028687192	0.16536418
T9_LPS_FC1_4	0.06196819	0.030394385	0.5827888	0.08454864	0.04134381	0.1989562
T30_CTL_FC1_4	0.14525172	0.06244029	0.35261187	0.14173688	0.06203907	0.23592019
T15_GARD_BATCH_2	0.05922467	0.045098353	0.2501303	0.39214543	0.047075324	0.20632589
T101_GARD_BATCH_2	0.11854858	0.06021338	0.1449763	0.19241564	0.17830686	0.30553925
K29_CTL_FC1_4	0.06753742	0.039959397	0.5176558	0.16141789	0.037775993	0.17565352
T32_GARD_BATCH_2	0.18675828	0.07492679	0.41936463	0.1744058	0.049236067	0.09530848
T34_CTL_FC1_4	0.06441174	0.03573856	0.49428764	0.13913858	0.06694626	0.19947723
T120_GARD_BATCH_2	0.043079566	0.035741046	0.39490885	0.14826018	0.06368574	0.31432465
T15_CTL_FC1_4	0.04806048	0.037369452	0.31890383	0.32449445	0.046594493	0.22457725
T31_CTL_FC1_4	0.079352684	0.072202004	0.37665978	0.2627441	0.051508136	0.15753333
T65_LPS_FC1_4	0.049237713	0.025174996	0.65854645	0.07170436	0.040989324	0.1543472
T33_GARD_BATCH_2	0.048410404	0.035231512	0.5312836	0.22830026	0.039892573	0.11688162
T62_LPS_FC1_4	0.081998765	0.047745015	0.3356342	0.21989703	0.08203255	0.23269248
K52_LPS_FC1_4	0.04722316	0.031062543	0.60828257	0.094069846	0.033756103	0.18560573
T78_GARD_BATCH_2	0.14732705	0.044786483	0.32709908	0.14793946	0.12098018	0.21186775
T119_CTL_FC1_4	0.046850055	0.034523048	0.5490779	0.08942183	0.045402687	0.23472454
K1_LPS_FC1_4	0.03369343	0.018954432	0.6943865	0.07558473	0.02349242	0.1538885
K6_CTL_FC1_4	0.16118035	0.060488798	0.4142696	0.14970079	0.073304445	0.14105599
K1_GARD_BATCH_2	0.057088733	0.031536363	0.6209609	0.0845547	0.02956936	0.17628995
T71_CTL_FC1_4	0.12917486	0.07677011	0.33663508	0.1355865	0.0921476	0.22968578
K20_GARD_BATCH_2	0.0724839	0.047085337	0.5227314	0.123895265	0.03771049	0.19609351
T77_GARD_BATCH_2	0.044595875	0.02788248	0.45136794	0.116584726	0.061180405	0.29838857
K23_CTL_FC1_4	0.06536281	0.041929692	0.5644122	0.13372467	0.051576972	0.14299363
T73_LPS_FC1_4	0.09527709	0.050477676	0.2843813	0.3392048	0.09727332	0.13338579
T40_CTL_FC5	0.17525591	0.06949403	0.19235347	0.34475484	0.08244312	0.1356986
T69_CTL_FC5	0.09423979	0.04547889	0.2839663	0.17130351	0.07583121	0.32918027
K49_CTL_FC1_4	0.06255544	0.039931096	0.5143244	0.09667719	0.03984435	0.24666744
K44_GARD_BATCH_2	0.022694483	0.020087305	0.65319175	0.081851594	0.033167083	0.18900774
T30_GARD_BATCH_2	0.15389556	0.07234364	0.34115508	0.14468372	0.067719944	0.22020206
T107_GARD_BATCH_2	0.08996987	0.043885387	0.6290941	0.074341945	0.042224757	0.12048387
K24_LPS_FC1_4	0.048317976	0.03213742	0.5459442	0.16462176	0.038644243	0.1703344
K17_LPS_FC1_4	0.021082303	0.02364539	0.5085775	0.09409611	0.045339905	0.3072588
T106_CTL_FC1_4	0.118735045	0.05870265	0.24634112	0.15824914	0.16676892	0.25120312
T7_LPS_FC1_4	0.017161053	0.012884765	0.79497296	0.06945663	0.016597845	0.088926755
T4_LPS_FC5	0.034023345	0.02936044	0.5081354	0.14437051	0.07361823	0.21049206
T14_GARD_BATCH_2	0.041635778	0.032126125	0.6165164	0.10936558	0.03716182	0.16319431
T64_LPS_FC1_4	0.07044245	0.04155232	0.32488367	0.14900677	0.081721954	0.3323928
K5_LPS_FC1_4	0.03697275	0.025178002	0.5908848	0.09189481	0.06305266	0.19201693
K31_LPS_FC1_4	0.101725824	0.043718267	0.25113025	0.23254196	0.08436369	0.28652
K28_LPS_FC1_4	0.053821452	0.040311787	0.46489963	0.15977848	0.050319687	0.23086898
K18_LPS_FC1_4	0.031970542	0.02657775	0.70782405	0.08952527	0.03223545	0.111867025
K2_GARD_BATCH_2	0.5225862	0.1080632	0.20537022	0.062256012	0.047028244	0.054696154
K14_GARD_BATCH_2	0.031707242	0.030439394	0.5998647	0.09931717	0.038621534	0.20004989
K33_CTL_FC1_4	0.062235404	0.030961288	0.649815	0.10268316	0.042889245	0.1114159
K12_LPS_FC1_4	0.03196216	0.02540598	0.5732489	0.09195275	0.04153641	0.23589371
T10_GARD_BATCH_2	0.109609604	0.0521368	0.46897656	0.18757492	0.03850041	0.1432017
K24_GARD_BATCH_2	0.060213063	0.037273094	0.5372283	0.14994095	0.0409425	0.1744021
T106_GARD_BATCH_2	0.12268001	0.058934268	0.2431136	0.16464238	0.17882046	0.23180918
T30_LPS_FC1_4	0.12441293	0.043311752	0.40981382	0.1589417	0.056781854	0.20673788
T12_CTL_FC1_4	0.07238596	0.0356008	0.6018143	0.07698555	0.034058828	0.17915457
T27_CTL_B_BATCH_2	0.1251959	0.075590715	0.37089163	0.22838986	0.073465824	0.12646607
T32_LPS_FC1_4	0.114743985	0.044072255	0.5115661	0.18222581	0.03885171	0.10854018
T109_LPS_FC1_4	0.1465565	0.075178035	0.2610827	0.29507488	0.09593429	0.1261736
T73_CTL_FC1_4	0.0979836	0.056327887	0.28650618	0.29738548	0.106076635	0.1557203
T104_CTL_FC1_4	0.044307325	0.036689803	0.60712224	0.05657078	0.04280998	0.21249993
K17_CTL_FC1_4	0.021682002	0.0240134	0.48452413	0.09335202	0.05021934	0.3262091
T3_GARD_BATCH_2	0.0347467	0.025390366	0.65124065	0.08938945	0.04009041	0.15914248
