	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X2_D0	0.201184896	0.088363445	0.3006657	0.0626868934	0.1148834139999999	0.232215616
X4_D0	0.168522074	0.073555644	0.248697674	0.055214835	0.193393702	0.2606160799999999
X5_D0	0.313244828	0.0688846022	0.311742126	0.0393931384	0.103676952	0.163058354
X6_D0	0.275159766	0.0816168759999999	0.255080972	0.0484723812	0.1131707918	0.226499222
X8_D0	0.166222032	0.0816096259999999	0.356450496	0.0733750902	0.1081823122	0.214160424
X10_D0	0.193374394	0.0788938172	0.36545686	0.073990792	0.105651393	0.182632754
X11_D0	0.199157674	0.0858878428	0.360912474	0.0616156547999999	0.0921968891999999	0.200229474
X12_D0	0.232937202	0.087475367	0.292530874	0.0546975842	0.1058367988	0.226522208
X13_D0	0.27933343	0.0911813162	0.386772448	0.048955253	0.0725492059999999	0.121208342
X14_D0	0.196969042	0.0991062571999999	0.380177566	0.0446793952	0.111542724	0.167524978
X15_D0	0.2074425919999999	0.0804941238	0.36917507	0.0666692004	0.1144884472	0.161730568
X19_D0	0.307347132	0.093774045	0.193255094	0.049823551	0.1786633139999999	0.1771368819999999
X20_D0	0.1944835939999999	0.076718896	0.361800642	0.047776276	0.1216612969999999	0.197559302
X23_D0	0.1761825319999999	0.0849882751999999	0.36356323	0.0565436047999999	0.0976456739999999	0.2210767039999999
X24_D0	0.189762896	0.0681039774	0.5170183700000001	0.0555661252	0.0535223334	0.1160262629999999
X27_D0	0.320572834	0.069678654	0.25686244	0.0466102585999999	0.0987952672	0.207480538
X29_D0	0.287484692	0.0895434492	0.282464728	0.0469330724	0.1015406679999999	0.19203341
X31_D0	0.159161862	0.0749451392	0.344867758	0.0481634509999999	0.115355705	0.2575060619999999
X32_D0	0.180649628	0.0927477739999999	0.353777712	0.070506558	0.0996078919999999	0.2027104099999999
X33_D0	0.2046210839999999	0.09521475	0.24856682	0.048737819	0.149933466	0.252926094
X35_D0	0.179387366	0.0793649822	0.275825178	0.0577265316	0.1472683188	0.260427596
X36_D0	0.313699496	0.0759430844	0.323178902	0.0485484013999999	0.0892522571999999	0.149377942
X38_D0	0.187698874	0.0875891028	0.302805656	0.0623603824	0.1193632172	0.240182762
X39_D0	0.278865176	0.083184382	0.313368478	0.0473738412	0.108118324	0.169089818
X40_D0	0.188545678	0.0745923338	0.411484076	0.0481020667999999	0.0993588728	0.177916982
X42_D0	0.205273564	0.078383469	0.312048388	0.0487976637999999	0.131278446	0.224218446
X44_D0	0.285109656	0.1010256349999999	0.268511252	0.0579736606	0.133822462	0.153557338
X45_D0	0.3005942179999999	0.08871991	0.244304992	0.0492490055999999	0.1156441419999999	0.20148774
X46_D0	0.26662668	0.0792089718	0.261185234	0.0547491254	0.141194262	0.197035718
X48_D0	0.2402101	0.080617197	0.3202541639999999	0.0613033257999999	0.1350070228	0.162608158
X49_D0	0.2665657	0.072036842	0.2357953059999999	0.0510246721999999	0.152498654	0.222078798
X50_D0	0.223752348	0.0730515588	0.388756194	0.0551018542	0.079132558	0.180205518
X51_D0	0.183838954	0.0683788686	0.4218016519999999	0.0572150254	0.0746435114	0.194121984
X52_D0	0.1792148459999999	0.0669389756	0.447657988	0.0592122482	0.0744335927999999	0.172542386
X53_D0	0.181506104	0.0684423914	0.4048715539999999	0.0594700868	0.0681381916	0.217571666
X54_D0	0.153826458	0.0648644318	0.4235756699999999	0.0633311997999999	0.0688514898	0.225550744
X55_D0	0.212787494	0.091033783	0.363023776	0.0686394204	0.0827132232	0.181802294
X56_D0	0.2548491439999999	0.0799886474	0.328020194	0.0460936699999999	0.109218505	0.18182983
X57_D0	0.1839410699999999	0.08204571	0.370638028	0.0589498396	0.0931539122	0.21127146
X58_D0	0.347240972	0.0720349348	0.305748556	0.0408416797999999	0.071476702	0.162657092
X59_D0	0.1902991299999999	0.0894455835999999	0.297693638	0.0565549316	0.1389319431999999	0.227074832
X60_D0	0.1495425259999999	0.0665128768	0.400795554	0.0513116868	0.0994683879999999	0.23236898
X62_D0	0.17349029	0.0810759132	0.3294385399999999	0.0598618108	0.1258496572	0.2302838079999999
X63_D0	0.263531834	0.090382478	0.286251586	0.0618740647999999	0.113874883	0.184085132
X64_D0	0.243357964	0.082256466	0.318443172	0.0595869405999999	0.1090099391999999	0.187345482
X67_D0	0.2430434659999999	0.088253344	0.308082498	0.0472522676	0.12002299	0.193345442
X68_D0	0.326542964	0.0913673252	0.270697512	0.0612563024	0.076511834	0.173624058
X69_D0	0.14197432	0.069796674	0.432681564	0.0584785678	0.0910922427999999	0.2059766479999999
X70_D0	0.2949838999999999	0.0969639435999999	0.34424446	0.0509383175999999	0.0703574746	0.14251191
X71_D0	0.23751912	0.0744467228	0.328897974	0.0499389769999999	0.1059223139999999	0.203274906
X73_D0	0.2014195819999999	0.0891003194	0.3803713179999999	0.0518116492	0.075609399	0.20168775
X74_D0	0.223432428	0.077096786	0.383631092	0.0573386956	0.0775444614	0.180956536
X75_D0	0.236149466	0.080258593	0.396007762	0.060832736	0.0747717142	0.151979758
X76_D0	0.1646134759999999	0.0666099008	0.3542368899999999	0.0556263417999999	0.098702314	0.260211052
X77_D0	0.253878928	0.0914196884	0.325280294	0.0598942756	0.0909873792	0.178539386
X78_D0	0.35644038	0.094454542	0.2611053279999999	0.0612208817999999	0.080152773	0.146626128
X79_D0	0.262596956	0.0906567401999999	0.355569928	0.0572883148	0.0811385766	0.152749536
X80_D0	0.1786471859999999	0.076067308	0.42156157	0.0571065828	0.0818231924	0.1847941739999999
X81_D0	0.1866748059999999	0.0758943436	0.42344676	0.0472754982	0.0640834204	0.202625168
X83_D0	0.1582392239999999	0.0827450288	0.449748724	0.0544997686	0.069255586	0.185511692
X84_D0	0.261065548	0.0886844671999999	0.300850418	0.0778901167999999	0.0899952899999999	0.18151416
X85_D0	0.2260624919999999	0.0808049362	0.350581296	0.057344709	0.0978872549999999	0.187319316
X86_D0	0.15156562	0.079949724	0.391381536	0.0646350764	0.0951467628	0.217321328
X87_D0	0.260368392	0.1066108341999999	0.2606195679999999	0.0585374204	0.1206856759999999	0.19317811
X90_D0	0.3101755899999999	0.0873473978	0.2923109619999999	0.0467095386	0.1092099462	0.15424658
X91_D0	0.283708248	0.077414004	0.3516999099999999	0.054958121	0.089060946	0.1431588039999999
X92_D0	0.317840974	0.089980294	0.2573322779999999	0.0484117212	0.1049022252	0.181532494
X93_D0	0.2416832539999999	0.092943815	0.37915667	0.051608112	0.097692584	0.1369156012
X94_D0	0.29445525	0.087856708	0.314602338	0.0632275794	0.0871826887999999	0.152675456
X95_D0	0.0896140028	0.079996417	0.237920858	0.0367512052	0.171619542	0.384097974
X96_D0	0.2483532899999999	0.07081005	0.3105925719999999	0.0403360036	0.1524477859999999	0.177460306
X99_D0	0.269405652	0.0739096428	0.287941468	0.0491960622	0.1182061684	0.201341036
X100_D0	0.197819976	0.084060661	0.271165026	0.0531921503999999	0.146493048	0.2472691139999999
X102_D0	0.261305748	0.08670976	0.255567866	0.0373974992	0.126916796	0.232102318
X104_D0	0.322473454	0.0825450508	0.24650089	0.0456437566	0.109583008	0.19325383
X105_D0	0.3173921039999999	0.092868071	0.274994488	0.0486224898	0.1048268552	0.161296004
X107_D0	0.269863784	0.08330854	0.323836154	0.0555162643999999	0.099862404	0.1676129
X108_D0	0.178561176	0.0857207916	0.37781235	0.058463164	0.093998977	0.2054435499999999
X116_D0	0.319534022	0.0846489048	0.27094774	0.0430595714	0.117394282	0.16441549
X118_D0	0.239727182	0.0748898822	0.342094868	0.0516443494	0.1077616084	0.183882086
X119_D0	0.2240138179999999	0.0880817181999999	0.341702016	0.053819243	0.11755034	0.174832856
X122_D0	0.321424968	0.08400057	0.255248176	0.0474948974	0.1184299652	0.1734014559999999
X123_D0	0.345759606	0.0822294972	0.23882211	0.0612928452	0.090968567	0.1809273899999999
X124_D0	0.168717394	0.0822410432	0.34472296	0.061537462	0.1107154009999999	0.232065742
X125_D0	0.318396354	0.0820780162	0.2797434	0.0536007837999999	0.0921945174	0.17398696
X126_D0	0.2611688339999999	0.086367155	0.237608242	0.0511743199999999	0.119558014	0.2441234199999999
X128_D0	0.3808866199999999	0.0752326378	0.288219138	0.0561910424	0.0709055904	0.128564959
X129_D0	0.277203706	0.0763633032	0.342580168	0.0497754582	0.096516642	0.157560688
X132_D0	0.233290472	0.0745799932	0.316653814	0.0492063572	0.122741655	0.2035277219999999
X135_D0	0.182035072	0.0887469458	0.4059446139999999	0.05364711	0.0985209596	0.171105322
X136_D0	0.195168074	0.0960972198	0.332221896	0.059254584	0.119402948	0.197855294
X137_D0	0.284641816	0.079109434	0.3139191019999999	0.0540389868	0.0903350992	0.1779555639999999
X138_D0	0.339655016	0.068137284	0.318349562	0.0443662696	0.0676058116	0.16188604
X139_D0	0.182306888	0.0859144682	0.3781938219999999	0.054909752	0.0964788352	0.202196226
X142_D0	0.233796096	0.0842276979999999	0.348276332	0.054116314	0.097458968	0.182124612
X143_D0	0.21493696	0.079111062	0.343535512	0.0589315576	0.099996406	0.203488512
X144_D0	0.259391996	0.0794018342	0.320308144	0.0623335908	0.0915213904	0.187043086
X145_D0	0.3482095779999999	0.079591321	0.257785852	0.0528198981999999	0.1104812578	0.151112064
X146_D0	0.2038716099999999	0.0937915912	0.309521228	0.0563406845999999	0.1143848932	0.222089972
X147_D0	0.304093626	0.0885778862	0.3257328439999999	0.0448898732	0.0806523192	0.156053486
X149_D0	0.1907952	0.0898287439999999	0.28341465	0.0584979038	0.134853912	0.24260961
X150_D0	0.212453442	0.0855924948	0.3228468359999999	0.0564007764	0.119310797	0.203395678
X152_D0	0.250275408	0.075920628	0.278203668	0.0582718846	0.1236587128	0.2136697139999999
X153_D0	0.300793964	0.071224874	0.344970882	0.0372666973999999	0.084344251	0.161399304
X154_D0	0.287461884	0.0808186239999999	0.262260778	0.0569281457999999	0.102176066	0.210354486
X155_D0	0.305106414	0.08370686	0.259140448	0.0514564546	0.1250307328	0.175559116
