	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.357724934	0.1008572327999999	0.189307806	0.0697488978	0.1246182868	0.15774287
sample_1	0.0293919315999999	0.0474934604	0.210912656	0.0355122074	0.124505736	0.5521840140000001
sample_2	0.327590464	0.1116596518	0.252037744	0.0524919552	0.105805606	0.150414602
sample_3	0.195138836	0.0632334194	0.3851107	0.0413183727999999	0.105081745	0.210116912
sample_4	0.0965975548	0.0682463472	0.3472284639999999	0.0614188835999999	0.0977847818	0.328723976
sample_5	0.128194186	0.0700932139999999	0.4297367319999999	0.0350742408	0.158962124	0.177939504
sample_6	0.0358087927999999	0.0383202942	0.293191204	0.0343691145999999	0.0979509588	0.5003596659999999
sample_7	0.403489656	0.13754077	0.1888604839999999	0.066963905	0.1115058563999999	0.091639322
sample_8	0.194769732	0.093559195	0.278951286	0.081654169	0.124176308	0.2268893379999999
sample_9	0.2355606079999999	0.0873047592	0.435042224	0.0465591894	0.0574486308	0.138084612
sample_10	0.0088242536	0.0092230743	0.7980978700000001	0.0429291286	0.015317625	0.1256080467999999
sample_11	0.255485716	0.070502254	0.368084494	0.0463220568	0.1139251528	0.145680338
