	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
T63_LPS_FC1_4	0.25826102	-0.038803276	0.07958577	0.110103704	0.14193226	0.46094313
T81_LPS_FC1_4	0.15569663	-0.04374798	0.18591239	0.2361586	0.071841925	0.441968
T104_LPS_FC1_4	0.11874106	-0.06584061	0.29119053	0.10237204	0.06811594	0.5294238
T4_GARD_BATCH_2	0.09720674	-0.0892719	0.19987722	0.1793194	0.12405767	0.53213024
K47_LPS_FC1_4	0.2637054	-0.013887602	0.121627964	0.13801308	0.1009722	0.45612422
T4_CTL_FC5	0.11137869	-0.103534006	0.19627975	0.1658255	0.11756176	0.49833643
T12_CTL_B_BATCH_2	0.16037188	-0.059573624	0.2547737	0.11504078	0.058400273	0.5395612
T84_LPS_FC1_4	0.20410432	-0.08782532	0.20255645	0.11828258	0.08740006	0.5214791
K44_LPS_FC1_4	0.112418175	-0.04972281	0.19700676	0.1979702	0.0772123	0.53384656
K10_LPS_FC1_4	0.1359336	-0.0954346	0.22932011	0.12634604	0.1473035	0.5403876
T13_LPS_FC1_4	0.2511734	-0.059018075	0.14024216	0.2178301	0.086073734	0.3744382
T119_LPS_FC1_4	0.12789309	-0.058909427	0.2628456	0.13282247	0.09776337	0.5460252
T115_LPS_FC1_4	0.24649723	-0.07108016	0.16321284	0.2176724	0.048360143	0.33146653
K19_CTL_FC1_4	0.08326966	-0.078079395	0.2979891	0.16241787	0.06319419	0.5196594
T9_LPS_FC1_4	0.14190084	-0.05955201	0.2533719	0.1516434	0.058597744	0.5078195
T30_CTL_FC1_4	0.20505035	-0.03482962	0.107856505	0.10817502	0.06496724	0.5078645
T15_GARD_BATCH_2	0.12366715	-0.06104946	0.11163362	0.3323798	0.055214476	0.4814419
T101_GARD_BATCH_2	0.20207433	-0.06300924	-0.019213615	0.16436236	0.16797335	0.5774463
K29_CTL_FC1_4	0.12817557	-0.06007548	0.22215188	0.21930175	0.03522412	0.47549498
T32_GARD_BATCH_2	0.2530267	0.0006556374	0.18659401	0.16002508	0.039452504	0.3536588
