	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.5582871	0.11346507	0.4231975	-0.03544562	0.059218634	0.35828364
sample_1	0.30609024	0.061549872	0.43063867	-0.07893537	0.11385051	0.5674658
sample_2	0.53008676	0.13601601	0.44246116	-0.056205716	0.031861883	0.3671204
sample_3	0.5088452	0.06861895	0.47875085	-0.058912534	0.045589272	0.34382224
sample_4	0.4396087	0.061610688	0.44641426	-0.03861971	0.04955715	0.47201803
sample_5	0.42731285	0.11048952	0.55319494	-0.083993874	0.111011416	0.40366876
sample_6	0.31102124	0.05231294	0.53278625	-0.055706028	0.06610858	0.55417234
sample_7	0.57281	0.17187941	0.44630876	-0.056358088	0.03933362	0.29554918
sample_8	0.43660417	0.1247724	0.4976647	-0.027885208	0.0673515	0.42674485
sample_9	0.53934807	0.12451828	0.48583817	-0.08681653	-0.019649886	0.33246052
sample_10	0.27902222	-0.015211378	0.71449107	0.025259495	-0.021466322	0.4617081
sample_11	0.48653248	0.09527881	0.53084636	-0.054399032	0.06785654	0.37301064
