	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
T63_LPS_FC1_4	0.0	0.0015214961249992	0.0	0.0	0.998478503875001	0.0
T81_LPS_FC1_4	0.0	0.0	0.0	0.0	0.952895692569343	0.0471043074306573
T104_LPS_FC1_4	0.0	0.0	0.0	0.0	0.96347649135591	0.0365235086440899
T4_GARD_BATCH_2	0.0	0.0	3.41115382293616e-06	0.0	0.944426681746555	0.0555699070996221
K47_LPS_FC1_4	0.0	0.0218244877369273	0.0	0.0	0.967145661117002	0.0110298511460705
T4_CTL_FC5	0.0	0.0	0.0015087648831837	0.0	0.95836835628653	0.0401228788302863
T12_CTL_B_BATCH_2	0.0	0.055324892041057	0.0010746211173995	0.0	0.882967386515668	0.0606331003258759
T84_LPS_FC1_4	0.0	0.0	0.0	0.0	0.985979575818744	0.0140204241812556
K44_LPS_FC1_4	0.0	0.0	0.0	0.0	0.966433595127901	0.0335664048720989
K10_LPS_FC1_4	0.0249185700195008	0.0	0.0	0.0	0.975081429980499	0.0
T13_LPS_FC1_4	0.0	0.0129775520661293	0.0	0.0	0.987022447933871	0.0
T119_LPS_FC1_4	0.0	0.0	0.0003121375444624	0.0	0.934071729549384	0.0656161329061537
T115_LPS_FC1_4	0.0	0.0096316978251811	0.0	0.0	0.979190527840799	0.0111777743340198
K19_CTL_FC1_4	0.0	0.0	0.0468949647694736	0.0	0.875373588671383	0.0777314465591433
T9_LPS_FC1_4	0.0	0.0	0.0	0.0	0.961817105719449	0.0381828942805508
T30_CTL_FC1_4	0.0	0.134729503893533	0.0	0.0	0.858590708015329	0.0066797880911385
T15_GARD_BATCH_2	0.0	0.0	0.012066089344683	0.0	0.908625098564207	0.0793088120911097
T101_GARD_BATCH_2	0.0	0.0	0.0	0.0	1.0	0.0
K29_CTL_FC1_4	0.0	0.0298780232641446	0.0	0.0	0.859390451843167	0.110731524892688
T32_GARD_BATCH_2	0.0	0.0985836796856653	0.0	0.0	0.850594171778254	0.0508221485360803
T34_CTL_FC1_4	0.0	0.0	0.0	0.0	0.982892473528726	0.017107526471274
T120_GARD_BATCH_2	0.0	0.0	0.0	0.0	0.998333558042592	0.0016664419574079
T15_CTL_FC1_4	0.0	0.0	0.0035717946984207	0.0	0.916578825271469	0.0798493800301106
T31_CTL_FC1_4	0.0	0.0731934763968132	0.0013117901205476	0.0	0.850336484572797	0.0751582489098425
T65_LPS_FC1_4	0.0	0.0042788271925186	0.0180515059292117	0.0	0.933885914597429	0.0437837522808407
T33_GARD_BATCH_2	0.0	0.0022695928262384	0.0	0.0	0.878146462896253	0.119583944277508
T62_LPS_FC1_4	0.0	0.0	0.0	0.0	0.944384823413308	0.0556151765866916
K52_LPS_FC1_4	0.0	0.0070310757322096	0.0015482700897975	0.0	0.920469950329814	0.0709507038481786
