	CD4Tcells	NK	CD8Tcells	Monocytes	Bcells	Unknown
sample_2	0	0.576070720505132	0	0.276727610750908	0.0	0.147201668743959
sample_4	0	0.713028855914441	0	0.199532275504786	0.0	0.0874388685807731
sample_5	0	0.564512312272584	0	0.334487698963935	0.0	0.100999988763481
sample_6	0	0.596041058825141	0	0.273231717057323	0.0	0.130727224117536
sample_8	0	0.510973257254862	0	0.300531208120338	0.0	0.1884955346248
sample_10	0	0.487582118409936	0	0.318272278525356	0.0	0.194145603064707
sample_11	0	0.462683705822354	0	0.319447397512044	0.0	0.217868896665602
sample_12	0	0.528739411331076	0	0.335793888569463	0.0	0.135466700099461
sample_13	0	0.285479803753511	0	0.50007991948524	0.0	0.214440276761249
sample_14	0	0.59045520724438	0	0.305877902176506	0.0	0.103666890579114
sample_15	0	0.502880835788292	0	0.292344678493622	0.0	0.204774485718086
sample_19	0	0.5435688924249	0	0.368563660144338	0.0	0.0878674474307617
sample_20	0	0.582851475497788	0	0.26098078698192	0.0	0.156167737520292
sample_23	0	0.529265015816907	0	0.307298214631482	0.0	0.16343676955161
sample_24	0	0.353163138316071	0	0.32860164910137	0.0055039967520922	0.312731215830467
sample_27	0	0.573511680599509	0	0.324221052098225	0.0010858874504072	0.101181379851858
sample_29	0	0.480912390800156	0	0.386848773199448	0.0	0.132238836000396
sample_31	0	0.627740636676196	0	0.231979023560257	0.0	0.140280339763547
sample_32	0	0.47456832356632	0	0.328951718484478	0.0	0.196479957949202
sample_33	0	0.643214255062512	0	0.263024247853079	0.0	0.0937614970844082
sample_35	0	0.67469833283039	0	0.187310319503206	0.0	0.137991347666403
sample_36	0	0.435610826527949	0	0.406018508508804	0.0	0.158370664963247
sample_38	0	0.575894722303567	0	0.279233051843587	0.0	0.144872225852845
sample_39	0	0.49994957293421	0	0.34919466578529	0.0	0.150855761280499
sample_40	0	0.54523116372702	0	0.284847930158121	0.0	0.16992090611486
sample_42	0	0.606072583417104	0	0.259537388385995	0.0	0.134390028196901
sample_44	0	0.43509819624892	0	0.460709120215023	0.0	0.104192683536057
sample_45	0	0.577971670071232	0	0.308574411437704	0.0	0.113453918491064
sample_46	0	0.61631321191254	0	0.302259004423128	0.0	0.0814277836643312
sample_48	0	0.570448994053657	0	0.309309788332518	0.0	0.120241217613824
sample_49	0	0.605675987665788	0	0.31521645661003	0.0	0.0791075557241823
sample_50	0	0.472418526840506	0	0.326179899229856	0.0	0.201401573929638
sample_51	0	0.42995410494542	0	0.274163471450538	0.0362481494090659	0.259634274194976
sample_52	0	0.463686935877076	0	0.32087248932022	0.0	0.215440574802704
sample_53	0	0.446519493014653	0	0.298748735832704	0.0	0.254731771152644
sample_54	0	0.479829894167947	0	0.280661862433244	0.0	0.239508243398809
sample_55	0	0.410035568359292	0	0.37950821531418	0.0	0.210456216326528
sample_56	0	0.572645560756735	0	0.312193223564797	0.0	0.115161215678468
sample_57	0	0.488942826084484	0	0.284707440268002	0.0024138649286715	0.223935868718843
sample_58	0	0.487127174349594	0	0.395930706228741	0.0	0.116942119421665
sample_59	0	0.632213486854687	0	0.225735528759113	0.0	0.1420509843862
sample_60	0	0.577071155852297	0	0.196221983882221	0.0	0.226706860265483
sample_62	0	0.592253156521709	0	0.244738407706171	0.0	0.163008435772121
sample_63	0	0.501275397602945	0	0.322915963522304	0.0	0.175808638874751
sample_64	0	0.569651902569763	0	0.286794610758711	0.0	0.143553486671527
sample_67	0	0.560040485943722	0	0.315537015320055	0.0	0.124422498736223
sample_68	0	0.363847176560916	0	0.408991052831655	0.0	0.227161770607429
sample_69	0	0.525938360871984	0	0.231261926471592	0.0	0.242799712656425
sample_70	0	0.38997161177588	0	0.399235976866602	0.0	0.210792411357518
sample_71	0	0.532917393596507	0	0.28696448224655	0.0	0.180118124156943
sample_73	0	0.458689634787663	0	0.317212907029442	0.0	0.224097458182896
sample_74	0	0.478686069726286	0	0.322489722252617	0.0	0.198824208021097
sample_75	0	0.36165223178254	0	0.442137327048691	0.0	0.196210441168769
sample_76	0	0.516096762425398	0	0.279295599780733	0.0	0.204607637793869
sample_77	0	0.521528570647274	0	0.30828645318262	0.0	0.170184976170106
sample_78	0	0.324552462031401	0	0.430225022777799	0.0	0.245222515190801
sample_79	0	0.411979321351865	0	0.410448367366379	0.0	0.177572311281755
sample_80	0	0.493739088574355	0	0.301596832269228	0.0	0.204664079156417
sample_81	0	0.486682721209642	0	0.286477200887139	0.0	0.226840077903218
sample_83	0	0.493593065721466	0	0.281881906222998	0.0	0.224525028055536
sample_84	0	0.558859296064639	0	0.276723514211817	0.0	0.164417189723544
sample_85	0	0.561346837369627	0	0.275686836687884	0.0	0.162966325942489
sample_86	0	0.549650134087525	0	0.238646434346149	0.0048936994015665	0.20680973216476
sample_87	0	0.535745376293637	0	0.330180060746594	0.0	0.134074562959769
sample_90	0	0.60447740125258	0	0.301052873645354	0.0	0.0944697251020664
sample_91	0	0.463304461929924	0	0.370048695127632	0.0	0.166646842942445
sample_92	0	0.436819620153347	0	0.385893629997244	0.0	0.177286749849409
sample_93	0	0.560783245758446	0	0.307637063344153	0.0	0.131579690897401
sample_94	0	0.468343014464024	0	0.334692397692056	0.0	0.19696458784392
sample_95	0	0.759238690564694	0	0.117810892924225	0.0	0.122950416511081
sample_96	0	0.659188068419335	0	0.29007362961885	0.0	0.0507383019618151
sample_99	0	0.597781165875053	0	0.307017325870689	0.0	0.0952015082542587
sample_100	0	0.603269403059547	0	0.271753254579412	0.0	0.124977342361041
sample_102	0	0.648058944077771	0	0.267619913835811	0.0	0.0843211420864178
sample_104	0	0.519358895195668	0	0.353773541238414	0.0	0.126867563565918
sample_105	0	0.538926745676616	0	0.387315053409094	0.0	0.0737582009142895
sample_107	0	0.436847931084089	0	0.402331773784726	0.0	0.160820295131185
sample_108	0	0.551291695772815	0	0.290339761925855	0.0	0.15836854230133
sample_116	0	0.540579165192881	0	0.382604390197379	0.0	0.0768164446097402
sample_118	0	0.574239280244559	0	0.288695216520704	0.0	0.137065503234737
sample_119	0	0.613023646655268	0	0.253231212275188	0.0	0.133745141069544
sample_122	0	0.593992309472131	0	0.326580596917804	0.0	0.079427093610065
sample_123	0	0.530777137232788	0	0.335534114873654	0.0	0.133688747893559
sample_124	0	0.558559154330198	0	0.247823655410604	0.0	0.193617190259198
sample_125	0	0.534229390167882	0	0.327193284065488	0.0	0.13857732576663
sample_126	0	0.540242331016352	0	0.325817519931883	0.0	0.133940149051765
sample_128	0	0.453879419660383	0	0.41255231317764	0.0	0.133568267161977
sample_129	0	0.553155514896508	0	0.309662171452138	0.0	0.137182313651354
sample_132	0	0.588665332796124	0	0.29405022421723	0.0	0.117284442986646
sample_135	0	0.561648111954025	0	0.258217388860014	0.0	0.180134499185961
sample_136	0	0.506401667194924	0	0.306521602324813	0.0	0.187076730480263
sample_137	0	0.518193902647776	0	0.319374222576534	0.0	0.16243187477569
sample_138	0	0.291030454133525	0	0.489777914329199	0.0	0.219191631537276
sample_139	0	0.51679071226025	0	0.292400986287299	0.0	0.190808301452451
sample_142	0	0.500070431592538	0	0.346559125075633	0.0	0.153370443331829
sample_143	0	0.547786776115288	0	0.308282327177371	0.0	0.14393089670734
sample_144	0	0.477284825395519	0	0.344535851894516	0.0	0.178179322709965
sample_145	0	0.559304803043586	0	0.369328939189792	0.0	0.0713662577666221
sample_146	0	0.61748496322734	0	0.2538359804348	0.0	0.12867905633786
sample_147	0	0.437783469908493	0	0.369883941256568	0.0	0.19233258883494
sample_149	0	0.562706566665251	0	0.292268087974737	0.0	0.145025345360012
sample_150	0	0.5740493109751	0	0.302876704943471	0.0	0.123073984081429
sample_152	0	0.567353009615774	0	0.338239070291048	0.0	0.0944079200931781
sample_153	0	0.441810112390777	0	0.41016186791532	0.0	0.148028019693904
sample_154	0	0.500914686916864	0	0.363918183179021	0.0	0.135167129904115
sample_155	0	0.518721915161462	0	0.378309600445918	0.0	0.10296848439262
sample_160	0	0.66401149208538	0	0.265519201692699	0.0	0.0704693062219207
sample_161	0	0.512446357411208	0	0.336078542654867	0.0	0.151475099933926
sample_165	0	0.59391072461715	0	0.331808267625889	0.0	0.0742810077569608
sample_167	0	0.411456991361998	0	0.366719023532588	0.0	0.221823985105414
sample_168	0	0.451461393927678	0	0.405190178686445	0.0	0.143348427385877
sample_169	0	0.3517816920832	0	0.479949199955705	0.0	0.168269107961095
sample_170	0	0.59659643241736	0	0.287300651187523	0.0	0.116102916395117
sample_171	0	0.417122627380031	0	0.449541126102329	0.0	0.13333624651764
sample_172	0	0.610141720831874	0	0.2536158888617	0.0	0.136242390306426
sample_173	0	0.460006870091457	0	0.346887457625437	0.0	0.193105672283106
sample_174	0	0.492707185393449	0	0.318188918453499	0.0	0.189103896153052
sample_175	0	0.531817683458668	0	0.278181096686828	0.0	0.190001219854505
sample_179	0	0.617054371780951	0	0.265171875034395	0.0	0.117773753184653
sample_181	0	0.543254900447225	0	0.302854189545556	0.0	0.15389091000722
sample_182	0	0.559397316482924	0	0.326837031271763	0.0	0.113765652245314
sample_183	0	0.597053317867692	0	0.270771624619567	0.0	0.132175057512741
sample_184	0	0.533399039229116	0	0.329499932957099	0.0	0.137101027813785
sample_186	0	0.615084427991993	0	0.30436781719963	0.0	0.0805477548083771
sample_187	0	0.639141924371877	0	0.223477045809728	0.0	0.137381029818395
sample_189	0	0.463820947290003	0	0.338499356696218	0.0	0.197679696013779
sample_190	0	0.574338885158533	0	0.282970610677792	0.0	0.142690504163675
sample_191	0	0.52332607999286	0	0.324879496406936	0.0	0.151794423600204
sample_194	0	0.581567645906118	0	0.301120455537292	0.0	0.11731189855659
sample_195	0	0.381918944906942	0	0.438716190042398	0.0	0.17936486505066
sample_196	0	0.650928943686305	0	0.237508233545429	0.0	0.111562822768266
sample_197	0	0.572630666896519	0	0.292170277514528	0.0	0.135199055588953
