	CD4Tcells	Monocytes	Bcells	CD8Tcells	NK	Unknown
sample_0	0	0.411224995333511	0	0	0.588775004666489	0.0
sample_1	0	0.113534934297952	0	0	0.886465065702048	0.0
sample_2	0	0.44892030632195	0	0	0.55107969367805	0.0
sample_3	0	0.248719410906908	0	0	0.751280589093092	0.0
sample_4	0	0.199207455933676	0	0	0.800792544066324	0.0
sample_5	0	0.260840680000208	0	0	0.739159319999792	0.0
sample_6	0	0.283934774990448	0	0	0.716065225009552	0.0
sample_7	0	0.500653784901748	0	0	0.499346215098252	0.0
sample_8	0	0.323491887743409	0	0	0.676508112256591	0.0
sample_9	0	0.489360626582907	0	0	0.510639373417093	0.0
sample_10	0	0.134076036586142	0	0	0.767479975347735	0.0984439880661231
sample_11	0	0.405035553394877	0	0	0.594964446605123	0.0
