	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
T63_LPS_FC1_4	0.11690312	0.020157533	0.17664452	0.03235346	0.18444836	0.469493
T81_LPS_FC1_4	0.0601283	0.026510648	0.28976488	0.11942088	0.0795119	0.4246634
T104_LPS_FC1_4	0.0263887	0.010855563	0.40546188	0.019036187	0.056796864	0.48146084
T4_GARD_BATCH_2	0.031423237	0.017831365	0.30265006	0.05333656	0.14739601	0.44736275
K47_LPS_FC1_4	0.13518003	0.02491797	0.2566003	0.047700923	0.12120724	0.41439354
T4_CTL_FC5	0.031742156	0.017849987	0.31762767	0.057337295	0.14103203	0.43441084
T12_CTL_B_BATCH_2	0.07051647	0.02079659	0.36712244	0.029031375	0.061628472	0.45090464
T84_LPS_FC1_4	0.070508584	0.01421582	0.30038974	0.034119204	0.11642019	0.4643465
K44_LPS_FC1_4	0.033583764	0.016074443	0.30768302	0.05715048	0.09775438	0.4877539
K10_LPS_FC1_4	0.025219856	0.011890713	0.32521904	0.0344	0.12741105	0.47585937
T13_LPS_FC1_4	0.13205154	0.026544774	0.2520113	0.089462064	0.14495009	0.35498023
T119_LPS_FC1_4	0.030471703	0.015912974	0.35706928	0.03352825	0.07794938	0.4850684
T115_LPS_FC1_4	0.15032776	0.027569259	0.28747487	0.09697968	0.079013884	0.3586346
K19_CTL_FC1_4	0.026288467	0.017374283	0.40265834	0.043433964	0.06023261	0.45001236
T9_LPS_FC1_4	0.04997484	0.015726471	0.36325085	0.030608455	0.0704796	0.46995983
T30_CTL_FC1_4	0.13716839	0.026503816	0.23499535	0.038615968	0.08681045	0.47590604
T15_GARD_BATCH_2	0.060058158	0.023960002	0.22116043	0.17077613	0.09354931	0.43049598
T101_GARD_BATCH_2	0.09115455	0.021123901	0.1059162	0.041824643	0.22625786	0.51372284
K29_CTL_FC1_4	0.06098425	0.026087312	0.34900972	0.073211305	0.063163616	0.42754385
T32_GARD_BATCH_2	0.17309518	0.050074458	0.30532387	0.06825137	0.08250427	0.32075083
