	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
CYFZ	0.3557736	0.058309495	0.14822702	0.08691191	0.15512532	0.19565262
FY2H	0.5293628	0.07186094	0.11695769	0.060622152	0.10738049	0.11381596
FLWA	0.38056365	0.08106923	0.12998015	0.07482541	0.15451147	0.17905013
453W	0.39385232	0.05373485	0.13143183	0.048873127	0.14598368	0.22612412
684C	0.32693216	0.066059045	0.21752685	0.105990015	0.11129395	0.17219798
CZJE	0.3617762	0.08298591	0.15833579	0.1030162	0.101368956	0.19251691
925L	0.34508908	0.05740425	0.13188803	0.16907717	0.11395568	0.18258579
9JD4	0.3005673	0.07689277	0.18666546	0.091443785	0.115638636	0.22879206
G4YW	0.39179003	0.058830798	0.14091398	0.07384452	0.14733067	0.18728997
4DUY	0.3713238	0.043891367	0.22190088	0.080558844	0.11818495	0.16414018
36TS	0.56982	0.0609456	0.12694578	0.042229354	0.09652055	0.1035387
CR3L	0.35409427	0.07900319	0.19675088	0.122269236	0.095128275	0.1527542
