	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.68112	0.05022791	0.24481793	0.0021383546	0.021695834	0.0
sample_1	0.5956532	0.041127384	0.34928146	0.0	0.009737993	0.0041999416
sample_2	0.5988656	0.05387009	0.2292423	0.034812663	0.042766888	0.04044246
sample_3	0.6569479	0.048583217	0.2676474	0.009414388	0.017407127	0.0
sample_4	0.67595816	0.04992843	0.2541635	0.0109969685	0.008347314	0.00060566067
sample_5	0.63939744	0.049614288	0.26864627	0.02089179	0.018925643	0.0025245606
sample_6	0.65777296	0.048858345	0.23908344	0.004695165	0.024385273	0.025204908
sample_7	0.65657705	0.054207865	0.27207047	0.0	0.017144626	0.0
sample_8	0.62547946	0.05535095	0.28453147	0.009165744	0.025472391	0.0
sample_9	0.5810894	0.0472701	0.34916058	0.004171426	0.01830855	0.0
sample_10	0.7038312	0.05984673	0.20659877	0.0	0.029723281	0.0
sample_11	0.6052736	0.050026186	0.32363424	0.0011840493	0.019881904	0.0
sample_12	0.5924392	0.042355884	0.34028244	0.009963298	0.009193687	0.0057654986
sample_13	0.566681	0.04111639	0.35648802	0.014024388	0.017961469	0.0037287849
sample_14	0.59560937	0.050396614	0.34086865	0.0059126825	0.007212656	0.0
sample_15	0.6634658	0.05094893	0.27183476	0.0	0.013750502	0.0
sample_16	0.57255346	0.038736824	0.33958578	0.0025988822	0.010100677	0.03642445
sample_17	0.56398034	0.032671835	0.36276296	0.013391738	0.0	0.027193185
sample_18	0.6188522	0.051912993	0.31816718	0.0	0.011067632	0.0
sample_19	0.61603385	0.042100534	0.32680696	0.0	0.015058742	0.0
