	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
CYFZ	0.2793029	0.04962624	0.2003368	0.10724772	0.18858835	0.17489798
FY2H	0.30000448	0.058982752	0.21136117	0.1028982	0.17868832	0.14806508
FLWA	0.28019065	0.05950465	0.20679195	0.101428695	0.1880218	0.16406226
453W	0.28064182	0.055132695	0.19513781	0.09696835	0.19100617	0.18111311
684C	0.27421382	0.053878292	0.22057216	0.11259404	0.1839104	0.15483128
CZJE	0.28125367	0.057485946	0.21429615	0.110479966	0.17910573	0.15737846
925L	0.2775355	0.051008277	0.19438954	0.12739064	0.18195553	0.16772053
9JD4	0.26952422	0.05700252	0.2102865	0.10516777	0.18178551	0.17623352
G4YW	0.28456834	0.053969458	0.20754588	0.10426474	0.18780436	0.1618472
4DUY	0.28081536	0.050785214	0.22382931	0.10666322	0.18513332	0.15277359
36TS	0.3041055	0.059890162	0.21106964	0.0953398	0.17338896	0.15620594
CR3L	0.28138277	0.056811918	0.2158264	0.11462118	0.17750876	0.15384898
