	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X2_D0	0.43899557	0.13623528	0.07807754	0.0	0.12958463	0.21710694
X4_D0	0.415248	0.12119714	0.041044198	0.0	0.17241152	0.25009906
X5_D0	0.49877217	0.11739668	0.08731446	0.0	0.121697135	0.1748195
X6_D0	0.47822005	0.12906985	0.059955034	0.0	0.12296968	0.2097854
X8_D0	0.42748764	0.12792188	0.099703014	0.0	0.12734734	0.21754014
X10_D0	0.43874782	0.12982866	0.09752586	0.0	0.12545422	0.2084435
X11_D0	0.4493812	0.13183539	0.097062126	0.0	0.11277103	0.20895025
X12_D0	0.4598882	0.13667473	0.06579728	0.0	0.120399185	0.2172406
X13_D0	0.49341205	0.14767703	0.114408836	0.0	0.09550989	0.14899217
X14_D0	0.4273339	0.1451855	0.094596036	0.0	0.13127673	0.2016078
X15_D0	0.45917422	0.12542012	0.09686475	0.0	0.12239692	0.19614397
X19_D0	0.47618398	0.14301795	0.029664036	0.0	0.15537886	0.19575515
X20_D0	0.43696526	0.12067056	0.094924696	0.0	0.13350512	0.21393433
X23_D0	0.4306502	0.13222302	0.09837199	0.0	0.11958465	0.21917011
X24_D0	0.46189803	0.1263176	0.16170457	0.0	0.08391405	0.16616581
X27_D0	0.50322443	0.112325564	0.06624651	0.0	0.119116664	0.1990868
X29_D0	0.474499	0.13961256	0.06271467	0.0	0.12082024	0.20235348
X31_D0	0.40666354	0.12509388	0.09040892	0.0	0.13513634	0.24269734
X32_D0	0.43358296	0.14338468	0.08813519	0.0	0.124245375	0.21065176
X33_D0	0.43063956	0.14125484	0.05503347	0.0	0.14938442	0.22368777
X35_D0	0.4154706	0.13322276	0.06367148	0.0	0.1515075	0.23612767
X36_D0	0.5003627	0.12612225	0.09327151	0.0	0.11083116	0.16941229
X38_D0	0.42704678	0.13900462	0.070012406	0.0	0.13631107	0.22762507
X39_D0	0.47881234	0.13297209	0.08727142	0.0	0.121520706	0.1794234
X40_D0	0.4366872	0.12171488	0.109827995	0.0	0.12311488	0.20865509
X42_D0	0.43643805	0.12748095	0.07084067	0.0	0.14040723	0.22483312
X44_D0	0.47729123	0.15296726	0.05412041	0.0	0.13514872	0.18047239
X45_D0	0.49373692	0.13849834	0.056332905	0.0	0.12120504	0.19022685
X46_D0	0.47024196	0.1280626	0.056917913	0.0	0.14139937	0.20337814
X48_D0	0.45000255	0.13135539	0.08419712	0.0	0.14092083	0.19352408
X49_D0	0.47330418	0.11553303	0.047787655	0.0	0.1495803	0.21379486
X50_D0	0.4652173	0.12683356	0.110460125	0.0	0.09935612	0.19813293
X51_D0	0.4468922	0.122668505	0.12370173	0.0	0.09626737	0.21047023
X52_D0	0.44578922	0.12454862	0.12102421	0.0	0.10250413	0.20613387
X53_D0	0.45507234	0.11843279	0.11882808	0.0	0.090003565	0.21766317
X54_D0	0.4322399	0.123538464	0.11452507	0.0	0.09659378	0.2331028
X55_D0	0.45724374	0.14343598	0.0983289	0.0	0.10505638	0.19593503
X56_D0	0.4585752	0.13240737	0.091233835	0.0	0.12461244	0.19317123
X57_D0	0.4395078	0.13033873	0.105346374	0.0	0.11134295	0.21346416
X58_D0	0.514587	0.11979626	0.09120954	0.0	0.095085844	0.17932138
X59_D0	0.43389395	0.13776821	0.074980326	0.0	0.13866621	0.21469127
X60_D0	0.41974685	0.11827786	0.10880478	0.0	0.12272053	0.23045006
X62_D0	0.41161332	0.13684131	0.079705656	0.0	0.14197181	0.22986795
X63_D0	0.47887594	0.13157238	0.07689824	0.0	0.12185126	0.19080225
X64_D0	0.47259486	0.13320404	0.08092238	0.0	0.11935122	0.19392754
X67_D0	0.4502277	0.13575558	0.08411172	0.0	0.13135758	0.19854736
X68_D0	0.49940827	0.15407066	0.06944122	0.0	0.09907813	0.17800175
X69_D0	0.41260025	0.12673263	0.11190628	0.0	0.1159315	0.23282935
X70_D0	0.48836407	0.1505218	0.09771939	0.0	0.09764448	0.16575016
X71_D0	0.45451662	0.13355963	0.08835542	0.0	0.11995528	0.20361307
X73_D0	0.45176235	0.14188607	0.10259064	0.0	0.09736963	0.2063913
X74_D0	0.46377307	0.1324028	0.101084396	0.0	0.10425407	0.19848564
X75_D0	0.4668638	0.14456865	0.09405963	0.0	0.09906343	0.19544446
X76_D0	0.42232358	0.114761315	0.0930939	0.0	0.12019781	0.24962339
X77_D0	0.46787673	0.14941508	0.07472107	0.0	0.11277544	0.19521165
X78_D0	0.52829534	0.15172686	0.06346895	0.0	0.09588304	0.1606258
X79_D0	0.46547386	0.14950737	0.093876705	0.0	0.11082045	0.18032166
X80_D0	0.4347399	0.12713364	0.11437661	0.0	0.10990947	0.21384037
X81_D0	0.44180766	0.13085942	0.12883331	0.0	0.090367585	0.20813198
X83_D0	0.4299482	0.13580921	0.114561066	0.0	0.10165922	0.21802233
X84_D0	0.47253108	0.14564966	0.07569152	0.0	0.11256473	0.193563
X85_D0	0.45958522	0.1315478	0.093763195	0.0	0.116520464	0.1985833
X86_D0	0.41008276	0.13894747	0.10099493	0.0	0.1264068	0.2235681
X87_D0	0.45843545	0.15317963	0.05634432	0.0	0.13112433	0.20091626
X90_D0	0.49482414	0.13751712	0.07242207	0.0	0.12221706	0.17301959
X91_D0	0.4876629	0.13481918	0.09855084	0.0	0.11063454	0.16833249
X92_D0	0.48123422	0.14041805	0.07134551	0.0	0.12111908	0.1858831
X93_D0	0.45586714	0.15427455	0.08781255	0.0	0.12155559	0.18049018
X94_D0	0.4889851	0.13832784	0.08485219	0.0	0.112780094	0.17505483
X95_D0	0.34409946	0.1424414	0.049072642	0.0	0.17925781	0.28512868
X96_D0	0.45308107	0.12478405	0.07831408	0.0	0.14930415	0.19451657
X99_D0	0.47937647	0.121701114	0.06923082	0.0	0.130099	0.19959265
X100_D0	0.43313897	0.13503811	0.063655026	0.0	0.14621913	0.22194871
X102_D0	0.45667934	0.13709633	0.068502866	0.0	0.13310984	0.20461163
X104_D0	0.5081155	0.12979482	0.05455032	0.0	0.11838271	0.18915665
X105_D0	0.48412195	0.13920829	0.07432649	0.0	0.12396488	0.17837834
X107_D0	0.47384527	0.13785823	0.07737625	0.0	0.11732409	0.19359617
X108_D0	0.43146646	0.13833766	0.09663329	0.0	0.117832296	0.21573031
X116_D0	0.48911327	0.13452809	0.0765135	0.0	0.124942936	0.17490219
X118_D0	0.45224175	0.1293013	0.08075989	0.0	0.12817454	0.20952256
X119_D0	0.44900724	0.13503522	0.08913285	0.0	0.13066569	0.19615905
