	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
sample_0	0.6466209	0.12990807	0.017491702	0.0	0.0	0.2059793
sample_1	0.367046	0.06406386	0.35405016	0.0	0.0	0.21483997
sample_2	0.3896668	0.1528905	0.0	0.0519005	0.09789308	0.30764917
sample_3	0.66533923	0.13071151	0.1677848	0.0	0.0	0.036164407
sample_4	0.599224	0.13247088	0.07980951	0.0	0.0	0.18849567
sample_5	0.5269154	0.13528626	0.107123315	0.0	0.0	0.23067504
sample_6	0.5664727	0.13119695	0.0	0.0	0.013023125	0.2893072
sample_7	0.62985164	0.14917114	0.17478862	0.0	0.0	0.04618867
sample_8	0.54822814	0.17106958	0.2200678	0.0	0.0	0.060634527
sample_9	0.34473035	0.111825846	0.40961057	0.0	0.0	0.13383321
sample_10	0.8072734	0.17303368	0.0	0.0	0.019692868	0.0
sample_11	0.44517976	0.12070453	0.31417552	0.0	0.0	0.11994019
sample_12	0.35454738	0.07206855	0.34762952	0.0	0.0	0.22575453
sample_13	0.2955617	0.076698236	0.40339708	0.0	0.0	0.22434294
sample_14	0.38223433	0.113289386	0.36964202	0.0	0.0	0.13483427
sample_15	0.6905031	0.12616093	0.17798422	0.0	0.0	0.0053516626
sample_16	0.28704843	0.07042518	0.32970932	0.0	0.0	0.31281698
sample_17	0.2725082	0.037838444	0.42481685	0.002133786	0.0	0.26270273
sample_18	0.44893652	0.11709151	0.28125647	0.0	0.0	0.1527155
sample_19	0.45591003	0.08513822	0.3067694	0.0	0.0	0.15218234
