	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
CYFZ	0.36139977	0.027903583	0.11979689	0.08176305	0.19879287	0.21034388
FY2H	0.4872173	0.06382459	0.10731725	0.059916373	0.15180816	0.12991634
FLWA	0.3643488	0.06254071	0.13078676	0.0627753	0.19450821	0.18504022
453W	0.38164937	0.033759966	0.0772892	0.045245476	0.20877686	0.25327906
684C	0.31349772	0.04619354	0.21530117	0.10495769	0.16713677	0.15291317
CZJE	0.36363772	0.060691897	0.16862531	0.095911086	0.16018908	0.1509449
925L	0.34918243	0.02373265	0.08940628	0.16198505	0.17456545	0.2011281
9JD4	0.29792306	0.053333066	0.17856602	0.078141384	0.17729326	0.21474323
G4YW	0.38548657	0.03177319	0.12853278	0.07270213	0.20140116	0.1801042
4DUY	0.35515872	0.01869597	0.20145842	0.085643016	0.18126394	0.15777995
36TS	0.52740574	0.05396952	0.08798287	0.038054816	0.14586937	0.14671776
CR3L	0.36139044	0.054451197	0.18073873	0.113333166	0.14622705	0.14385937
