	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
X2_D0	0.40071607	0.066703714	0.17775491	0.0	0.17887966	0.1759457
X4_D0	0.36455652	0.025797741	0.050523795	0.0	0.300777	0.25834498
X5_D0	0.5516389	0.013618663	0.17936747	0.0	0.17420803	0.081166916
X6_D0	0.49805343	0.04023132	0.106770016	0.0	0.17448086	0.18046437
X8_D0	0.34863105	0.05028294	0.2560342	0.029461665	0.16123913	0.15435106
X10_D0	0.3791266	0.049008947	0.25290614	0.040024314	0.16029945	0.1186345
X11_D0	0.4061978	0.05912655	0.25678056	0.0053773406	0.12817995	0.14433783
X12_D0	0.44164398	0.06225509	0.14647847	0.0	0.15726875	0.19235364
X13_D0	0.51019794	0.09176142	0.29479092	0.0	0.1032497	0.0
X14_D0	0.379677	0.093393125	0.21597467	0.0	0.17487174	0.13608348
X15_D0	0.43806118	0.03329483	0.2434003	0.02814628	0.15728849	0.099808946
X19_D0	0.52804816	0.06211854	0.003636591	0.0	0.2863228	0.11987392
X20_D0	0.40019548	0.030929262	0.21751724	0.0	0.1873365	0.16402157
X23_D0	0.36693156	0.063486785	0.23225358	0.0	0.14586784	0.1914603
X24_D0	0.40870178	0.050973367	0.45453802	0.017967042	0.051285658	0.016534166
X27_D0	0.5554825	0.0005932415	0.11375727	0.0	0.16543138	0.16473566
X29_D0	0.48613054	0.06805431	0.11896549	0.0	0.16423374	0.16261597
X31_D0	0.31941822	0.04986356	0.21298684	0.0	0.18062583	0.23710547
X32_D0	0.37097856	0.087712996	0.23429969	0.01145333	0.15358095	0.14197445
X33_D0	0.39245716	0.079738624	0.08778342	0.0	0.24306329	0.19695753
X35_D0	0.36128637	0.0550995	0.124952875	0.0	0.24119948	0.21746182
X36_D0	0.550343	0.034186438	0.21108244	0.0	0.14689863	0.057489533
X38_D0	0.3729367	0.06985369	0.16759838	0.0029786164	0.19932698	0.18730569
X39_D0	0.5013203	0.054227207	0.18299198	0.0	0.1697518	0.0917088
X40_D0	0.38914308	0.037638962	0.26790237	0.0	0.1511409	0.15417469
X42_D0	0.40202662	0.043900214	0.14810894	0.0	0.21024998	0.19571427
X44_D0	0.5116607	0.08961067	0.10909389	0.0	0.21983778	0.06979701
X45_D0	0.54013664	0.056290995	0.09380845	0.0	0.176533	0.13323094
X46_D0	0.49392676	0.037427638	0.09386567	0.0	0.22688629	0.14789364
X48_D0	0.44725278	0.049431656	0.1959802	0.0	0.22101058	0.08632476
X49_D0	0.5034179	0.007493335	0.047004722	0.0	0.25173187	0.1903522
X50_D0	0.44346637	0.048825987	0.27586815	0.0	0.09736901	0.13447042
X51_D0	0.38986212	0.04343931	0.3119075	0.00069363636	0.08225605	0.17184144
X52_D0	0.3941805	0.04123951	0.3120492	0.012030902	0.09594463	0.14455524
X53_D0	0.40022868	0.03256067	0.30750492	0.0015531641	0.061072648	0.1970799
X54_D0	0.34673995	0.03868303	0.2926151	0.023979228	0.07247748	0.22550523
X55_D0	0.4244706	0.078006476	0.2524147	0.018267702	0.112218566	0.11462186
X56_D0	0.45186996	0.048195805	0.19277455	0.0	0.17294936	0.13421033
X57_D0	0.38542908	0.058774803	0.25576186	0.0	0.1186062	0.18142807
X58_D0	0.57220834	0.02005554	0.18517551	0.0	0.09887045	0.12369014
X59_D0	0.3956011	0.06932692	0.15829542	0.0	0.20754278	0.16923386
