index	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
0-1-0-0-0	0.171	0.0544	0.2039	0.1532	0.1658	0.2236
1-1-0-0-0	0.057	0.0228	0.4424	0.0516	0.089	0.3205
2-1-0-0-0	0.0799	0.1249	0.1116	0.1916	0.2964	0.1786
3-1-0-0-0	0.1708	0.0064	0.3507	0.1972	0.1711	0.0869
4-1-0-0-0	0.1338	0.0559	0.3015	0.1309	0.0788	0.2798
5-1-0-0-0	0.1047	0.0755	0.2928	0.1578	0.1418	0.2037
6-1-0-0-0	0.1587	0.1494	0.255	0.0686	0.1081	0.2422
7-1-0-0-0	0.1867	0.0175	0.4538	0.0832	0.1393	0.0984
8-1-0-0-0	0.2711	0.0112	0.3764	0.1159	0.1006	0.0687
9-1-0-0-0	0.0886	0.0048	0.5478	0.0709	0.1471	0.0689
10-1-0-0-0	0.4452	0.0364	0.1548	0.0054	0.237	0.0889
11-1-0-0-0	0.1727	0.0043	0.4975	0.0404	0.1551	0.1005
12-1-0-0-0	0.1558	0.0867	0.4083	0.0452	0.0956	0.191
13-1-0-0-0	0.1467	0.0162	0.3846	0.0458	0.1887	0.1999
14-1-0-0-0	0.106	0.0658	0.5057	0.0622	0.0424	0.1955
15-1-0-0-0	0.2034	0.0049	0.4475	0.0354	0.128	0.1467
16-1-0-0-0	0.0409	0.0414	0.406	0.0535	0.0743	0.3611
17-1-0-0-0	0.0397	0.0463	0.4432	0.0534	0.0679	0.3313
18-1-0-0-0	0.0976	0.0629	0.4695	0.0256	0.066	0.2482
19-1-0-0-0	0.1479	0.0181	0.4975	0.0614	0.0784	0.1289
