	Bcells	CD4Tcells	CD8Tcells	Monocytes	NK	Unknown
X2_D0	0.1173	0.323	0.231	0.1214	0.16469	0.04261
X4_D0	0.0815	0.189	0.231	0.1127	0.328	0.0578
X5_D0	0.0437	0.356	0.12	0.2045	0.222	0.0538
X6_D0	0.0669	0.274	0.248	0.1662	0.1943	0.0506
X8_D0	0.1865	0.345	0.216	0.0948	0.09847	0.05923
X10_D0	0.1733	0.393	0.11	0.1215	0.15	0.0522
X11_D0	0.1438	0.393	0.136	0.1346	0.0886	0.104
X12_D0	0.0996	0.328	0.239	0.214	0.03873	0.08067
X13_D0	0.1079	0.429	0.0543	0.2676	0.08805	0.05315
X14_D0	0.0681	0.31	0.201	0.1721	0.1856	0.0632
X15_D0	0.1726	0.345	0.135	0.1464	0.1466	0.0544
X19_D0	0.08446	0.119	0.101	0.1733	0.4738	0.04844
X20_D0	0.0709	0.348	0.138	0.1317	0.25595	0.05545
X23_D0	0.124	0.376	0.191	0.1211	0.10357	0.08433
X24_D0	0.1769	0.489	0.0877	0.1559	0.03989	0.05061
X27_D0	0.0799	0.302	0.277	0.1827	0.09713	0.06127
X29_D0	0.07128	0.33	0.232	0.2021	0.10827	0.05635
X31_D0	0.0633	0.351	0.232	0.1084	0.17229	0.07301
X32_D0	0.1462	0.347	0.174	0.1617	0.11791	0.05319
X33_D0	0.0603	0.233	0.185	0.1304	0.2864	0.1049
X35_D0	0.11	0.277	0.207	0.1178	0.2369	0.0513
X36_D0	0.099	0.35	0.107	0.2409	0.1326	0.0705
X38_D0	0.1313	0.29	0.145	0.1424	0.1694	0.1219
X39_D0	0.0918	0.317	0.119	0.1942	0.20782	0.07018
X40_D0	0.0862	0.428	0.194	0.1216	0.1283	0.0419
X42_D0	0.0628	0.308	0.209	0.1632	0.20465	0.05235
X44_D0	0.1098	0.287	0.101	0.2451	0.215	0.0421
X45_D0	0.0841	0.279	0.245	0.1966	0.11847	0.07683
X46_D0	0.1076	0.26	0.16	0.1581	0.2663	0.048
X48_D0	0.1477	0.292	0.129	0.1453	0.24785	0.03815
X49_D0	0.089	0.205	0.161	0.1377	0.3175	0.0898
X50_D0	0.1117	0.374	0.206	0.1438	0.08791	0.07659
X51_D0	0.1288	0.375	0.21	0.1226	0.10637	0.05723
X52_D0	0.1694	0.389	0.211	0.1153	0.04358	0.07172
X53_D0	0.1301	0.276	0.317	0.1255	0.06174	0.08966
X54_D0	0.1508	0.33	0.262	0.1022	0.1009	0.0541
X55_D0	0.1935	0.303	0.186	0.1552	0.05827	0.10403
X56_D0	0.0741	0.255	0.174	0.1637	0.2101	0.1231
X57_D0	0.127	0.285	0.278	0.1123	0.07803	0.11967
X58_D0	0.0637	0.306	0.252	0.2118	0.08339	0.08311
X59_D0	0.1025	0.298	0.173	0.1277	0.23456	0.06424
X60_D0	0.0827	0.401	0.186	0.1023	0.1638	0.0642
X62_D0	0.1215	0.336	0.202	0.1026	0.14932	0.08858
X63_D0	0.17361	0.269	0.173	0.131	0.1712	0.08219
X64_D0	0.1274	0.303	0.126	0.1831	0.2117	0.0488
X67_D0	0.0736	0.329	0.206	0.1595	0.1755	0.0564
X68_D0	0.1215	0.223	0.253	0.2559	0.0681544	0.0784456
X69_D0	0.12783	0.355	0.196	0.0995	0.11634	0.10533
X70_D0	0.1139	0.3	0.209	0.225	0.05133	0.10077
X71_D0	0.0685	0.262	0.221	0.1771	0.1911	0.0803
X73_D0	0.0838	0.293	0.264	0.153	0.03945	0.16675
X74_D0	0.1205	0.342	0.229	0.1328	0.09073	0.08497
X75_D0	0.1405	0.337	0.25	0.1519	0.05063	0.06997
X76_D0	0.0995	0.305	0.293	0.0948	0.1373	0.0704
X77_D0	0.1257	0.253	0.283	0.2061	0.07643	0.05577
X78_D0	0.1405	0.228	0.123	0.2928	0.05959	0.15611
X79_D0	0.1064	0.318	0.189	0.2268	0.06127	0.09853
X80_D0	0.1115	0.401	0.225	0.1077	0.09069	0.06411
X81_D0	0.07786	0.31	0.337	0.1441	0.05414	0.0769
X83_D0	0.122	0.359	0.237	0.113	0.04034	0.12866
X84_D0	0.0612	0.261	0.267	0.1241	0.20129	0.08541
X85_D0	0.1249	0.366	0.148	0.1591	0.13954	0.06246
X86_D0	0.1327	0.283	0.256	0.1174	0.10522	0.10568
X87_D0	0.11378	0.254	0.125	0.1792	0.2174	0.11062
X90_D0	0.1104	0.315	0.137	0.212	0.178	0.0476
X91_D0	0.129	0.378	0.107	0.1612	0.16069	0.06411
X92_D0	0.0825	0.281	0.156	0.227	0.1729	0.0806
X93_D0	0.1004	0.353	0.136	0.19	0.12844	0.09216
X94_D0	0.1872	0.311	0.0874	0.1927	0.17368	0.04802
X95_D0	0.01367	0.183	0.339	0.0469	0.37112	0.04631
X96_D0	0.05341	0.279	0.168	0.1645	0.2951	0.03999
X99_D0	0.0828	0.295	0.197	0.1888	0.1803	0.0561
X100_D0	0.08266	0.244	0.18	0.1526	0.2521	0.08864
X102_D0	0.02384	0.306	0.189	0.213	0.16972	0.09844
X104_D0	0.0751	0.297	0.16	0.233	0.1706	0.0643
X105_D0	0.0787	0.246	0.207	0.2451	0.13564	0.08756
X107_D0	0.1186	0.359	0.159	0.1848	0.1083	0.0703
X108_D0	0.1147	0.42	0.142	0.1136	0.09854	0.11116
X116_D0	0.0728	0.296	0.125	0.2491	0.19955	0.05755
X118_D0	0.0946	0.388	0.177	0.1503	0.13455	0.05555
X119_D0	0.0884	0.358	0.141	0.1314	0.20323	0.07797
X122_D0	0.0644	0.284	0.203	0.2085	0.10346	0.13664
X123_D0	0.1531	0.26	0.164	0.2201	0.10158	0.10122
X124_D0	0.1209	0.341	0.228	0.1198	0.1447	0.0456
X125_D0	0.1179	0.271	0.161	0.2477	0.05973	0.14267
X126_D0	0.0961	0.219	0.398	0.1546	0.07043	0.06187
X128_D0	0.1751	0.333	0.149	0.2243	0.05737	0.06123
X129_D0	0.1044	0.334	0.14	0.1791	0.13219	0.11031
X132_D0	0.0684	0.283	0.113	0.1675	0.3081	0.06
X135_D0	0.1158	0.411	0.16	0.1297	0.13235	0.05115
X136_D0	0.1265	0.301	0.128	0.1323	0.24573	0.06647
X137_D0	0.1199	0.29	0.216	0.1968	0.10565	0.07165
X138_D0	0.0892	0.314	0.144	0.2683	0.11622	0.06828
X139_D0	0.1069	0.425	0.186	0.1359	0.09734	0.04886
X142_D0	0.0829	0.371	0.184	0.1986	0.0875	0.076
X143_D0	0.1138	0.378	0.194	0.1356	0.12565	0.05295
