index	Monocytes	Unknown	CD4Tcells	Bcells	NK	CD8Tcells
0-1-0-0	0.2129	0.048	0.3181	0.0579	0.1018	0.2613
1-1-0-0	0.1556	0.0474	0.2448	0.0531	0.122	0.3772
2-1-0-0	0.2084	0.0954	0.2133	0.0246	0.2289999999999999	0.2293
3-1-0-0	0.0518	0.0291	0.3893	0.0336	0.1083	0.3879
4-1-0-0	0.1037	0.0561	0.3076	0.0293	0.0573	0.446
5-1-0-0	0.1072	0.068	0.3805	0.0233	0.1906	0.2304
6-1-0-0	0.1207	0.038	0.357	0.03	0.059	0.3953
7-1-0-0	0.3031	0.0928	0.186	0.0714	0.1676	0.1791
8-1-0-0	0.0985	0.0308	0.2159	0.0531	0.1578	0.4439
9-1-0-0	0.1657	0.0375	0.4539999999999999	0.0328	0.0563	0.2537
10-1-0-0	0.1234	0.0402	0.4906	0.0713	0.0529	0.2217
11-1-0-0	0.1542	0.0319	0.2281	0.0363	0.1602	0.3894
