	beta	alpha	delta	gamma
Sub1	0.442519401162539	0.454319353386593	0.0203267528298811	0.0828344926209872
Sub2	0.370610387948256	0.596818297432073	0.0160320014499982	0.0165393131696732
Sub3	0.327878126615347	0.480792949881592	0.150568361970153	0.040760561532908
Sub4	0.481283519619535	0.351067073506355	0.035792269849848	0.131857137024262
Sub5	0.385871082387976	0.354648883507024	0.0215110617808883	0.237968972324112
Sub6	0.532889476438181	0.433276037105082	0.0194002853908284	0.014434201065909
Sub7	0.436066476228298	0.445254067497471	0.0617443685914346	0.0569350876827955
Sub8	0.573061139710819	0.320397892464773	0.0689395925319874	0.0376013752924203
Sub9	0.446045966784847	0.424292485065315	0.0476956994299452	0.0819658487198929
Sub10	0.530879326288029	0.376687829874567	0.022295719416131	0.0701371244212738
Sub11	0.259831526024814	0.466913855670469	0.0456027575837576	0.22765186072096
Sub12	0.335594074869794	0.520919230487034	0.0292179694519304	0.114268725191241
Sub13	0.450147478079278	0.379375408717091	0.0758669338928812	0.0946101793107496
Sub14	0.430087898073146	0.391655304573229	0.0217413827268652	0.15651541462676
Sub15	0.466047367701216	0.448791138104477	0.0679287738553522	0.0172327203389556
Sub16	0.546332621465382	0.337959142557291	0.0739038235034747	0.0418044124738521
Sub17	0.469190196527606	0.389079544858292	0.122588006560135	0.0191422520539673
Sub18	0.47719737444741	0.394424961141591	0.0802410396188892	0.0481366247921104
Sub19	0.392233525166882	0.401932775190186	0.083545847000357	0.122287852642576
Sub20	0.494780482921387	0.430632964914031	0.0702608738895772	0.0043256782750056
Sub21	0.609218347873425	0.288445957477057	0.100310030779518	0.0020256638699996
Sub22	0.484910589269789	0.41690992751853	0.0271300993201344	0.0710493838915472
Sub23	0.397885546840129	0.416014157399766	0.10893593225404	0.077164363506065
Sub24	0.459617198021679	0.354261533925317	0.12829146825197	0.0578297998010335
Sub25	0.391840137008281	0.446124294422875	0.0605556472056011	0.101479921363243
Sub26	0.405936450547241	0.381161015735716	0.0347939899495981	0.178108543767444
Sub27	0.37744813663108	0.426957048185807	0.0897382548964934	0.105856560286619
Sub28	0.445771922815037	0.440579243643728	0.0238963358558279	0.0897524976854078
Sub29	0.386164441144745	0.501266639294745	0.0777042970746612	0.034864622485849
Sub30	0.418781779254048	0.52224654642336	0.0438519405980474	0.0151197337245443
Sub31	0.423204403066486	0.489998955745763	0.0305279922228522	0.0562686489648988
Sub32	0.291451270230948	0.520676569716837	0.0703980101948313	0.117474149857383
Sub33	0.473392281319989	0.424284016950895	0.0709617520799113	0.0313619496492054
Sub34	0.322207495885813	0.48161306793308	0.132391769088836	0.0637876670922711
Sub35	0.40327320752061	0.341075203933281	0.0462934522595162	0.209358136286593
Sub36	0.374272864049753	0.364713841537582	0.11753980997151	0.143473484441156
Sub37	0.398889716522059	0.500772545005192	0.0899093571162291	0.0104283813565207
Sub38	0.495556044085891	0.3667808495566	0.0934049134895258	0.044258192867983
Sub39	0.392168584403415	0.265893441815323	0.118702855057678	0.223235118723583
Sub40	0.272306206489584	0.412403599745768	0.0294275492154342	0.285862644549213
Sub41	0.305369824295355	0.580008149938811	0.0611894976406573	0.0534325281251767
Sub42	0.292666103775239	0.540377071499547	0.0768186300238865	0.0901381947013269
Sub43	0.313731608371708	0.563393562665642	0.0667519558973683	0.0561228730652819
Sub44	0.425234269124634	0.40866840312014	0.0884792752794855	0.077618052475741
Sub45	0.339783658566558	0.505717631558095	0.0934636835612505	0.0610350263140963
Sub46	0.289272259550363	0.388978156356808	0.0779006306151349	0.243848953477694
Sub47	0.329928196539624	0.36247544098828	0.115628008486095	0.191968353986001
