	delta	beta	gamma	alpha	acinar	ductal	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
Sub1	0.0008437493977092	0.267819753948509	0.0034465329562611	0.418283040230432	0.0612073377491361	0.0305474373675633	6.5129182245061e-07	0.0075664892277154	4.44791170757728e-06	0.11679596246037	0.0394435710108996	0.0446697271127498	0.0003795617768793	0.0089917375582449
Sub2	0.0029492350112131	0.527989935784301	0.0016390964166566	0.159066239983738	0.0252397260633624	0.0518563816599136	5.90899526924912e-07	2.72800501441584e-06	8.74052390950352e-05	0.147403769946658	0.0300592765035202	0.0460732813795557	0.0003983371341251	0.0072339959733196
Sub3	0.0269769093599872	0.315072497561072	0.0006519948520146	0.229571263769169	0.159690443859506	0.0679311048652556	7.90858315978206e-07	0.0011779344409149	0.0011754394712399	0.119453503978462	0.0529608770117364	0.0187631628731378	0.0005883576557611	0.005985719443426
Sub4	0.0086830323669519	0.421437362588379	0.0552948007386985	0.16747799446591	0.0361992536223933	0.0956054689780697	6.99993042932919e-07	1.92299071968578e-06	3.81928834240802e-06	0.125756804303522	0.0276258118247981	0.0593317558651642	0.0004802850483093	0.0021009879256987
Sub5	0.0009420509563255	0.19295416117012	0.0010571192561359	0.433443314006159	0.128743968561066	0.0396222582341713	6.69272870137854e-07	0.0012105161926812	3.09386636035472e-07	0.0573466716021659	0.0479360065644888	0.0614156295676272	0.0002146431044617	0.0351126821250916
Sub6	0.0007540772776738	0.377398308968922	0.0013588095832365	0.0733516687731905	0.007501003118268	0.11775084590281	0.0135584924290959	0.0152249368496039	0.0001665464384822	0.181615661931159	0.135806639503796	0.0497531604009609	0.0007075168517602	0.0250523319710416
Sub7	0.0099099244523647	0.452327415354913	0.0009943471320576	0.130674643863689	0.0644418408472148	0.110058975281157	6.35411567305752e-07	0.0015414069134968	3.17461702308337e-06	0.0802541771290936	0.0658330985101618	0.0682635158823665	0.0003067196732096	0.0153901249316846
Sub8	0.0168577027703092	0.364753012287631	0.0103130159060157	0.105905123407037	0.0869429657528683	0.199053916793296	4.79856302787461e-07	2.05362001693751e-06	0.000327421859902	0.128698034991958	0.0579998733959394	0.0282093537328902	0.0007367967437626	0.0002002488820697
Sub9	0.0054567133155414	0.240217244802075	0.0014335769915694	0.386309798226862	0.0634689893909431	0.0373218361657477	6.75304077751066e-07	0.0044719366731397	9.90470032452296e-05	0.125860144395136	0.0638560269247247	0.0475579199594606	0.0004238712966256	0.0235222195508509
Sub10	0.0024422941349353	0.244413052577171	1.92318137673257e-06	0.396857474929432	0.0329802861100051	0.0566734458072774	5.12565709247238e-07	0.0019691170470542	8.28384245798422e-07	0.0961910728763038	0.0703962569686269	0.0700774448869082	0.0004043689850387	0.0275919215459151
Sub11	6.17638936790463e-07	0.069746713634479	1.60364841298669e-06	0.284990478404475	0.352699021068937	3.05218672493915e-06	9.47197416942102e-07	0.0210072963899206	0.0002919016155054	0.15010895089445	0.0913990567850602	0.0185259404749947	0.0013542775943013	0.0098701424663852
Sub12	0.0019569059535106	0.255890748398844	0.0071480099335147	0.29312941232266	0.0988392393053946	0.0093656243081649	1.11709830084958e-06	0.0035478589095661	0.0001836840662901	0.194351188468537	0.0835128456320426	0.0399232882433911	0.0011737275211798	0.0109763498386036
Sub13	0.014793853027292	0.30085127180883	0.0200151042740015	0.24221761172675	0.0597111904761191	0.103673087679247	0.0001429223835215	0.0001254685547991	0.0001814236867438	0.1241274657978	0.0805026135794337	0.0429840265291294	0.000712654536444	0.0099613059398886
Sub14	0.0009659375935326	0.0886839415509027	0.0029120428966589	0.474150479435704	0.233593931608349	0.0124967454667963	4.70895461063096e-07	0.0005404269826025	0.0001790813177216	0.120440232192473	0.0277186235276441	0.0302602028957236	0.0007511217950836	0.0073067618413463
Sub15	0.0157680855026998	0.430615851483874	9.81399287605024e-06	0.198690332392072	0.0418132290739964	0.0894628171831309	6.65856587734355e-07	0.0005270204382023	7.43476164741777e-05	0.104680104905165	0.0317899357032127	0.06544660048256	0.0004710149624636	0.0206501804066842
Sub16	0.0149986650694406	0.302715516376302	0.0067460726688204	0.218235147127678	0.0631717260224727	0.132559838930071	1.49793907991676e-06	0.0004213924054148	0.0001599738173538	0.144434960029277	0.06713417934985	0.0399928072521507	0.0005173609247431	0.0089108620873455
Sub17	0.0304268493402538	0.386792452041809	0.0046535224357652	0.149831364647899	0.0211557304402969	0.120657298421311	0.0002825537823438	0.0140458760187611	1.32424435666206e-05	0.127568396710638	0.0926093577531871	0.0429089729514823	0.0001494061439224	0.0089049768687634
Sub18	0.0146089150397887	0.319803856277074	0.0054215820422415	0.201352677240641	0.0662340713613525	0.112987586229546	9.35049145429797e-07	0.0002667161061999	0.0001755252199852	0.151023997882587	0.0864888504854193	0.0367152632466874	0.0010222435323448	0.0038977802869874
Sub19	0.012108976514898	0.314504268688173	0.0089165319628238	0.212177477340557	0.150467136427508	0.0756538970271105	5.89897485479958e-07	7.20081435906531e-06	3.7422548613931e-05	0.110855783286351	0.066426860177944	0.0394729473913771	0.0005840049540068	0.0087869029687915
Sub20	0.0200953530123575	0.484321979328497	0.0006934230062487	0.133624020003764	0.0183160269431469	0.112965437663493	6.05731196485612e-07	2.04737848304895e-06	0.0002266478515983	0.154497789835699	0.0273873919754326	0.0455707393780512	0.0007178802041719	0.0015806576878604
Sub21	0.032059214769602	0.423585580113297	2.15029672790156e-05	0.10019134301253	0.0151242850975853	0.211679159273421	3.97163659405824e-07	1.22746583387984e-06	0.0001663688533593	0.140484771655502	0.0242733343346919	0.0485293499211112	0.0003925966291057	0.003490868743022
Sub22	0.0030743210509855	0.229443685272004	0.0028019749682835	0.26489135729997	0.136818189872665	0.0594716761159808	3.90727783687623e-07	0.000392957458617	0.0005834089234058	0.204004569423284	0.048216378862744	0.0438379240667496	0.0013172528505037	0.0051459131070231
Sub23	0.0222802852082376	0.339188150819438	0.0122509456942413	0.216457350722351	0.199790379813249	0.0861739594442752	6.67682192817257e-07	9.66763207624387e-07	0.0004340342757869	0.0679247867052833	0.0170534341888037	0.037944361153816	0.0004445417338917	5.61357952260942e-05
Sub24	0.0258910276984999	0.245867466836621	0.0058788940037181	0.295179947045581	0.0872803796011425	0.0853622273760648	8.83723569530391e-07	0.0006177370197796	0.0001294380836667	0.138488196159743	0.0685505747838634	0.0360586170859027	0.0005576260835824	0.0101369844982645
Sub25	0.0078719011869005	0.137217170825614	0.0044648804503718	0.43732242267709	0.229237633255621	0.0318078599116804	4.02289405198552e-07	5.67531662546057e-05	0.0002700602006792	0.102552868658934	0.0175277715729838	0.0270128941411639	0.0002911910573294	0.0043661906059722
Sub26	0.0023641510368634	0.229791913049145	0.0004406304268899	0.285204195619279	0.192481182715635	0.0548483672806861	1.02355415882159e-06	0.001459370334585	8.6289591879596e-06	0.102280533968203	0.0491723531365487	0.0443318645604982	0.0005131639203998	0.037102621437919
Sub27	0.0112272573289809	0.299664628563612	0.0005458783998964	0.215627653613065	0.182731965649367	0.079318452144888	5.09591479331514e-07	6.17349921108194e-06	8.49225944019565e-05	0.103867678730236	0.0644990041684197	0.0343240692651428	0.0006578671549302	0.0074439392963694
Sub28	0.0030252665515146	0.338112217289468	7.79733062985333e-07	0.266163672692407	0.088179409047356	0.0730114301896034	7.81166356290411e-07	0.000102631682236	5.17935372539749e-05	0.0981359231747802	0.0341553196062588	0.055217284528336	0.0005966941923042	0.0432467966090622
Sub29	0.0178222133805657	0.448911339671932	0.0050871695724997	0.164551731331836	0.0361072128041638	0.0940542602728602	8.48696876652095e-07	0.0032699834580891	8.62317934743418e-06	0.0927845609818428	0.0610616880046885	0.049710833980475	0.0005649887739609	0.0260645458908619
Sub30	0.0099822339510424	0.548803894458457	0.0017258106693176	0.116852511749271	0.0515457671170099	0.108073780349788	9.57252676364516e-07	2.9463364517248e-06	3.04755629167887e-05	0.0935144330023174	0.0238780504574522	0.0426810873054634	0.0002145177132701	0.0026935340745655
Sub31	0.0036883076373314	0.33272664518823	0.000817785412442	0.279220022873949	0.06241572226225	0.0517272833219919	1.42800637807427e-06	0.0016696227491171	9.44877238988962e-07	0.101281934692138	0.0829884908257606	0.0564666230825058	0.0003244224792612	0.0266707665914057
Sub32	0.0038235567138564	0.236510899445927	0.0038492775560193	0.218928678276873	0.170506473938138	0.0023479716543999	8.05214155835593e-07	0.0299087059828963	0.000373352338174	0.221167401882342	0.0832856344794356	0.0240793183718886	0.0010213545467671	0.0041965695991268
Sub33	0.0125519492462197	0.429021708688629	0.0041758522996438	0.110428219036851	0.0787777034048961	0.13544182677175	0.0032700329193762	0.0087531977047475	8.58606806479102e-07	0.0930981602265506	0.0679515045075572	0.042050332351331	2.97332191266237e-06	0.0144756809137294
Sub34	0.0236296891382523	0.443764987203894	0.0024150161742852	0.0539382173211029	0.170900103721722	0.100413304732162	5.5574435083805e-07	7.1684342799124e-06	5.17605130133079e-05	0.0795638370136238	0.0633529115229512	0.0431736645600198	0.0006783683849243	0.0181104155354178
Sub35	0.0025192771823417	0.205215982912663	0.0117337238518638	0.226213791090536	0.261758158824084	0.0576862564639259	1.01415698500568e-06	0.0108326146332907	0.0002350172016895	0.122952425384435	0.0610876871475301	0.0317581993078708	0.0012586321892127	0.0067472196535712
Sub36	0.0143270543951147	0.175406700022532	0.0027673740161581	0.290643479589497	0.34697810801372	0.0412818526133151	6.14735996446549e-07	1.24075453523444e-05	0.0001547538278151	0.0711343012693474	0.0189182182236283	0.0255763497472609	0.0001779346362661	0.0126208513639971
Sub37	0.0251693223083081	0.476965120574121	0.0015846088866884	0.193992575847907	0.0621211555992403	0.0854482426941297	1.00086191091467e-06	0.0002910596304591	1.52972298050353e-05	0.0774399816580612	0.0258089989424005	0.0372119682362344	0.0002044937004216	0.0137461738303126
Sub38	0.0312903903039641	0.515230937147419	0.0224759663462433	0.0529845928737747	0.0205531136922028	0.200207406210477	1.42417476547385e-05	2.46578007542763e-05	0.0001324201868394	0.086676020948412	0.0384911866561082	0.0291495208552509	0.0001742771782273	0.0025952680526723
Sub39	0.016791505776654	0.274158272644445	0.0372211530185093	0.113134718878129	0.248954146763926	0.150407396855259	1.04372613410449e-05	0.0072653460695356	1.16816570500424e-05	0.0370164616881995	0.0592042429571603	0.035030467236536	0.000130160841843	0.0206640083514118
Sub40	4.3035223965063e-06	0.0939671078250011	0.00532180356278	0.230612675947546	0.419883014769156	0.0072149588675988	2.16207690497737e-06	0.0088962103154777	0.0005043186073886	0.120538909078826	0.0727596860170121	0.0264647154775076	0.0019764524616796	0.0118536814707251
Sub41	0.0088720414343249	0.378428297727234	0.0009631398086569	0.281423422309459	0.0838930503264455	0.0317237100190772	1.19507082451582e-06	0.0033998056481729	0.0001542616306615	0.0873759218036438	0.0609001937500915	0.0419443951647388	0.0006469184577166	0.0202736468489528
Sub42	0.0104959090710975	0.27024156799598	0.0035640552929406	0.323583014749243	0.109787433094335	0.010332401852199	1.86564027287773e-06	0.0127868689941225	0.0006519609677052	0.119952593011699	0.0818263806998165	0.0353429331454984	0.0009782750654833	0.0204547404196075
Sub43	0.0133594657942985	0.455400692181013	0.0021830619905456	0.198107431544331	0.0710215230616094	0.0308852977492982	5.96661953197631e-07	0.000871483932748	7.6046927640176e-06	0.0983354601750944	0.049200240820774	0.0541104798399854	0.0005699686100373	0.025946692945547
Sub44	0.0162136253694755	0.292347344480118	0.0019993329040946	0.292719276822201	0.100991436000061	0.0538645473612244	1.55776849672643e-06	0.0006291247799598	4.43257729376493e-05	0.134796207266608	0.0525432316236215	0.0454908126274397	0.0014065014148485	0.0069526758089142
Sub45	0.0240343874174505	0.516701332986133	0.0172100856262579	0.0867932301061181	0.0374634526008086	0.093588767208556	0.0002641783386192	1.69521637167165e-05	5.03803991049299e-06	0.0796675900746642	0.0702865568240557	0.0532704909262127	0.0003155314528879	0.0203824062346086
Sub46	0.0056538083034796	0.276236607323209	0.004405964200915	0.116167518502268	0.301852225180994	0.0534539503844527	2.15220744857025e-06	0.0049222105354969	0.0001169193300693	0.0773384060677368	0.0891662331097127	0.0344673628872615	0.0004361126219405	0.035780529345016
Sub47	0.0139473129553744	0.269181515158469	0.0093505725262116	0.128676567221088	0.273030219762493	0.077517868051933	1.13427986275735e-06	2.65503847891095e-06	0.0001141155992358	0.101909739844101	0.0803760914937311	0.0330179748304358	0.00049040201742	0.0123838312211644
Sub48	0.0169446327702964	0.353242870917982	0.0397181326111419	0.155041379580082	0.0746115577781171	0.188349135909006	2.4457584477911e-06	0.00015290632463	5.53000969149666e-06	0.0774290095364958	0.0558200380615155	0.0242205593801102	0.0001495442661993	0.0143122570962841
Sub49	0.0073516026750411	0.453100640009419	0.0007194341149606	0.260378134588214	0.0187664902286979	0.0994743586210442	1.28607840395846e-06	1.03158048492594e-05	5.71981000476541e-07	0.0639664551906146	0.0234716709377157	0.0574715315180404	0.0001734307906991	0.0151140774612988
Sub50	0.0064113247651897	0.38996886642445	0.0010644452698954	0.211801314641941	0.0584445471507682	0.0862696114933186	1.46411116499665e-06	1.98485399534427e-06	0.0001886112637273	0.118475256512264	0.0594081998127509	0.0441918771744034	0.0004023403964211	0.0233701561297102
Sub51	0.0091333469114972	0.324883724484859	0.0030965124742974	0.277131812113628	0.0803331929678198	0.101241307010248	2.51777497426793e-06	0.0013158445082157	0.0001117836274425	0.0888068247429613	0.0577393563002671	0.0424697895803781	0.0004916576061247	0.0132423298972867
Sub52	0.0443783900087411	0.337123534295822	0.0038666201367514	0.244189959814291	0.203778961881894	0.0623125594849109	8.32481530715654e-07	1.35806972184809e-06	4.34476882232598e-06	0.0245707154008504	0.0255573430744705	0.0416566610472391	5.55534740867697e-05	0.012503166060869
Sub53	0.0041297976516053	0.139307336193813	0.0079210732058576	0.32509518034896	0.276844012408133	0.0226540597701429	6.38078641676223e-07	0.0014833411436271	3.2546107521755e-05	0.143293833046003	0.0497146950715832	0.0275282465468545	0.0004985535068948	0.0014966869203616
Sub54	0.0097347796776041	0.285850562600763	0.0039913543699782	0.204627050860361	0.18840742401957	0.100232560321833	8.83863577727192e-07	0.000378431487812	0.0001774491477785	0.108383189038781	0.0630935454711527	0.0276992946745325	0.0002883522128322	0.0071351222534229
Sub55	0.0091240889790072	0.160042280854809	0.01701990900601	0.348070703141598	0.255023813616031	0.0661096201231691	8.6607848294428e-07	0.0009959963270154	0.0004610214271245	0.0630008235663888	0.0422243766175614	0.0254085324851734	0.0003467866992677	0.0121711810783616
Sub56	3.26897293142615e-06	0.10617932740572	0.0033221065544848	0.503628398436161	0.139276537367729	4.46790196723539e-06	6.32323820183253e-07	0.0061517228036829	0.0003453017276177	0.122425624948496	0.0679950361524959	0.0318068517666676	0.0012294776893621	0.0176312459488639
Sub57	0.0052062354476038	0.323860654319717	0.0012881902387003	0.280633338349979	0.059978223404229	0.0771811178490755	9.09987873547056e-07	0.0002443183784396	0.0002616439615419	0.13880673904598	0.0440856168069602	0.0507253476858095	0.0008137689314894	0.0169138955926015
Sub58	0.0150639917021275	0.396407036455375	0.0055370865938792	0.239612574061	0.0642517496762332	0.115894142661955	4.55505161771848e-07	4.24941364643496e-06	6.75956739777623e-07	0.0518782115868174	0.0493217641915838	0.0496858502428919	9.76406053511356e-05	0.0122445713472377
Sub59	0.0108815427242027	0.217861020781799	0.0101419216431267	0.323227749495521	0.175182566097627	0.0854437413941116	5.73875596948402e-07	7.49317313932988e-06	0.0002755720013534	0.0934895505214788	0.0435751844614352	0.0317744890299248	0.0004221528519248	0.007716441948759
Sub60	0.011513229820005	0.131202815575579	0.0011055805174521	0.479711246050867	0.216402171144993	0.0294754134108419	3.68120603886007e-07	0.0001095418444988	0.0001936149646194	0.067273060016554	0.0260364597579027	0.0278432367762259	0.0004209672965638	0.0087122947032943
Sub61	0.0093062914992369	0.155530880386543	0.0066531716160229	0.11894280028947	0.522639764829285	0.0455409715080624	8.16356811143581e-07	3.01538027662219e-05	0.000230737751644	0.0514269898039766	0.0546797384900963	0.0207296025746213	0.0008638712425213	0.0134242098489423
