Mixture	beta	alpha	delta	gamma	P-value	Correlation	RMSE
Sub1	0.568584624608999	0.428975407900763	0	0.00243996749023814	0	0.962837584921639	0.296086999724485
Sub2	0.407330790621445	0.592669209378555	0	0	0	0.98741424612011	0.20178132020616
Sub3	0.583379360602588	0.302019954629195	0.114600684768216	0	0	0.962801770295931	0.426840446415836
Sub4	0.545940952080759	0.253351995430532	0.011998451236431	0.188708601252278	0	0.985918167408314	0.47593723519595
Sub5	0.666876042132789	0.333123957867211	0	0	0	0.773310733129846	0.640077733255746
Sub6	0.625935728565991	0.351737577502391	0.00173533593146181	0.0205913580001562	0	0.989496008134467	0.312077458822976
Sub7	0.583898264322351	0.384735333513503	0.0313664021641461	0	0	0.937997211206815	0.386465496252219
Sub8	0.793936468431771	0.12378240108905	0.0563681572306918	0.0259129732484868	0	0.889639278347101	0.709429425220989
Sub9	0.702665049635551	0.261272382973494	0.0360625673909547	0	0	0.934865768216664	0.512285704079427
Sub10	0.700101288947099	0.299898711052901	0	0	0	0.850138821626989	0.570627056316577
Sub11	0.323970411980722	0.100648857326933	0	0.575380730692345	0	0.671327480965112	0.829847292302092
Sub12	0.571570969313718	0.376243036001951	0	0.052185994684331	0	0.978361149321236	0.307444449185133
Sub13	0.603041565625613	0.19928609797693	0.0706310355064186	0.127041300891039	0	0.975273303875044	0.563390627633026
Sub14	0.716302744264206	0.262968138226357	0	0.0207291175094373	0	0.724876710951931	0.706274004274578
Sub15	0.358742701538736	0.619738693516116	0.0215186049451479	0	0	0.976515940016994	0.280487767443982
Sub16	0.738580973783753	0.190066927972678	0.0591792273611724	0.0121728708823971	0	0.979519197342978	0.56600264849468
Sub17	0.630287116026686	0.193659331620225	0.125331717676941	0.0507218346761479	0	0.98695043292296	0.553010517011558
Sub18	0.72079626105671	0.218616581348732	0.0565156284396264	0.00407152915493142	0	0.990428188670401	0.512916037857854
Sub19	0.591369959916162	0.331235288229485	0.0438140624133582	0.0335806894409945	0	0.965364571092138	0.389310335771258
Sub20	0.427291151591217	0.535348973641737	0.0373598747670464	0	0	0.993692815198046	0.114467198174166
Sub21	0.506299813736745	0.404284008817717	0.0894161774455379	0	0	0.843537242966445	0.538859247041607
Sub22	0.618035953634726	0.381964046365274	0	0	0	0.964876114262853	0.330526950926188
Sub23	0.387202035646074	0.523409195581346	0.0603493819011216	0.0290393868714583	0	0.989609422203776	0.144022486228031
Sub24	0.607302031775524	0.21991455536271	0.153405376761088	0.0193780361006782	0	0.960620160308151	0.534076619404732
Sub25	0.550406888640384	0.355701872725247	0.06038671020189	0.0335045284324788	0	0.944895547443692	0.399370646225253
Sub26	0.612850488231848	0.387149511768152	0	0	0	0.890490315093492	0.469869713118929
Sub27	0.623225440440401	0.326097618506962	0.0506769410526367	0	0	0.976143235083298	0.374998661373206
Sub28	0.413175503889011	0.586824496110989	0	0	0	0.972255642970922	0.267939957431945
Sub29	0.405203589282278	0.558315657612448	0.0364807531052741	0	0	0.987314079386611	0.17211620173326
Sub30	0.39649789234111	0.594820979520795	0.00868112813809471	0	0	0.988546587247638	0.197340107660189
Sub31	0.587265915905182	0.409576777144332	0.00315730695048654	0	0	0.981639654570885	0.256985887354278
Sub32	0.323322280461927	0.523738844655143	0.0392473646595512	0.113691510223379	0	0.985066915335974	0.172348035223082
Sub33	0.54552731950132	0.319402822003764	0.0363303118458314	0.0987395466490849	0	0.993503470121261	0.359375512039654
Sub34	0.362787242848426	0.579810163780624	0.0555882696387772	0.00181432373217327	0	0.986317489479443	0.19383339550824
Sub35	0.664699313688953	0.224194702119891	0.0136738616659038	0.0974321225252523	0	0.902203786861319	0.590356122888685
Sub36	0.459814924244226	0.475555750715085	0.0621435314049594	0.00248579363573011	0	0.955558755576503	0.297538947288879
Sub37	0.150233195791233	0.81268556873367	0.0370812354750966	0	0	0.983780921510537	0.52382867036133
Sub38	0.532081222014628	0.30498551640712	0.0853695656968079	0.0775636958814433	0	0.969966270017258	0.417657543490823
Sub39	0.52841531565331	0.120451477284306	0.0709289203083145	0.280204286754069	0	0.852837504875756	0.740409685330418
Sub40	0.441613996355575	0.190817392867663	0	0.367568610776762	0	0.69655209826595	0.764312968639978
Sub41	0.481983626642211	0.478620570294617	0.0393958030631718	0	0	0.990838584014022	0.152047716714941
Sub42	0.364110048693948	0.559819396602613	0.0619521034217505	0.0141184512816881	0	0.988214373830979	0.166711836420401
Sub43	0.187126569254327	0.795065822034176	0.0178076087114973	0	0	0.985916308284962	0.49121904434259
Sub44	0.293119191584225	0.553430180200094	0.0611619117148472	0.0922887165008345	0	0.98413056135769	0.185581988111174
Sub45	0.222223291439742	0.701354838201756	0.046030783728264	0.0303910866302389	0	0.986399701550591	0.343710995121212
Sub46	0.247191703220649	0.700712626567307	0.0131445279581695	0.0389511422538745	0	0.977464041635751	0.375875229399348
Sub47	0.545049061837191	0.308391985911448	0.0814290790660288	0.0651298731853319	0	0.942707247675189	0.452637199263397
Sub48	0.470729500451241	0.28885926897493	0.0353133687462925	0.205097861827536	0	0.982391540150187	0.428934199174714
Sub49	0.272408419701191	0.727591580298809	0	0	0	0.974330009870418	0.426626279481974
Sub50	0.280189246898929	0.716220661074134	0.00359009202693725	0	0	0.988957873748238	0.360512194846754
Sub51	0.560833646657693	0.400363482103072	0.0388028712392344	0	0	0.992779005735453	0.233620358243372
Sub52	0.315557638503695	0.432325890949766	0.245678538705684	0.00643793184085499	0	0.980764962710562	0.23334442566386
Sub53	0.513116355291128	0.380175644522719	0.0275940049826756	0.0791139952034778	0	0.916666932661987	0.431425813606796
Sub54	0.585164747725126	0.380639100093577	0.0308113665593805	0.00338478562191611	0	0.986944764744439	0.278278093549739
Sub55	0.658815639282737	0.134457485147112	0.0306203942596022	0.176106481310549	0	0.912455476681963	0.694280020048348
Sub56	0.558904999340106	0.403611618777457	0	0.037483381882437	0	0.807571348314287	0.589686165470056
Sub57	0.48722578920151	0.509794424043953	0.00297978675453736	0	0	0.985238531829079	0.171611060574567
Sub58	0.629627588609886	0.185878510927349	0.0564376792625148	0.128056221200251	0	0.987562261230209	0.574237395791698
Sub59	0.573065156567491	0.327907594656584	0.0429991488029627	0.0560280999729625	0	0.932013810867217	0.447545321792787
Sub60	0.526765319007038	0.390039224606674	0.0831954563862872	0	0	0.913709847391718	0.429441003353095
