	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
10101327	0.24221055	0.23101021	0.2128358	0.23810315	-0.0499043	-0.32698262	0.12600012	0.11831325
10101589	0.2994615	0.14621438	0.17580928	0.16907386	-0.06474424	-0.2830407	0.11504385	0.11961261
10202345	0.24662745	0.2147131	0.21787642	0.26324585	-0.0010444993	-0.32222202	0.12722276	0.123112895
10203224	0.15423533	0.3175896	0.26317978	0.18612082	-0.031380244	-0.35086465	0.1073307	0.106029965
10205244	0.29942772	0.20463955	0.20772101	0.28912672	-0.044018567	-0.36287236	0.1383446	0.10573702
10208143	0.23797019	0.2889869	0.189885	0.22120662	-0.038702823	-0.32366753	0.14038287	0.09802774
10218339	0.25119457	0.19718786	0.20713739	0.24871595	-0.04924671	-0.32777354	0.13812958	0.11724112
10222853	0.22780575	0.190428	0.23896158	0.21460496	-0.035815928	-0.31892928	0.13180327	0.113241315
10246987	0.11128894	0.29327068	0.24277985	0.1256501	-0.032505732	-0.30602908	0.13742904	0.08285027
10248033	0.26286826	0.21437037	0.2511237	0.18986316	-0.035997916	-0.30167326	0.15119064	0.11657748
10249336	0.22274072	0.20593767	0.204708	0.22504808	-0.021184757	-0.31055814	0.12870188	0.14037721
10253148	0.33140138	0.16433065	0.2144634	0.15875882	-0.009267695	-0.30699858	0.12669729	0.14298703
10260309	0.28148773	0.1850596	0.18785225	0.2633049	-0.035985105	-0.28893486	0.15280728	0.14027275
10262905	0.22442634	0.21127741	0.26556942	0.23887004	-0.03763381	-0.35709515	0.15094455	0.10763932
10271474	0.25918996	0.22428127	0.24196154	0.24860768	-0.046906423	-0.33980322	0.15538147	0.09161652
10277308	0.25253808	0.1521147	0.22055654	0.22316201	-0.03864734	-0.31266117	0.12132353	0.10671725
10288185	0.2615979	0.15450002	0.23853087	0.19804786	-0.029733518	-0.31278738	0.14759398	0.12243172
10290427	0.2532525	0.14954205	0.20801054	0.2300476	-0.032194044	-0.35374698	0.15347089	0.109670945
10291856	0.31453392	0.09200379	0.13762152	0.29694894	-0.04882376	-0.3009018	0.1651891	0.17053036
