	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub1	0.051332694	0.24730964	0.17910998	0.14273246	0.58632016	-0.17424072	-0.15352453	-0.079979785	0.014587124
Sub2	0.06446682	0.30194694	0.19747584	-0.02753828	0.58933955	-0.116301775	-0.11554977	-0.051272396	-0.032528456
Sub3	0.08966676	0.2694953	0.21174835	0.09427052	0.5775077	-0.16232853	-0.15369333	0.027664086	0.07238489
Sub4	0.080312334	0.33923963	0.16830073	-0.009435062	0.6479088	-0.21615465	-0.12587588	-0.047028314	-0.009165759
Sub5	0.0008002569	0.18829817	0.22528978	0.07085893	0.6679313	-0.18270373	-0.09352872	-0.084991395	0.13900955
Sub6	0.09992188	0.19319165	0.2097254	-0.048778594	0.7024894	-0.2056498	-0.14953364	-0.06453003	-0.0104518635
Sub7	0.0044421195	0.2514827	0.22118676	-0.040473785	0.70927244	-0.1907823	-0.19342367	-0.07764241	0.019510275
Sub8	0.07688265	0.33438244	0.3165249	-0.001022093	0.68137866	-0.17915185	-0.15767127	-0.0040514767	-0.0350741
Sub9	0.110191695	0.20484233	0.29744312	0.12601821	0.62677884	-0.13286832	-0.14510347	-0.08489437	0.038552612
Sub10	0.042219456	0.13760673	0.19627762	0.010052617	0.5643642	-0.116729826	-0.17563908	-0.047099054	0.074219204
Sub11	0.07371574	0.17788172	0.26297042	0.14386357	0.4234825	-0.17236407	-0.26998624	0.015395354	0.10477177
Sub12	0.062883794	0.2733514	0.29815894	0.05990374	0.6015503	-0.1699933	-0.19188027	-0.012732913	0.05945477
Sub13	0.08140197	0.26519474	0.2026041	0.11316765	0.6137875	-0.16913085	-0.10668567	-0.027173081	-0.05426489
Sub14	0.023270955	0.12847602	0.20047899	0.12823153	0.54098064	-0.11539924	-0.13012885	-0.07139016	0.14248057
Sub15	0.0922615	0.20192403	0.18455078	-0.03573744	0.5103358	-0.13265188	-0.120848864	-0.0877529	0.034223802
Sub16	0.07826236	0.22443353	0.2605519	0.07802711	0.7279706	-0.18476988	-0.19525863	0.015045415	0.011160214
Sub17	0.015075351	0.23644741	0.18733685	0.029577978	0.6031995	-0.21495438	-0.15454398	0.03070499	-0.065399855
Sub18	0.0446882	0.27492002	0.29419222	0.081084885	0.6882252	-0.20470156	-0.20564473	0.030224442	-0.011512175
Sub19	0.08151788	0.20644622	0.30107903	0.087026395	0.60098433	-0.17314892	-0.1688626	-0.011973515	0.0060365126
Sub20	0.11025008	0.24571808	0.1805398	-0.049983937	0.6644935	-0.14821346	-0.16921043	-0.04737535	-0.034643583
Sub21	0.096860535	0.22388692	0.21311222	-0.018200234	0.64948934	-0.16542266	-0.16036128	-0.029495284	-0.058111895
Sub22	0.0970765	0.13892083	0.25040445	0.030392354	0.6420779	-0.17500277	-0.16851999	-0.04651943	0.003459816
Sub23	0.06308841	0.2502183	0.24529998	0.07277407	0.6073307	-0.17218955	-0.15055951	-0.050952498	-0.011673589
Sub24	0.04870436	0.23557425	0.25143436	0.07232014	0.68066055	-0.1779115	-0.18948601	-0.029935226	0.060019124
Sub25	0.045194987	0.19181256	0.23472728	0.17048799	0.5420994	-0.16641456	-0.17034017	0.013243546	0.084058546
Sub26	0.09129668	0.16046526	0.22303982	0.034313172	0.5375068	-0.0994221	-0.14009166	-0.081585884	0.09241465
Sub27	0.07839328	0.34218362	0.26726428	0.10014286	0.5585432	-0.16895378	-0.18636483	-0.023858115	-0.019273186
Sub28	0.08323555	0.16466148	0.20857334	-0.035572518	0.6103434	-0.122288845	-0.089578055	-0.08361342	0.060196165
Sub29	0.067308016	0.2738527	0.20900959	-0.015156154	0.6145447	-0.18044548	-0.1541488	-0.071802236	-0.03877759
Sub30	0.1278706	0.3296807	0.19796972	0.022375338	0.5358639	-0.15059969	-0.07235035	-0.06869102	-0.05408871
Sub31	0.12636842	0.15981574	0.22133017	0.048589814	0.5785762	-0.18506585	-0.13327582	-0.055338394	0.08858109
Sub32	0.089532256	0.23563756	0.28565466	0.042232845	0.40305054	-0.12468646	-0.14884274	-0.028092926	0.046311323
Sub33	0.0025228546	0.29184413	0.1539077	0.009098204	0.71754783	-0.23103653	-0.23855798	0.03881848	-0.024789765
Sub34	0.059021056	0.28949475	0.25528073	-0.029431403	0.6398137	-0.20272045	-0.17155951	-0.04506332	0.082775675
Sub35	0.051386952	0.27350238	0.2716645	0.15375741	0.68998426	-0.21252434	-0.22344023	-0.021181077	0.10251271
Sub36	0.04557501	0.17753732	0.21902585	0.17397602	0.4925823	-0.1472007	-0.1871918	-0.055655863	0.1475798
Sub37	0.06280317	0.2571224	0.21641536	0.00085504603	0.54573035	-0.16678603	-0.059787974	-0.07773126	0.03312818
Sub38	0.10962769	0.3287642	0.19680506	-0.018090894	0.69340134	-0.22409417	-0.15354107	-0.04411794	-0.017782828
Sub39	0.047358453	0.26051542	0.22398229	0.096078254	0.66694546	-0.20811749	-0.12963633	0.024428338	0.014972401
Sub40	0.08898861	0.19674785	0.25853598	0.09674878	0.45662677	-0.10224625	-0.16753215	-0.027133012	0.20721166
Sub41	0.077060066	0.2890278	0.28743526	0.08192732	0.5810098	-0.1578051	-0.14430569	-0.051224068	0.013590504
Sub42	0.09124199	0.2525324	0.29021728	0.13591582	0.49866524	-0.19142683	-0.16776067	-0.035898343	0.013045021
