,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,-0.024835723,0.08044479,-0.015484502,0.8552273,-0.013925518,-0.10348711,0.06616079,-0.019341616,0.32234085
GSM2154806,-0.049560368,0.13287391,-0.017724803,0.8958505,-0.0041756206,-0.09754703,0.020448865,-0.027295379,0.29985568
GSM2154808,-0.049184676,0.14692743,-0.025409153,0.89039713,-0.014755546,-0.14581092,0.011338432,-0.018098148,0.26768056
GSM2154801,-0.01948347,0.07983073,-0.07589879,0.80458194,-0.013963431,-0.12802568,0.05625767,0.015554011,0.2815674
GSM2154807,-0.053388674,0.11098794,-0.007155714,0.89487463,-0.008355853,-0.13101217,0.025390929,-0.0325952,0.32282868
GSM2154802,-0.012312581,0.06733734,-0.0442819,0.8359072,-0.010006673,-0.12521052,0.07105349,-0.008546606,0.31367067
GSM2154805,-0.0419445,0.121610425,-0.013302278,0.92486787,-0.002730598,-0.093049705,0.061239243,0.00050887465,0.27727607
GSM2154804,-0.035736505,0.10567204,-0.02056184,0.9490227,-0.01737819,-0.12868324,0.042812493,-0.023649434,0.31438082
GSM2154800,-0.030913064,0.0334558,-0.06292587,0.8857282,0.011857789,-0.14943488,0.070092924,0.01267457,0.29105595
GSM2154803,-0.04701938,0.116875164,-0.007855273,0.8419369,-0.025058284,-0.18032055,0.11004839,-0.038575638,0.35248327
