	beta	alpha	gamma	delta
Sub1	0.3670311	1.5202135	-0.39672768	-0.71356314
Sub2	0.3696538	1.3022312	-0.39189127	-0.5439553
Sub3	0.61749965	1.6201769	-0.54357904	-0.9169381
Sub4	0.48315573	1.3613225	-0.37343487	-0.651542
Sub5	0.3371878	1.3605012	-0.351259	-0.56549484
Sub6	0.5813156	1.191213	-0.44933	-0.5015
Sub7	0.43428326	1.4028174	-0.47401413	-0.60656315
Sub8	0.749546	1.6826326	-0.6772893	-0.9396517
Sub9	0.4010392	1.5762005	-0.47314355	-0.64379746
Sub10	0.3956236	1.2180158	-0.31355944	-0.50814956
Sub11	0.6295917	1.8292767	-0.7210786	-1.0301595
Sub12	0.3506901	1.5697252	-0.45750713	-0.6897835
Sub13	0.7089121	1.6801382	-0.68484885	-0.95115733
Sub14	0.31720006	1.4465699	-0.3709317	-0.654109
Sub15	0.38906434	1.1332425	-0.36679146	-0.5018391
Sub16	0.76291513	1.6851047	-0.69253844	-0.9355132
Sub17	0.8162029	1.5738236	-0.7098951	-0.8730064
Sub18	0.71675235	1.7858073	-0.7079126	-0.9719107
Sub19	0.6542504	1.608079	-0.66238374	-0.8629384
Sub20	0.4621214	1.2109476	-0.3730409	-0.60634977
Sub21	0.75498104	1.3833032	-0.6021004	-0.8085992
Sub22	0.396106	1.524628	-0.41179022	-0.70626074
Sub23	0.5224268	1.5327754	-0.52636987	-0.82125753
Sub24	0.75609493	1.7490791	-0.702838	-1.0116986
Sub25	0.6384148	1.7883633	-0.72577506	-1.000996
Sub26	0.36380288	1.2123545	-0.34810677	-0.4702761
Sub27	0.73292583	1.6164726	-0.64645797	-0.93759173
Sub28	0.37975994	1.1670036	-0.3783505	-0.53385574
Sub29	0.6323127	1.3823177	-0.5406232	-0.78264
Sub30	0.41243735	1.1308173	-0.32247022	-0.4635103
Sub31	0.41232017	1.1459893	-0.31180134	-0.46374047
Sub32	0.69838786	1.7713627	-0.6485382	-0.9739127
Sub33	0.803883	1.6061252	-0.716373	-0.88311
Sub34	0.6083906	1.4296589	-0.56273466	-0.7531374
Sub35	0.6596949	1.7996635	-0.69893855	-1.0380121
Sub36	0.7000892	1.6034766	-0.6591198	-0.9191832
Sub37	0.5847662	1.338929	-0.5240184	-0.69492817
Sub38	0.6499634	1.4093341	-0.54280925	-0.7176179
Sub39	0.74726754	1.4305865	-0.6172032	-0.7550805
Sub40	0.36182615	1.4124556	-0.3769968	-0.6460853
Sub41	0.338245	1.4287497	-0.42666748	-0.60880786
Sub42	0.5697372	1.6637493	-0.65974694	-0.85683614
Sub43	0.51858616	1.3349524	-0.5013189	-0.69460887
Sub44	0.56755906	1.6050543	-0.56551856	-0.82014674
Sub45	0.5658466	1.4045676	-0.61190194	-0.68010616
Sub46	0.6532838	1.3945179	-0.5805031	-0.77186817
Sub47	0.85394454	1.6653632	-0.7255163	-0.99427277
Sub48	0.7800301	1.5953797	-0.6911566	-0.92317295
Sub49	0.34889022	1.107622	-0.28766862	-0.47767738
Sub50	0.3814504	1.1814055	-0.32683262	-0.5449184
Sub51	0.76370424	1.7640234	-0.8128268	-1.016052
Sub52	0.5061987	1.5834602	-0.56622964	-0.7791388
Sub53	0.6250758	1.8803526	-0.71529883	-0.9816263
Sub54	0.7284112	1.7002317	-0.6939079	-0.94955033
Sub55	0.6845363	1.8128682	-0.6580314	-1.0492564
Sub56	0.33938777	1.5817461	-0.4242939	-0.7296653
Sub57	0.45072183	1.3721298	-0.40257406	-0.64530927
Sub58	0.7168741	1.6634225	-0.6896481	-0.8761108
Sub59	0.64238644	1.6869478	-0.632078	-0.93745035
Sub60	0.6056657	1.8831387	-0.70086193	-1.0326892
Sub61	0.7582609	1.651971	-0.68812317	-0.98194426
Sub62	0.33638737	1.0541416	-0.27090597	-0.4219837
Sub63	0.44172332	1.0777458	-0.34575543	-0.43267298
Sub64	0.4829731	1.2694873	-0.44804597	-0.54872805
Sub65	0.70148915	1.9245787	-0.82241756	-1.0714871
Sub66	0.7599686	1.7553363	-0.6719723	-0.9619422
Sub67	0.39156672	1.3823997	-0.39455032	-0.6350546
Sub68	0.73773384	1.5926431	-0.7130802	-0.87095135
Sub69	0.63472754	1.3283057	-0.52148676	-0.65659064
Sub70	0.37402162	1.5251824	-0.45428574	-0.6931062
Sub71	0.33163977	1.2476857	-0.31056225	-0.4968586
Sub72	0.5407732	1.1487622	-0.34071386	-0.55080503
Sub73	0.31397447	1.3322606	-0.36114812	-0.568324
Sub74	0.29299483	1.5810007	-0.39978576	-0.65838236
Sub75	0.46653938	1.5351585	-0.4793717	-0.7529637
Sub76	0.75776607	1.5161028	-0.66560555	-0.84244853
Sub77	0.6881923	1.7329632	-0.71820694	-0.9550412
Sub78	0.7200934	1.6112343	-0.6755631	-0.96124196
Sub79	0.31578514	1.2505555	-0.34173062	-0.55322623
Sub80	0.3891419	1.5045986	-0.42766055	-0.69989794
Sub81	0.5100726	1.2991983	-0.41640437	-0.59085345
Sub82	0.48282838	2.014343	-0.6018348	-1.1069797
Sub83	0.34053764	1.3481293	-0.3534777	-0.55721897
Sub84	0.44465265	1.5457598	-0.4667541	-0.77101374
Sub85	0.39186278	1.3711857	-0.3924291	-0.5769653
Sub86	0.33154288	1.2285789	-0.28928736	-0.47013918
Sub87	0.40151012	1.5987611	-0.48174158	-0.7375431
Sub88	0.44636428	1.1751605	-0.30629438	-0.48703566
Sub89	0.41401216	1.1973284	-0.4138774	-0.44550774
