"","alpha","beta","gamma","delta","acinar","ductal","endothelial"
"Sub1",0.242204179098701,0.0273321978239044,0.0017609584305922,0.00191724317677611,0.0983452673696371,0.478508216269479,0.14993193783091
"Sub2",0.756322439220371,0.00245600860017486,0,0.00296229399658305,0.0304029461211025,0.0762728395790237,0.131583472482745
"Sub3",0.254877173219239,0.14728254811455,0.000271351816987072,0.0247457568270303,0.20120815461829,0.219334537735306,0.152280477668597
"Sub4",0.287090728265684,0.106162226426769,0.061380124000603,0.00916576388331987,0.0678218389453039,0.276725468815173,0.191653849663146
"Sub5",0.172874730386508,0.0218874878978473,0.000605139594097363,0.00136922321622563,0.162117740775173,0.367603969166817,0.273541708963332
"Sub6",0.224703523620591,0.165262217403461,0.000832363516208979,0.00362241399641589,0.00761941333227067,0.133434596562163,0.46452547156889
"Sub7",0.323483899721958,0.167157262934135,0.000331179030200133,0.0099862533894783,0.0929956843540535,0.119844464247803,0.286201256322372
"Sub8",0.161736071271382,0.367844450031562,0.00638714559420713,0.0183056569812125,0.109797632083888,0.155151732037598,0.180777312000151
"Sub9",0.123557956273165,0.108893101742571,0.000941447193038482,0.00606187660530254,0.100453178624266,0.366819021445667,0.293273418115991
"Sub10",0.191927996617428,0.00681345070600191,0,0.00287954337969095,0.100279838306623,0.479093699497854,0.219005471492403
"Sub11",0.0499324738765103,0.0140156359020425,0.000104448926174386,0.00206599339658234,0.360667966383362,0.309286122539392,0.263927358975936
"Sub12",0.18686406889008,0.0878047751285828,0.0046123171870736,0.002509356962182,0.135407521198763,0.310510691256278,0.27229126937704
"Sub13",0.147597600233757,0.181012466890615,0.0124666933379528,0.01442596050769,0.0749534307138052,0.302173689988995,0.267370158327184
"Sub14",0.0930759564382645,0.00134138930542144,0.0016211194866039,0.0011013033907293,0.289477070630218,0.506223255356393,0.10715990539237
"Sub15",0.623293392602126,0.00387803481205997,0,0.0154211429330848,0.0562030163492841,0.139425095889996,0.161779317413449
"Sub16",0.173929012692993,0.201252102952736,0.00381454271493944,0.0149991905513805,0.0928419805728605,0.298834832891257,0.214328337623834
"Sub17",0.209774121284865,0.241325673388432,0.00299425926855402,0.032110439340747,0.0220411461889873,0.216136275627884,0.275618084900531
"Sub18",0.201360619753767,0.177280525362588,0.0031240724800843,0.0150086829547143,0.0717181942828375,0.264013880643977,0.267494024522033
"Sub19",0.29170029380984,0.133026516790077,0.00597331445284196,0.012911699258213,0.172975119186794,0.170075660565006,0.213337395937228
"Sub20",0.721899732383238,0.00718708505216494,0,0.0194886385980861,0.0110527849775308,0.111324149714365,0.129047609274615
"Sub21",0.531225077992114,0.170068232383011,0,0.0323814678737714,0.0204847521518052,0.107777479257621,0.138062990341678
"Sub22",0.340809604344503,0.0157403959120747,0.000847419532362672,0.00344364763994016,0.155621154287473,0.276394297594464,0.207143480689182
"Sub23",0.424614875935786,0.0674408141325349,0.0083746449414516,0.0216056624051104,0.200471454016467,0.182493424011071,0.0949991245575783
"Sub24",0.154629787971991,0.149609584850173,0.00341095377203411,0.0256620468236765,0.100785999403357,0.345975177836969,0.219926449341799
"Sub25",0.157037005705986,0.0176185482588757,0.0028789379316774,0.00836584071888606,0.254903090288616,0.469281498967544,0.0899150781284146
"Sub26",0.252446737992136,0.0168127856064452,0,0.0026753185878392,0.256929146295135,0.268616908090904,0.20251910342754
"Sub27",0.235427901573135,0.151962833447448,0.000240915547631352,0.0114385977823692,0.15295392701803,0.231142557793554,0.216833266837834
"Sub28",0.531505886027356,0.000811491289207442,0,0.00305993850399824,0.104166204193075,0.15729520561124,0.203161274375124
"Sub29",0.528219725575998,0.0622961380055709,0.00210577355710559,0.0162636531273703,0.0456656449383542,0.12968998214001,0.215759082655592
"Sub30",0.762062264135024,0.00541613544841836,0,0.00931730157624333,0.0650866585896355,0.0628440707605653,0.0952735694901133
"Sub31",0.280027872260578,0.0784869277747453,0.000428780882488186,0.00401720117788297,0.100465716321798,0.249232908532576,0.287340593049932
"Sub32",0.307913569562957,0.0603937282868321,0.00146714830730951,0.0083566454377649,0.227875780944299,0.190415427818315,0.203577699642522
"Sub33",0.382139677207649,0.164036845834996,0.0027186841583545,0.015730995107684,0.0712871385403731,0.147763797804934,0.216322861346009
"Sub34",0.629677681007646,0.0160811108870777,0,0.0207603751595791,0.16973580434246,0.0299050944601246,0.133839934143112
"Sub35",0.111369571601908,0.086268120686705,0.00699279731149287,0.00410596202173416,0.281561840239084,0.299873298343153,0.209828409795923
"Sub36",0.264946385795006,0.00667694826276783,0.0012052001376874,0.0133145715157134,0.379237030590518,0.247628933964628,0.0869909297336788
"Sub37",0.664712644168592,0.0106860615911425,0,0.0197599247468784,0.0761424194244341,0.13086592641927,0.0978330236496828
"Sub38",0.376325117079055,0.366020460658479,0.0147593982640719,0.028871910949668,0.0310554949324356,0.0718957325297101,0.111071885586581
