	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
10101327	0.28728837	0.2760068	0.15466134	0.13807748	0.035620436	0.008714012	0.05973528	0.039896246
10101589	0.39268968	0.1549663	0.12144067	0.13553746	0.033882555	0.015370456	0.07494738	0.07116551
10202345	0.28996453	0.23541449	0.14547883	0.14814623	0.0637655	0.0088902535	0.06539964	0.042940527
10203224	0.1207487	0.43524995	0.19989043	0.09828732	0.040684495	0.00819733	0.05615587	0.04078589
10205244	0.3407352	0.18998015	0.12718938	0.20385335	0.035236478	0.008501965	0.050169814	0.044333678
10208143	0.24611896	0.33280832	0.15379636	0.12504375	0.037905607	0.009531815	0.05647287	0.03832234
10218339	0.28227928	0.2220267	0.16203721	0.1711665	0.03699899	0.00916388	0.06978515	0.046542276
10222853	0.23583512	0.2388258	0.19411035	0.15956037	0.041887477	0.011294185	0.06836908	0.050117593
10246987	0.10936573	0.4234973	0.2361527	0.07356271	0.04140421	0.009762927	0.060580146	0.045674294
10248033	0.31514025	0.23492812	0.17176671	0.11576667	0.033321295	0.010151914	0.07347831	0.045446735
10249336	0.2718757	0.23928232	0.14562039	0.168369	0.046367258	0.010173866	0.065174565	0.05313682
10253148	0.42669618	0.143979	0.12746175	0.08601191	0.07737797	0.009626205	0.08035596	0.048491012
10260309	0.3761064	0.1616342	0.10807101	0.15487847	0.04016206	0.011722498	0.091146864	0.056278452
10262905	0.23023045	0.24677731	0.19717842	0.16689087	0.03845682	0.0091714775	0.06448331	0.046811298
10271474	0.26585916	0.22828169	0.18738489	0.16171835	0.039885346	0.009932723	0.06332604	0.043611806
10277308	0.3252549	0.1628475	0.16662563	0.16535895	0.048807066	0.012218986	0.06855323	0.050333712
10288185	0.32538316	0.16987777	0.1828206	0.13954522	0.040575534	0.011798031	0.076897226	0.053102482
10290427	0.31448382	0.18668568	0.13038208	0.17933382	0.05708505	0.008779109	0.072270684	0.05097976
10291856	0.3930776	0.08301359	0.07221844	0.25049663	0.03738143	0.011786956	0.08730457	0.06472082
10292311	0.27391884	0.24013217	0.16174279	0.15455137	0.03718758	0.012401547	0.06826306	0.051802676
10300914	0.41694847	0.09619319	0.09211221	0.21312647	0.0387937	0.011259676	0.07798421	0.053582087
10315029	0.3895673	0.09039283	0.086701594	0.25766757	0.044601094	0.009753326	0.07060514	0.050711203
10345561	0.37892082	0.21352112	0.13849294	0.080639414	0.043121587	0.010441286	0.081206925	0.05365592
10383017	0.2562032	0.25928912	0.15922521	0.13029717	0.049823333	0.010805644	0.07685477	0.057501573
