,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.011048309,0.03700004,0.032755427,0.6636977,0.04512872,0.00604945,0.0052431566,0.046315838,0.092590235
GSM2154806,0.010996903,0.054494817,0.034102317,0.63550204,0.049241915,0.006357172,0.004967868,0.049243715,0.091996014
GSM2154808,0.011374277,0.058960497,0.02818138,0.67713934,0.03348374,0.0055849603,0.004856345,0.04677938,0.07226243
GSM2154801,0.022955628,0.041403983,0.05177264,0.44994065,0.06990897,0.0074652913,0.009640264,0.0667836,0.15471314
GSM2154807,0.011364642,0.046616703,0.03383531,0.64901453,0.045569178,0.005570589,0.0052120215,0.050257053,0.090424925
GSM2154802,0.02357751,0.04246415,0.045534525,0.5140196,0.056834977,0.007463559,0.008085714,0.055851728,0.14022674
GSM2154805,0.009396071,0.04034586,0.028615808,0.70542336,0.039714724,0.0055398275,0.004746891,0.0414561,0.07050288
GSM2154804,0.0089723505,0.035422117,0.024940593,0.7186549,0.039683864,0.0049950522,0.0043143868,0.039432626,0.07349248
GSM2154800,0.020716079,0.033550292,0.038750105,0.5467531,0.052470658,0.006781589,0.007950825,0.05692647,0.13564606
GSM2154803,0.019074665,0.045514334,0.058987867,0.47172073,0.06280896,0.0062391204,0.006471733,0.06224973,0.17064488
