	beta	alpha	delta	gamma	endothelial	acinar	ductal
Sub1	0.19566898	0.16072322	0.052335232	0.058951642	0.047490243	0.15036081	0.3344698
Sub2	0.2370456	0.28668293	0.07841306	0.08146048	0.06967288	0.0840863	0.16263871
Sub3	0.18034177	0.19519918	0.068516724	0.04988287	0.06243512	0.20988317	0.23374121
Sub4	0.27023944	0.19750035	0.0723196	0.15217215	0.041821178	0.09233484	0.17361242
Sub5	0.17024219	0.11549586	0.0501722	0.043796908	0.031877268	0.19049852	0.39791706
Sub6	0.3434341	0.20096903	0.08965197	0.06605404	0.12994021	0.056584477	0.113366164
Sub7	0.26462796	0.26177588	0.079010196	0.06295784	0.054727465	0.0926755	0.18422519
Sub8	0.32941678	0.2387128	0.070403405	0.066052854	0.07259109	0.114835314	0.10798773
Sub9	0.18912621	0.14638217	0.056697994	0.045315593	0.04460678	0.16652836	0.3513429
Sub10	0.2183481	0.1199102	0.07150354	0.044033285	0.08844007	0.14957978	0.308185
Sub11	0.06876182	0.10556968	0.036571916	0.034986142	0.095325656	0.35446802	0.30431676
Sub12	0.122441195	0.19367182	0.052819815	0.054097068	0.1072504	0.19340622	0.2763135
Sub13	0.23144598	0.17968829	0.07017384	0.07583654	0.078846626	0.12563948	0.23836929
Sub14	0.0931459	0.07439202	0.038926575	0.040792022	0.046744198	0.3221668	0.38383245
Sub15	0.2523154	0.20762332	0.09320864	0.07819363	0.052840397	0.1046204	0.21119823
Sub16	0.27338296	0.19143324	0.06945804	0.06514899	0.072012566	0.117272176	0.21129207
Sub17	0.2599822	0.18462591	0.09217312	0.07413808	0.12138262	0.09576812	0.17193
Sub18	0.24337864	0.21236579	0.06448419	0.05935316	0.09208202	0.11813492	0.21020128
Sub19	0.2263513	0.19962914	0.06530135	0.059672132	0.06653377	0.15123719	0.2312751
Sub20	0.28458366	0.23964216	0.11267949	0.08956469	0.05770734	0.069206774	0.14661592
Sub21	0.36523628	0.20900965	0.10261294	0.06450153	0.050556522	0.06784519	0.14023788
Sub22	0.21695054	0.16355412	0.060210794	0.06056428	0.07219013	0.17635147	0.25017872
Sub23	0.19507873	0.1865931	0.08278035	0.07908161	0.036968376	0.20683713	0.21266069
Sub24	0.25170943	0.16342567	0.061362278	0.04917589	0.060632307	0.13433367	0.2793607
Sub25	0.11750019	0.11801425	0.044050485	0.047580782	0.035000052	0.30313584	0.33471838
Sub26	0.19815774	0.11417065	0.06524783	0.04958426	0.06226988	0.22727674	0.2832928
Sub27	0.22281182	0.18913569	0.06700115	0.05934525	0.065822124	0.16853006	0.22735386
Sub28	0.24421538	0.19142902	0.065856725	0.05539671	0.04089706	0.13492425	0.26728082
Sub29	0.2668791	0.23608054	0.085193165	0.07052398	0.05159776	0.078567006	0.2111584
Sub30	0.28641075	0.25198302	0.09940612	0.095390566	0.05746184	0.08986324	0.119484454
Sub31	0.21424772	0.18044583	0.08357081	0.061580315	0.091718316	0.15441978	0.2140172
Sub32	0.10911455	0.18833478	0.06260792	0.05357313	0.115448214	0.22134273	0.24957864
Sub33	0.28077546	0.23645878	0.07396879	0.06533909	0.072142296	0.10663372	0.16468188
Sub34	0.26368234	0.28041884	0.07836058	0.058642905	0.063113995	0.12151758	0.13426377
Sub35	0.19414188	0.17672832	0.039638866	0.046526928	0.04311355	0.23658092	0.2632695
Sub36	0.1491542	0.10041848	0.063051574	0.04365592	0.038401093	0.3113276	0.29399112
Sub37	0.25010473	0.24728388	0.09627465	0.08419907	0.052220304	0.107422054	0.16249532
Sub38	0.3576533	0.26389125	0.09758073	0.0955742	0.05244054	0.05799441	0.07486558
Sub39	0.2857541	0.16493964	0.091677226	0.07293418	0.04427881	0.14628902	0.19412701
Sub40	0.07709082	0.1234828	0.044699904	0.040712368	0.07762541	0.34379494	0.29259375
Sub41	0.19102342	0.23689944	0.07596081	0.047880124	0.05270019	0.14140068	0.25413537
Sub42	0.12497264	0.21179314	0.05813089	0.04458422	0.064182796	0.19743836	0.29889795
Sub43	0.20528209	0.24818324	0.074919365	0.0652164	0.0511031	0.13383766	0.22145812
Sub44	0.19095694	0.20368628	0.059039634	0.06171592	0.046502676	0.18378514	0.25431338
Sub45	0.2711216	0.29581943	0.0785357	0.0855112	0.050528202	0.07373044	0.14475341
Sub46	0.19010504	0.20899546	0.06213293	0.048360895	0.06003882	0.21989493	0.21047193
Sub47	0.22551604	0.17188986	0.06779971	0.055629615	0.08291363	0.20097487	0.19527626
Sub48	0.2542747	0.23341377	0.09422148	0.070776395	0.048640043	0.108698614	0.18997498
Sub49	0.27703163	0.23281898	0.081962146	0.08074445	0.04202346	0.07547266	0.2099467
Sub50	0.25874543	0.20119429	0.08541399	0.058507044	0.07154151	0.10742035	0.21717744
Sub51	0.235693	0.20910144	0.0632972	0.05141448	0.03934858	0.13756053	0.26358476
Sub52	0.20428716	0.19862984	0.08334751	0.05117257	0.026179656	0.18210131	0.25428194
Sub53	0.08382549	0.12917091	0.042019863	0.04849246	0.04719078	0.32392836	0.32537213
Sub54	0.21537942	0.19235452	0.058152284	0.055391222	0.06448484	0.21185887	0.20237885
Sub55	0.12994684	0.11665139	0.051388178	0.03851084	0.03493172	0.28007495	0.34849608
Sub56	0.06012005	0.12705068	0.03190681	0.0331291	0.05026407	0.3140144	0.38351488
Sub57	0.2400703	0.19190536	0.07498912	0.07513005	0.063071385	0.13662119	0.2182126
Sub58	0.25239918	0.20421393	0.084889136	0.06098565	0.042919144	0.09800488	0.256588
Sub59	0.20505251	0.13892448	0.056042254	0.05330014	0.048737306	0.22257566	0.27536768
Sub60	0.09745115	0.118830435	0.03641553	0.032109343	0.026507882	0.29681125	0.3918744
Sub61	0.12653594	0.15701006	0.052504376	0.036094937	0.044282705	0.3278326	0.25573936
Sub62	0.2738922	0.27146018	0.100719444	0.100859575	0.07611491	0.066491865	0.11046181
Sub63	0.26901975	0.23975949	0.10963726	0.07607227	0.072049014	0.078584574	0.15487765
Sub64	0.24708979	0.23974414	0.07111725	0.062415123	0.078028195	0.123086564	0.1785189
