	beta	alpha	gamma	delta
Sub1	0.32342702	0.6462197	0.012724366	0.017628985
Sub2	0.29826093	0.6694048	0.013218067	0.019116191
Sub3	0.3119804	0.66999847	0.006966025	0.011055163
Sub4	0.40884718	0.5433166	0.028428284	0.019407962
Sub5	0.39441577	0.5601668	0.019265827	0.026151618
Sub6	0.495137	0.45828566	0.01549304	0.03108429
Sub7	0.37956858	0.5875702	0.010139097	0.022722058
Sub8	0.42210892	0.5651974	0.0041445927	0.008549091
Sub9	0.3441967	0.6233047	0.0109977005	0.021500856
Sub10	0.43694505	0.5166134	0.018218812	0.028222771
Sub11	0.25394234	0.7311991	0.0047489395	0.010109583
Sub12	0.2769079	0.6919587	0.012755285	0.018378178
Sub13	0.38514647	0.59728503	0.007884949	0.009683567
Sub14	0.3190361	0.6406697	0.018867865	0.02142633
Sub15	0.39887378	0.5488151	0.02324381	0.02906736
Sub16	0.4231987	0.5614284	0.0056519955	0.009720905
Sub17	0.4385788	0.53927135	0.0076454063	0.01450443
Sub18	0.35147914	0.635036	0.0044165663	0.009068295
Sub19	0.38322818	0.5991749	0.0063238777	0.011273014
Sub20	0.40917572	0.546323	0.018379435	0.026121885
Sub21	0.50695604	0.47477627	0.006662704	0.011605051
Sub22	0.35040334	0.61922675	0.013108015	0.017261878
Sub23	0.3390318	0.6380995	0.010455272	0.012413375
Sub24	0.4007964	0.5848369	0.00491689	0.009449833
Sub25	0.31638184	0.66924995	0.0059263078	0.008441957
Sub26	0.42280325	0.52589494	0.02058748	0.03071423
Sub27	0.3790488	0.6053438	0.004961468	0.010645945
Sub28	0.40777382	0.5465257	0.01862648	0.027074017
Sub29	0.39780092	0.5768745	0.009977386	0.015347163
Sub30	0.390377	0.5597889	0.023393743	0.02644039
Sub31	0.3986566	0.5428389	0.019635519	0.038868982
Sub32	0.24426061	0.7381925	0.006037342	0.011509549
Sub33	0.4115905	0.5699795	0.0066724867	0.011757559
Sub34	0.36296806	0.61339206	0.006996162	0.016643748
Sub35	0.3428998	0.64345247	0.0050616837	0.0085860165
Sub36	0.35423502	0.6278616	0.0067293905	0.011173933
Sub37	0.35278353	0.6199916	0.011645016	0.0155798765
Sub38	0.42677248	0.5475567	0.010676221	0.014994628
Sub39	0.458595	0.51976514	0.008033837	0.0136060305
Sub40	0.27944234	0.6779421	0.016645374	0.025970215
Sub41	0.28095692	0.6880118	0.010314328	0.020716915
Sub42	0.26809153	0.71499014	0.006270282	0.010648013
Sub43	0.33626303	0.636689	0.010729509	0.01631848
Sub44	0.32174626	0.6566041	0.0074883453	0.014161251
Sub45	0.36062673	0.6090341	0.011161425	0.019177718
Sub46	0.38352883	0.59390926	0.009725745	0.012836075
Sub47	0.3963268	0.5894986	0.004955374	0.009219158
Sub48	0.3686304	0.6146001	0.00737559	0.009393865
Sub49	0.3922061	0.5590367	0.021327235	0.02743
Sub50	0.40771148	0.5463669	0.019819202	0.026102519
Sub51	0.3684484	0.62000626	0.0046374225	0.0069079096
Sub52	0.33736074	0.6375187	0.008415405	0.01670518
Sub53	0.2559732	0.7293181	0.0062444895	0.008464173
Sub54	0.35075796	0.6361577	0.0054032155	0.0076811425
Sub55	0.31124437	0.67408735	0.0065479376	0.008120339
Sub56	0.2429186	0.7281282	0.011268553	0.0176847
Sub57	0.37490568	0.58719975	0.017491557	0.02040301
Sub58	0.39184284	0.5924344	0.005868684	0.009854119
Sub59	0.36748683	0.6165296	0.006732956	0.009250638
Sub60	0.28308904	0.70325136	0.0043364954	0.009323009
Sub61	0.3185751	0.6670599	0.005463748	0.008901284
Sub62	0.35862634	0.58081234	0.02784968	0.032711703
Sub63	0.42109314	0.51201385	0.02330474	0.043588325
Sub64	0.40561017	0.5513571	0.015363415	0.027669348
Sub65	0.23662348	0.74824697	0.0072550997	0.007874397
Sub66	0.4336108	0.54915833	0.005883862	0.011347047
Sub67	0.36222973	0.59970737	0.015601478	0.022461439
Sub68	0.41792503	0.5635047	0.0068104006	0.01175996
Sub69	0.45205107	0.5211351	0.008135027	0.018678736
Sub70	0.30009905	0.6710408	0.01110357	0.017756606
Sub71	0.33284345	0.61806995	0.02051398	0.028572643
Sub72	0.52785516	0.42749095	0.022125676	0.022528216
Sub73	0.24892895	0.7142771	0.016592698	0.020201307
Sub74	0.17691422	0.79753065	0.011704381	0.013850815
Sub75	0.35809568	0.61504215	0.011249668	0.01561249
Sub76	0.40693665	0.5727479	0.006643972	0.013671503
Sub77	0.3309848	0.6547684	0.0049379743	0.0093088085
Sub78	0.36547592	0.61821467	0.006509123	0.0098002115
Sub79	0.34193087	0.6085861	0.02097924	0.028503763
Sub80	0.3175219	0.6530803	0.0129507715	0.016446995
Sub81	0.42483985	0.5397572	0.01668443	0.018718474
Sub82	0.20358205	0.780091	0.006030143	0.010296889
Sub83	0.34666136	0.6128251	0.017567698	0.022945851
Sub84	0.36127624	0.61365396	0.009319718	0.015750112
Sub85	0.34345815	0.614683	0.01646059	0.025398334
Sub86	0.3540242	0.592236	0.019533928	0.03420588
Sub87	0.22111927	0.7487545	0.011838201	0.018288009
Sub88	0.3509797	0.59416723	0.022043495	0.03280955
Sub89	0.39337406	0.5512684	0.020007076	0.03535044
