,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.07389128,0.034716897,0.02620045,0.219072719,0.106035665,0.0673478,0.040078077,0.09640628,0.124500036
GSM2154806,0.074645825,0.034790967,0.026317313,0.218181949,0.105477564,0.067956984,0.039668214,0.09636938,0.1242556
GSM2154808,0.074880406,0.03486097,0.02653639,0.21839865499999997,0.10509813,0.067681566,0.040079664,0.09608847,0.12336023
GSM2154801,0.077129245,0.034399588,0.028097803,0.21406531300000003,0.10454868,0.0680512,0.04073141,0.09470845,0.121914856
GSM2154807,0.07470565,0.034772813,0.026748598,0.217836101,0.105633564,0.06751549,0.040122923,0.09633523,0.12400968
GSM2154802,0.07682662,0.034596775,0.027307864,0.21501304799999998,0.1044201,0.06826102,0.04019645,0.095030464,0.12305446
GSM2154805,0.07369294,0.034740146,0.026180437,0.21990214,0.105915196,0.0674221,0.04004387,0.09633514,0.123759635
GSM2154804,0.07405937,0.03468104,0.025978554,0.219466742,0.10562819,0.06752078,0.039999954,0.0960707,0.12408357
GSM2154800,0.076936565,0.034325473,0.027561896,0.21511100299999997,0.104474306,0.06807184,0.040851206,0.09447461,0.12205647
GSM2154803,0.076544024,0.034585807,0.028084554,0.21402272,0.104869075,0.06780542,0.04010389,0.09603745,0.12332544
