,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.029951876,0.055486258,0.022431165,0.22978504,0.09024161,0.021723662,0.0,0.12550901,0.15832849
GSM2154806,0.029883668,0.056392405,0.022402478,0.22595628,0.08936029,0.022310795,0.0,0.12614633,0.15867624
GSM2154808,0.031393126,0.057772335,0.021777507,0.22792956,0.08776259,0.022238132,0.0,0.12574804,0.15565088
GSM2154801,0.033312593,0.054142423,0.022494761,0.21268758,0.088052444,0.022005413,0.0,0.12715113,0.15774986
GSM2154807,0.030638674,0.05581557,0.022765877,0.22689126,0.08909922,0.02180454,0.0,0.12633057,0.15787697
GSM2154802,0.03450751,0.055296514,0.021513825,0.21648206,0.08772619,0.021704284,0.0,0.12542832,0.15832415
GSM2154805,0.029604957,0.055880506,0.022283206,0.23324898,0.090362094,0.021924686,0.0,0.12587984,0.15589175
GSM2154804,0.02954202,0.05511077,0.021988442,0.23158507,0.09005661,0.02194493,0.0,0.1256541,0.15718214
GSM2154800,0.03372549,0.05391448,0.021853225,0.21722096,0.08761677,0.021569274,0.0,0.12664254,0.15748593
GSM2154803,0.031479124,0.05353828,0.024560241,0.21344885,0.08751356,0.021442838,0.0,0.12682246,0.16345203
