	alpha	beta	gamma	delta
Sub1	0.23499478	0.43252692	0.20379457	0.12868378
Sub2	0.2564593	0.43012998	0.19254178	0.120868996
Sub3	0.23658478	0.40744558	0.21679072	0.13917887
Sub4	0.19722554	0.4637332	0.21259415	0.12644717
Sub5	0.20303363	0.47188666	0.18803924	0.13704042
Sub6	0.1729751	0.5083145	0.18719637	0.13151404
Sub7	0.20427139	0.47591582	0.18677962	0.13303319
Sub8	0.19125961	0.4730698	0.20901403	0.12665659
Sub9	0.2153563	0.44842672	0.19722891	0.13898805
Sub10	0.2011369	0.48521143	0.18135107	0.13230066
Sub11	0.23376623	0.38576287	0.23378742	0.14668347
Sub12	0.2425469	0.41059068	0.20846495	0.13839746
Sub13	0.20103776	0.4473473	0.21588284	0.13573211
Sub14	0.23491365	0.41002238	0.2176366	0.13742736
Sub15	0.20720391	0.47085103	0.19079608	0.13114901
Sub16	0.18966074	0.47070524	0.20817547	0.13145849
Sub17	0.178784	0.4569499	0.21745825	0.14680791
Sub18	0.20553085	0.45202073	0.20988119	0.13256729
Sub19	0.20783068	0.4533037	0.20596929	0.13289633
Sub20	0.21197043	0.46958616	0.19184944	0.12659398
Sub21	0.17905837	0.5106871	0.18598786	0.12426677
Sub22	0.22202088	0.45123863	0.19726878	0.12947181
Sub23	0.22485538	0.42172095	0.22353572	0.12988794
Sub24	0.19537285	0.46046847	0.20906845	0.13509025
Sub25	0.22701819	0.40591452	0.23038495	0.13668236
Sub26	0.2033012	0.47569528	0.18643007	0.13457336
Sub27	0.21199088	0.4417594	0.21035598	0.13589373
Sub28	0.20071459	0.49023274	0.17967789	0.12937483
Sub29	0.20254984	0.47282618	0.19360672	0.13101728
Sub30	0.22052267	0.4550987	0.19806053	0.1263181
Sub31	0.21133411	0.47164625	0.18360078	0.13341893
Sub32	0.24358739	0.38052356	0.23277028	0.14311872
Sub33	0.18067168	0.46679118	0.21272518	0.13981202
Sub34	0.20978154	0.45819816	0.19825192	0.13376841
Sub35	0.20418756	0.4437579	0.21955281	0.13250172
Sub36	0.22062138	0.41676885	0.22103928	0.14157048
Sub37	0.23194553	0.42588347	0.2085409	0.13363008
Sub38	0.19855444	0.46729168	0.20587309	0.12828076
Sub39	0.18487883	0.4722411	0.20543991	0.1374401
Sub40	0.25132573	0.3854325	0.21924402	0.14399776
Sub41	0.25329903	0.42234966	0.19191971	0.13243161
Sub42	0.2436686	0.4005242	0.21400817	0.14179903
Sub43	0.22936444	0.43896466	0.19650026	0.13517061
Sub44	0.21751279	0.43185785	0.21349841	0.13713096
Sub45	0.20086032	0.45734814	0.20379491	0.13799655
Sub46	0.21245663	0.45036817	0.19994344	0.13723172
Sub47	0.19975966	0.44792604	0.21465012	0.13766424
Sub48	0.21223311	0.43813965	0.21394454	0.13568269
Sub49	0.22410877	0.4648419	0.18663417	0.12441517
Sub50	0.20925418	0.48117065	0.18153732	0.12803793
Sub51	0.20297803	0.45210317	0.21126217	0.1336566
Sub52	0.2197257	0.43848336	0.20351991	0.13827097
Sub53	0.23337382	0.38323748	0.24372363	0.13966508
Sub54	0.21501514	0.43184245	0.21956389	0.1335786
Sub55	0.22471587	0.40416822	0.22987132	0.1412446
Sub56	0.25628698	0.38870546	0.2138827	0.14112492
Sub57	0.21270625	0.45269474	0.201649	0.13294996
Sub58	0.20454533	0.46106815	0.20253167	0.13185477
Sub59	0.20822811	0.43645522	0.22169325	0.1336235
Sub60	0.22924931	0.39949068	0.22802278	0.14323723
Sub61	0.23182642	0.40439513	0.22099234	0.14278613
Sub62	0.24269255	0.4456613	0.19039135	0.12125482
Sub63	0.19800904	0.4840662	0.18344577	0.13447896
Sub64	0.19371161	0.49013326	0.18358067	0.13257448
Sub65	0.23108879	0.37707928	0.2528368	0.13899511
Sub66	0.17749093	0.47194076	0.21226993	0.13829835
Sub67	0.21619557	0.44895715	0.19699658	0.13785069
Sub68	0.18983166	0.4664647	0.21139222	0.13231139
Sub69	0.1921915	0.49116805	0.18902583	0.12761453
Sub70	0.23702689	0.43049648	0.2010816	0.13139509
Sub71	0.24654064	0.43420625	0.19126755	0.12798558
Sub72	0.17216049	0.5271085	0.18186331	0.118867725
Sub73	0.27574083	0.40480164	0.1974886	0.12196892
Sub74	0.29166412	0.36394328	0.21642417	0.12796845
Sub75	0.21689115	0.45656848	0.19772595	0.12881441
Sub76	0.19458352	0.46936545	0.20369904	0.132352
Sub77	0.2145466	0.43611965	0.21123387	0.13809991
Sub78	0.20655076	0.4513939	0.21434057	0.12771484
Sub79	0.22845377	0.44339073	0.19788334	0.13027222
Sub80	0.2286339	0.43457708	0.19838856	0.13840052
Sub81	0.19411458	0.49705067	0.18617812	0.12265666
Sub82	0.24358533	0.3574661	0.26785782	0.13109086
Sub83	0.22873949	0.4348288	0.1967058	0.13972592
Sub84	0.20821282	0.46270466	0.19624995	0.13283248
Sub85	0.2349094	0.4396383	0.19624595	0.12920631
Sub86	0.22831824	0.45898873	0.18608505	0.12660797
Sub87	0.25840247	0.3861227	0.22020178	0.13527308
Sub88	0.22759871	0.45278347	0.19316955	0.12644829
Sub89	0.2105909	0.46634436	0.19229868	0.1307661
