	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
10101327	0.28047168	0.31152555	0.1681374	0.1391047	0.0	0.0	0.07672045	0.024040185
10101589	0.38519293	0.19905035	0.12868388	0.12355776	0.0	0.0	0.08973126	0.073783815
10202345	0.28855553	0.2752912	0.16224521	0.1452573	0.01950094	0.0	0.081318244	0.027831513
10203224	0.15812752	0.43060207	0.2188763	0.108328536	0.0	0.0	0.063342415	0.020723173
10205244	0.32838842	0.24188147	0.14073285	0.19013512	0.0	0.0	0.06163947	0.037222788
10208143	0.24955173	0.36089614	0.17285734	0.13702157	0.0	0.0	0.065971136	0.01370215
10218339	0.27942348	0.26319754	0.16737346	0.16783212	0.0	0.0	0.09233431	0.029838998
10222853	0.23905028	0.28308818	0.194528	0.16587196	0.0	0.0	0.0848778	0.032583684
10246987	0.13263693	0.4298976	0.25390646	0.0705992	0.0	0.0	0.07597387	0.036985897
10248033	0.2973134	0.2759076	0.18003963	0.11931283	0.0	0.0	0.096218	0.031208593
10249336	0.27135152	0.2870464	0.15321377	0.16489595	0.0	0.0	0.07688809	0.04660426
10253148	0.39611027	0.18613398	0.13554907	0.078205064	0.03745615	0.0	0.10989904	0.056646336
10260309	0.33633423	0.21610136	0.12625602	0.14652327	0.0	0.0	0.114424646	0.060360484
10262905	0.2341998	0.2810482	0.20354952	0.16766423	0.0	0.0	0.07930072	0.03423749
10271474	0.2619719	0.26605716	0.19499929	0.16681081	0.0	0.0	0.08388515	0.026275683
10277308	0.32779473	0.21203266	0.175378	0.16400927	0.0	0.0	0.08441424	0.036371034
10288185	0.3165927	0.22266039	0.18492244	0.14027214	0.0	0.0	0.097040795	0.038511578
10290427	0.3097365	0.22505337	0.13839735	0.1788291	0.0062976475	0.0	0.097332336	0.04435369
10291856	0.37417677	0.12023269	0.0709112	0.2273956	0.0	0.0	0.12394422	0.083339535
10292311	0.27479127	0.27813628	0.16395062	0.15992224	0.0	0.0	0.08820252	0.034997046
10300914	0.39135382	0.15496978	0.102878705	0.1853575	0.0	0.0	0.10448145	0.060958818
10315029	0.37734556	0.14650422	0.099222936	0.22504297	0.0023220093	0.0	0.09488614	0.054676224
