	alpha	beta	gamma	delta
Sub1	0.2785585	0.45373473	0.15493616	0.11277061
Sub2	0.37668085	0.4183108	0.1230083	0.08200002
Sub3	0.296835	0.39861017	0.16800204	0.13655274
Sub4	0.17055765	0.4985563	0.2403272	0.09055893
Sub5	0.17133626	0.5494302	0.12825723	0.15097626
Sub6	0.12892343	0.63699716	0.1060134	0.12806597
Sub7	0.20793974	0.5576668	0.103207044	0.13118644
Sub8	0.17287564	0.5887177	0.15662338	0.08178332
Sub9	0.21836136	0.48796445	0.1310975	0.16257672
Sub10	0.18100825	0.5944263	0.09031773	0.13424776
Sub11	0.2891178	0.34555683	0.20496401	0.16036128
Sub12	0.3053787	0.38292292	0.16107842	0.15061992
Sub13	0.1841832	0.48457983	0.21073177	0.12050521
Sub14	0.25382957	0.40829453	0.192328	0.14554793
Sub15	0.20347609	0.5370552	0.13561766	0.12385108
Sub16	0.15945028	0.57524	0.16179061	0.10351906
Sub17	0.1509882	0.5036487	0.17605503	0.16930804
Sub18	0.20745178	0.52445406	0.16373733	0.104356915
Sub19	0.20921007	0.5225671	0.15497166	0.11325118
Sub20	0.2233523	0.5449736	0.1239708	0.10770335
Sub21	0.13659886	0.67286485	0.1046956	0.085840724
Sub22	0.23704156	0.51514864	0.13622798	0.11158179
Sub23	0.24827039	0.41983342	0.23306467	0.09883152
Sub24	0.1677113	0.54113334	0.16330513	0.12785023
Sub25	0.24718481	0.4028944	0.22599283	0.12392789
Sub26	0.18741615	0.56730723	0.106340185	0.13893642
Sub27	0.22436859	0.49316514	0.1571069	0.12535937
Sub28	0.18719243	0.59397244	0.09408042	0.1247547
Sub29	0.20367551	0.5406466	0.1428559	0.11282205
Sub30	0.2551584	0.5014568	0.14500333	0.09838155
Sub31	0.22414908	0.5476629	0.09077413	0.13741395
Sub32	0.31309634	0.30800554	0.22223724	0.15666088
Sub33	0.1647743	0.54218036	0.1628763	0.13016903
Sub34	0.23095337	0.5066245	0.13528621	0.12713593
Sub35	0.19255692	0.507792	0.19541173	0.10423938
Sub36	0.22956431	0.4248893	0.2065369	0.13900942
Sub37	0.28505597	0.41882887	0.17908607	0.11702908
Sub38	0.20770346	0.53694195	0.16480435	0.090550244
Sub39	0.15433441	0.5567182	0.15932333	0.12962411
Sub40	0.32440233	0.3396816	0.17222008	0.16369599
Sub41	0.3587583	0.4137351	0.095665775	0.13184087
Sub42	0.3166115	0.3614599	0.17647836	0.14545028
Sub43	0.279143	0.44198197	0.14451393	0.13436112
Sub44	0.23005289	0.45650557	0.17974494	0.13369654
Sub45	0.20189843	0.48426244	0.17950758	0.1343316
Sub46	0.22686388	0.49962088	0.14989558	0.12361968
Sub47	0.18583716	0.5068681	0.18345138	0.12384335
Sub48	0.22945768	0.46550107	0.1934496	0.11159168
Sub49	0.27417445	0.5268254	0.10600685	0.09299331
Sub50	0.22094497	0.5874068	0.09008897	0.10155926
Sub51	0.1934891	0.5108206	0.18917398	0.10651625
Sub52	0.24875757	0.4722931	0.15068002	0.12826931
Sub53	0.26745772	0.32343057	0.283184	0.12592775
Sub54	0.2368863	0.47287458	0.18431695	0.105922125
Sub55	0.24413396	0.38629493	0.23001657	0.13955453
Sub56	0.3505496	0.34308204	0.15008451	0.15628389
Sub57	0.21914308	0.5023595	0.15475044	0.123747006
Sub58	0.20036225	0.54102296	0.15625295	0.1023618
Sub59	0.19732744	0.47854295	0.21529308	0.108836554
Sub60	0.25053114	0.3892669	0.20581171	0.15439025
Sub61	0.27231476	0.3993433	0.18452412	0.14381778
Sub62	0.333552	0.45472747	0.12599343	0.08572712
Sub63	0.18928844	0.55416846	0.10233403	0.15420906
Sub64	0.19532605	0.5844555	0.095836364	0.124382
Sub65	0.2582344	0.26854697	0.3527818	0.12043686
Sub66	0.12926383	0.5508857	0.17971548	0.14013503
Sub67	0.22093259	0.494362	0.13252135	0.15218408
Sub68	0.15945415	0.5418089	0.18855111	0.11018584
Sub69	0.17565288	0.6151672	0.11014641	0.09903352
Sub70	0.28817558	0.43676183	0.1519268	0.12313584
Sub71	0.3285532	0.43337873	0.11753038	0.120537706
Sub72	0.11876825	0.7086259	0.10288967	0.069716156
Sub73	0.42644602	0.35697016	0.13308142	0.0835024
Sub74	0.4623215	0.2711392	0.16131487	0.10522441
Sub75	0.2253245	0.5285778	0.13975045	0.1063473
Sub76	0.18273135	0.54037744	0.1610591	0.115832046
Sub77	0.22219582	0.46030343	0.18221347	0.13528728
Sub78	0.2112734	0.49622077	0.203685	0.08882075
Sub79	0.2645197	0.4704055	0.14311524	0.12195959
Sub80	0.25829616	0.4557348	0.13825701	0.14771198
Sub81	0.1748118	0.6150257	0.1255567	0.084605806
Sub82	0.33108905	0.28453454	0.28136942	0.103007026
Sub83	0.26383004	0.4672141	0.12046919	0.14848666
Sub84	0.20654416	0.53491926	0.13195027	0.12658632
Sub85	0.29500318	0.4670578	0.11867746	0.11926161
Sub86	0.28610784	0.51593214	0.09502691	0.102933146
Sub87	0.3693339	0.30808032	0.18950437	0.13308138
Sub88	0.28930274	0.4689525	0.12860669	0.11313807
Sub89	0.2415777	0.53632194	0.11358265	0.108517684
