	acinar	ductal	delta	activated_stellate	alpha	beta	epsilon	gamma	endothelial	quiescent_stellate	macrophage	schwann	mast	t_cell
Sub1	0.0149652798938895	0.000964485261183	6.48566828578574e-07	0.109558005200927	0.52156869226727	0.309251113111682	0.0027473323548871	0.0007454692091441	0.0366996294673953	1.23423822064427e-05	0.0029107716728064	1.78715844397926e-05	0.0005519610503819	6.39797695933116e-06
Sub2	3.43414071051156e-06	0.0090280278339749	1.07344283569009e-06	0.145405980192188	0.199444331846889	0.5877427795108	0.0104767225343645	1.74220643196512e-06	0.0425595305214662	4.28058088416956e-06	0.0049570941114796	4.10209503671412e-06	0.0003682411240081	2.65985893044373e-06
Sub3	0.10577903607779	0.0259641867071428	0.0300851309743293	0.0909884650926779	0.311836574373012	0.376389813701785	0.0008166747441155	1.52424714532307e-06	0.0351874244121793	0.0095352959763741	0.0082644057891347	0.0046946528410579	0.0003462064968077	0.0001106085664482
Sub4	0.0090367048013317	0.0250773475590197	0.0004990586882708	0.123950318058615	0.227672674361933	0.507107876459488	0.0233898900248175	0.0347157182264351	0.0430077909099172	1.9427500055047e-05	0.0042197106557932	1.81645984400786e-05	0.0012828672366007	2.45091928186356e-06
Sub5	0.0844404641360481	1.9834475468069e-06	5.19151100885376e-07	0.027507520422128	0.606361572463483	0.234817236448158	0.0077037151452375	3.34552454836686e-06	0.0259355308580915	0.0107280825735079	0.0006090089374818	4.38928000905025e-05	0.0018374443580098	9.68373456732049e-06
Sub6	4.69601056633525e-06	0.0123996322331074	1.30442136851902e-06	0.124207803685461	0.0678594876161514	0.525956900737542	0.001652029035182	1.27644227248056e-06	0.144509917127182	0.0861267112911716	0.0018489293719185	0.0310565935271482	0.0043466488347324	2.80696661950477e-05
Sub7	0.0396155155289458	0.0212218859604023	2.21791166059797e-06	0.0569644510509592	0.190776935775344	0.553788700429365	0.0400568191821834	9.70982567238064e-07	0.0682412681437266	0.0229593636944435	0.0028040233771884	0.0019525632995643	0.0016134011159942	1.88354765530457e-06
Sub8	0.0602591479587229	0.12478717851926	0.0168459867503183	0.119558296285955	0.134822517401963	0.437506546917338	0.0003872346019319	0.0049041227537079	0.0810655408266993	0.0108801070328947	0.0055642184076213	0.0020232433844577	0.001309935351656	8.5923807473725e-05
Sub9	0.0231890799845881	2.66850759438554e-06	2.55865940176265e-06	0.0909076371470274	0.514161468426627	0.282561814564857	0.0078650669137446	3.44672955695103e-06	0.0488580892714926	0.0243012529312624	0.0031364003454147	0.0025464517541115	0.0024593542042597	4.7105600617299e-06
Sub10	0.0050777550439586	3.26097801560698e-05	7.73723898198356e-07	0.0666691182896272	0.517420405077975	0.307160284800894	0.0233046175738041	7.36200667723567e-07	0.0714891381878338	0.005260961456491	0.0020126619466322	5.78444165918296e-06	0.0015588273636395	6.32611276345542e-06
Sub11	0.276005405244054	6.67147341806863e-07	3.98464084448111e-07	0.122761516995354	0.436681220320779	0.0827846271057229	6.65805893569815e-07	5.88648148404273e-07	0.0540693841423218	0.0087519915062748	0.0014499955563716	0.0105732520834253	0.0063276473779018	0.0005926396023252
Sub12	0.0618941771160368	1.20618037699749e-06	7.83253644828686e-07	0.174856736089606	0.37788799482544	0.292633226081496	3.69227682404082e-06	0.0033763579860315	0.0788819320636429	0.0027399653336478	0.005189711574806	3.702518588159e-05	0.0023447006885559	0.0001524913440091
Sub13	0.0320328072313538	0.0371686870295034	0.0129703315711767	0.0859136518940491	0.310018572709624	0.373762956739892	0.0058156960159602	0.0140042870498913	0.0869936851428297	0.0224197286237778	0.005324857041245	0.0120518846807726	0.0014247110862628	9.81431836615203e-05
Sub14	0.052062687615254	1.60282034192067e-06	4.82950697635726e-07	0.0865790262387234	0.73840924103175	0.0976300238618799	2.3068902164089e-06	0.0011861795109895	0.0192496094997339	2.88276598610793e-06	0.0042149828402143	1.55823829645091e-06	0.0006522469028445	7.16883307156302e-06
Sub15	6.04271264871016e-06	0.0099249940577852	0.0065146968470056	0.0820308816831961	0.301866375780646	0.511557038090874	0.040174399323601	9.05633215378458e-07	0.0325594388178776	0.008248401293944	0.0064988689888662	2.27606193571602e-06	0.0006130672190663	2.61348933883805e-06
Sub16	0.0358434418227611	0.0653660899500684	0.0139794611281137	0.123672524035533	0.281004300081063	0.369098490085079	0.0004569100827617	0.0029405611522412	0.0745453204584174	0.0092001475346351	0.0038884970144044	0.0185526718691887	0.0014432379305439	8.34685518893047e-06
Sub17	0.0060458541076464	0.0477520873345978	0.0392923370779523	0.0767311075582884	0.147769303910426	0.481484796817765	0.0077226549298215	0.001312961169058	0.107416335650594	0.0465445799459815	0.0016296524018241	0.0357858006857614	0.0004796178430814	3.29105672014997e-05
