	delta	beta	gamma	alpha	acinar	ductal	unclassified endocrine	co-expression	MHC class II	PSC	endothelial	epsilon	mast	unclassified
Sub1	0.0019600595521401	0.271449235723743	0.0015234753029578	0.429717634257859	0.0762406514769117	0.0127622743747664	2.42304047927706e-06	4.21455433162982e-06	1.43359066236741e-06	0.142774260684566	0.0430002047702144	0.0084184328334417	0.0001818469071562	0.0119638529307711
Sub2	0.0031801026648413	0.55508536722997	0.0007303375206414	0.153940253959626	0.029681836704052	0.0161522747511133	0.0005804244987496	6.4543579041179e-06	1.10091111804576e-06	0.192156091078388	0.0323880987385079	0.0077844752577622	0.0002079233328149	0.0081052589945105
Sub3	0.0192591696028588	0.279627660587759	2.6911767926467e-06	0.213440885378544	0.192251664566186	9.35675989171522e-06	0.0196900240449402	0.0657579897064101	0.0241227616474524	0.128799616964031	0.0465445293538463	0.0019586472557728	0.0001715871979999	0.0083634157575153
Sub4	0.0104669473527827	0.462015813531397	0.0271010540394558	0.167169894380779	0.0495821147262952	0.0457797632150845	1.72999278890256e-06	8.21819331653429e-06	3.93204211849625e-06	0.173199260539914	0.0322763110155705	0.0275858777352438	0.000231292353598	0.004577790881655
Sub5	0.0011785431296781	0.205884401474748	0.0004285424718875	0.447224530934834	0.178333007455716	0.0071335236518559	7.34816350561777e-07	0.000442010943519	9.7873913882919e-07	0.0474927699983416	0.0391020980681505	0.0227464306498083	0.0001369336037358	0.0498954940622355
Sub6	0.0040074289759521	0.45098583914848	0.0006176264609319	0.0770796819848743	0.0117714685847088	0.0462859057320783	1.44149280087001e-06	5.98538659988589e-06	3.39918229525521e-06	0.210367331591097	0.143270767548371	0.0134371739918864	0.0008285179215368	0.0413374319983872
Sub7	0.0118254237457529	0.521155055008688	0.0002391638471442	0.139042962383254	0.09318184658041	0.0303943787956739	1.41964567364252e-06	0.0001410100545879	1.06637241159479e-05	0.0874092228614884	0.0709218840168001	0.0251015619315343	0.0001529948775047	0.0204224125273718
Sub8	0.0182703478392436	0.36255630427284	0.005221032038567	0.103652743393603	0.117700408106908	0.134260771525177	0.02250766884147	4.10092298981936e-05	0.0023950154875778	0.164409742359436	0.065401282652849	0.0020566438518984	0.0003229417094128	0.0012040886911184
Sub9	0.0071994747288892	0.253154185872022	0.0007686261528071	0.388439572503756	0.087081281214376	0.0101477289438064	9.87346035034576e-07	2.3467327439328e-05	0.0069500912395518	0.133766161255994	0.0615992386482877	0.0121263608828602	0.0001870048391791	0.0385558190449957
Sub10	0.0028826709770854	0.276301568019253	6.17094604649206e-07	0.428387139200064	0.0465976810687471	0.01178786492242	1.25487954346195e-06	1.56257776747488e-05	9.21345330132222e-07	0.0993094664091914	0.0717199595961767	0.0244192599716935	0.0002164816751962	0.0383594890630199
Sub11	0.0016068551355916	0.061225496431001	7.93975388869158e-07	0.267155076174576	0.425011086231151	0.0032443283818429	0.0041458105270702	4.59006018489365e-05	7.54983206597288e-07	0.14555630772605	0.0769330444802498	9.01805027782079e-05	0.0007530625248275	0.0142313023244166
Sub12	0.0024565763701755	0.250064599214407	0.0038312144852108	0.278525721948809	0.126616325361501	0.0045878660427807	6.01037089984505e-06	0.0014254191293893	0.0048442897737484	0.224828479384602	0.0803066097940891	0.0086002255769415	0.0003262917624061	0.0135803707850388
Sub13	0.0122098495344884	0.312215310550914	0.0117660943370107	0.248344305860442	0.0828293117548595	0.0455500366599178	2.14246600099258e-06	0.0318914614457528	0.0015721452678463	0.141572724602132	0.0842492579774598	0.009011289780779	0.0002022598454797	0.0185838099169168
Sub14	0.0011413837288018	0.0866771553396987	0.001565919762121	0.467736939336214	0.256075601401656	0.0051724092539191	1.9940784257899e-06	6.19042011634047e-06	2.08874531156148e-06	0.141937698892652	0.0277607462275296	0.0050944738890629	0.0005473550739832	0.0062800438505082
Sub15	0.018767144092126	0.492113063577678	1.12732745069713e-06	0.199393137505682	0.054851666648447	0.0257184250074592	1.30090384363324e-06	3.73558981894119e-05	1.05267011580833e-06	0.124937547199514	0.0326086761743094	0.0273300548717005	0.0002343029295191	0.0240051451939651
Sub16	0.0167978770856282	0.296102193367103	0.0034066995894115	0.225528489795548	0.0869309620826323	0.0814482115222839	0.0048393087763753	0.0039214211793442	0.0074479519412946	0.175043776871315	0.0689018181781811	0.0098960344762896	0.0001890248482776	0.0195462302863154
Sub17	0.0366683482487412	0.431633796383989	0.0024970633206873	0.143950479848359	0.028787339852598	0.0475010241770987	0.0344788659952758	0.0003115169432004	2.93207918400011e-06	0.145623872418134	0.0930711950181407	0.0120634941881547	0.0002073608833444	0.0232027106430932
Sub18	0.0166051139284524	0.316761050584752	0.0026843918970047	0.19599729178202	0.090914350045757	0.0739216347666626	0.0087989213069194	0.00114089740852	0.0092573324451171	0.181278168573151	0.0916591196332394	0.0039761242177987	0.0003765289270229	0.0066290744835824
Sub19	0.0138667317487632	0.316441107470665	0.0050628246426604	0.217153401580709	0.203584896139319	0.0379295155512419	3.27178733080945e-06	0.0002244563933022	4.78795569912221e-06	0.123628470751969	0.0656591695960203	0.00331194631391	0.0002451505926995	0.0128842694757102
Sub20	0.023265778955965	0.513434168633282	5.05502341076098e-05	0.132680102944584	0.0224035026720376	0.0514095801326459	2.6431018207796e-06	5.50172167095791e-06	2.02677309375576e-06	0.21171190774387	0.0308852958729272	0.0125950609363066	0.0006406270715274	0.0009132532061603
Sub21	0.038943391091733	0.502216390076745	9.610307447732e-07	0.0991301760928962	0.0183897976335068	0.109342812078356	7.27316441957343e-07	2.18486302962536e-05	1.53386140712574e-06	0.189886705535248	0.027216280874481	0.0117036728260685	0.0002938820025339	0.002851820949542
Sub22	0.0035488518676692	0.25238653579808	0.0014013204182459	0.235545628829435	0.123881336847233	0.0246951123584152	1.0346277162198e-06	5.74655068747909e-06	2.2007113252954e-05	0.278179245757042	0.0563888938335259	0.0147713232882666	0.0010599617349653	0.0081130009754655
