Mixture	alpha	beta	gamma	delta	acinar	ductal	endothelial	activated_stellate	quiescent_stellate	P-value	Correlation	RMSE
Sub1	0.188970205987072	0.0999988262050508	0.0432182345298526	0	0.0846430409424195	0.434680826966769	0.0476931638394034	0.0993441683087441	0.00145153322068913	0	0.956669467208387	0.546638683657846
Sub2	0.415329590650174	0.346927656837958	0	0	0.0142252668916767	0.0839200166362966	0.0326207959732595	0.0973644675192843	0.00961220549135078	0	0.978573974176574	0.209782604595614
Sub3	0.17060063921664	0.344314656906481	0	0.0393369935869025	0.181004842362982	0.156051646028968	0.0310588971732252	0.0489019564417157	0.0287303682830858	0	0.964884121258284	0.496765795944027
Sub4	0.250261720323928	0.246791636032207	0.169113332740577	0.00943232641327957	0.0529774194936803	0.130610897560283	0.0368407368345397	0.0931653150156545	0.0108066155858505	0	0.941966985927623	0.465325078240718
Sub5	0.0880202450286126	0.406856307658769	0	0	0.203364516992178	0.251050935969218	0.0214012777456758	0.00149628815315959	0.0278104284523879	0	0.863440827843599	0.64356832165
Sub6	0.337941064841375	0.169168849006412	0.0995164254841423	0.00614833354204878	0	0.0297984341294803	0.207131937785732	0.0569203371131243	0.0933746180976858	0	0.950826620667283	0.360242848509303
Sub7	0.200880429912461	0.548867316428512	0	0.000979086738734957	0.07418315945539	0.0927619651398277	0.0451458553435536	0.0182455625488664	0.0189366244326538	0	0.913872792543698	0.518489451039431
Sub8	0.0961311257533508	0.561076124810782	0.0122603983889578	0.023983663632036	0.0900943953197432	0.0531345422833824	0.0668837752297389	0.0774214377496556	0.0190145368323528	0	0.934943531802861	0.6066197731856
Sub9	0.113137694005772	0.247835154589214	0.00115018110939484	0.00244803885214368	0.11751427336417	0.376017598887887	0.0595538161191614	0.0747056770528903	0.00763756601936603	0	0.916488346538564	0.655491695715723
Sub10	0.10902634444064	0.393328696483431	0	0	0.104756916152909	0.268648361684932	0.0624711172201429	0.0283428233329444	0.0334257406850004	0	0.838501156546278	0.688722516341909
Sub11	0.0153398119858264	0.0112980395085696	0.00927659130007805	0	0.460846906554517	0.344228232858096	0.0778365834367334	0.0328828520331894	0.0482909823229898	0	0.936774366258102	0.447192525259749
Sub12	0.166598832079119	0.0563595148298925	0.0527856376340403	0	0.18540511980648	0.255130527156642	0.0992296954008125	0.156920262678619	0.0275704104143941	0	0.962800756721997	0.541217962214673
Sub13	0.131754021429668	0.254630789645345	0.124556097087459	0.0303015427932375	0.0725986078177867	0.197626892581601	0.0917096719925565	0.0459049304381625	0.0509174462141847	0	0.950844975607994	0.618970408380722
