Mixture	ductal	acinar	delta	alpha	beta	gamma	endothelial	P-value	Correlation	RMSE
Sub1	0.484028203768262	0.0837308780603367	0	0.164910702754932	0.146000631698011	0.0745140161066589	0.0468155676117987	0	0.966948781623746	0.599217681343099
Sub2	0.149874029947218	0.0179226016136673	0	0.494414482500776	0.21846993477581	0.089064833504487	0.0302541176580416	0	0.983090678625033	0.184292124391212
Sub3	0.156680183952765	0.233719705053394	0.057429297028804	0.234521531627601	0.257243975513824	0.0169663375496984	0.0434389692739131	0	0.964566613006855	0.441424786881986
Sub4	0.162774602052621	0.0434874201793026	0.00554287251300384	0.20485818527234	0.326894511114682	0.23390500842574	0.0225374004423097	0	0.936749137018293	0.556450609040739
Sub5	0.33229101296771	0.260851606869596	0	0.117609822758815	0.188684132864636	0.073460777583902	0.0271026469553412	0	0.851692742474546	0.638695166713858
Sub6	0.0129251096355572	0	0	0.238574765674997	0.190838640572	0.434413456819634	0.123248027297811	0	0.942330982455717	0.508504555347147
Sub7	0.057432704375067	0.0970185546645804	0.00697511367712002	0.274621247102645	0.422101906945581	0.0917281184522054	0.0501223547828011	0	0.921964412616885	0.488915718984333
Sub8	0.0604699573481163	0.098233521519575	0.0258643450386564	0.113538834666742	0.606333993575959	0.0407301162004589	0.0548292316504923	0	0.90865410965485	0.633170773371377
Sub9	0.361400350235366	0.141846230548327	0.000651910056845616	0.127137936226585	0.242481348063456	0.0584873893359062	0.0679948355335144	0	0.920864239307244	0.648675485260945
Sub10	0.397593983711709	0.118739959297687	0	0.13231855136984	0.246895365962859	0.0461464161195034	0.0583057235384014	0	0.873002444483952	0.681699643501774
Sub11	0.2151599748438	0.5496635010548	0	0.00275488420696197	0.0184076745864757	0.139509960333528	0.0745040049744336	0	0.914774309959434	0.440065738045026
Sub12	0.285428947743484	0.209385614944235	0	0.184328932934704	0.111700581967875	0.111469461881833	0.0976864605278693	0	0.964152341965445	0.519600593951724
Sub13	0.194218023194751	0.0877413286266937	0.0271391997066876	0.147828695909468	0.397931702405711	0.0630716233100479	0.0820694268466416	0	0.932225542746955	0.624853031075113
Sub14	0.554157823790671	0.291932687088889	0	0.0249716371825791	0.0898866987951011	0.00473442163858328	0.034316731504177	0	0.925436812355161	0.610430070335119
Sub15	0.160839418059289	0.0437967966600473	0.012716071488353	0.621310460588051	0.140256343805246	0	0.0210809093990141	0	0.976214153134871	0.294108065427993
Sub16	0.192129344858375	0.120070206479582	0.0305187224312025	0.166045774447683	0.2277646927483	0.188987136216512	0.0744841228183466	0	0.965753895789504	0.574814753788973
Sub17	0.0801266383660641	0.0139360503078286	0.0996775795337067	0.236643736142774	0.334995794237824	0.17081114365762	0.0638090577541824	0	0.957169380152969	0.496557467521117
Sub18	0.170899881110874	0.084945003135242	0.0297928695167498	0.217301197073512	0.325095499508956	0.0786884456886481	0.0932771039660185	0	0.973913203437381	0.512630059371764
Sub19	0.136495079051931	0.178929196906273	0.0160183048800614	0.252052118493601	0.348599464308617	0.0159999055900973	0.051905930769419	0	0.949686086703862	0.463492481532868
Sub20	0.118520262328537	0	0.0229662391976618	0.541986349578411	0.294324280585368	0	0.0222028683100215	0	0.986851987841681	0.170302947664258
Sub21	0.0544538922779507	0.00174324726055487	0.0537738322263417	0.383438688133549	0.488602367883743	0	0.0179879722178601	0	0.860489988034408	0.514070035836217
Sub22	0.215343503927332	0.201551370921538	0	0.27393306598708	0.240765917995842	0	0.0684061411682083	0	0.896233542712466	0.51131543719502
Sub23	0.149036356673283	0.166152266259394	0.0343141691501378	0.4439429719145	0.179858197548115	0.0160316081096976	0.0106644303448728	0	0.982778000920668	0.202077498588457
Sub24	0.280842327861787	0.106667902660514	0.0561349443431139	0.13181374167717	0.349688715556405	0.00488277123668169	0.0699695966643291	0	0.938432973337241	0.636287463529358
Sub25	0.431011534965674	0.301519443219744	0.00904219384841836	0.128746766412119	0.108722405693977	0.00354009323686066	0.0174175626232072	0	0.89633843343272	0.572942439817852
Sub26	0.255142239769602	0.337254312748677	0	0.148919493792975	0.224195647353457	0.0115070684239464	0.0229812379113422	0	0.944941057031672	0.483302940755054
Sub27	0.134664171149194	0.211551098369978	0.0182117398798256	0.230981989170525	0.298202727073366	0.0574981030895011	0.0488901712676106	0	0.947846416549371	0.476120284391547
