	delta	alpha	activated_stellate	ductal	beta	quiescent_stellate	gamma	endothelial	acinar
Sub1	0.102140074	0.120571295	0.09924180899999999	0.272437034	0.1297316452	0.059158786199999994	0.093649769	0.0396326836	0.08343687720000001
Sub2	0.08729164380000001	0.336501732	0.10124080819999999	0.08145406899999999	0.183148608	0.0535148622	0.0630277286	0.050595367999999995	0.0432251634
Sub3	0.091904044	0.147450892	0.1071372056	0.14255621599999999	0.17822692399999998	0.05224471519999999	0.059037447	0.040919381600000006	0.18052317
Sub4	0.12687920800000002	0.142079966	0.080368627	0.083593786	0.268107418	0.0542002706	0.15358637599999997	0.0384429072	0.052741460000000004
Sub5	0.1057031268	0.0635149698	0.06044235299999999	0.31395423200000006	0.11896642399999999	0.054635932799999995	0.0983509972	0.0315038286	0.15292811199999998
Sub6	0.08417743200000001	0.117180916	0.1074498992	0.0280624916	0.48896049799999997	0.057057041600000004	0.0423290434	0.056418982799999996	0.018363679
Sub7	0.09260668100000001	0.16143184800000002	0.0687193054	0.0724366552	0.37970510200000007	0.0468994736	0.06471714819999999	0.040885849	0.0725979548
Sub8	0.061723795600000006	0.13446073399999997	0.075028366	0.046910529	0.47981321999999993	0.0419567696	0.0453947352	0.0419239652	0.0727878752
Sub9	0.12000057800000001	0.075351839	0.11078172400000001	0.237122454	0.159055812	0.0634618954	0.0896556858	0.038195534	0.1063744748
Sub10	0.11863881400000001	0.068338341	0.07772520860000001	0.220918152	0.22695113400000003	0.06806197319999999	0.0643597004	0.0636882552	0.0913183888
Sub11	0.04508698479999999	0.063116131	0.15640303	0.243008776	0.026948129199999997	0.056027096799999995	0.05120581799999999	0.049197346600000004	0.30900671799999996
Sub12	0.0834725208	0.129322974	0.18121826	0.179163574	0.0785303832	0.072794006	0.0827950532	0.06489838900000001	0.127804837
Sub13	0.0944240942	0.12595808800000002	0.0968870652	0.1507236652	0.252026692	0.0608754464	0.09688622	0.0556129698	0.0666057716
Sub14	0.0669293226	0.04201493060000001	0.1012290088	0.369766364	0.060462496	0.0538258054	0.0746501034	0.0454018996	0.185720054
Sub15	0.132595102	0.164698538	0.0820633468	0.12638827400000002	0.237104272	0.0647308534	0.0785860608	0.04515771440000001	0.0686758598
Sub16	0.07906640620000001	0.102923739	0.103591993	0.09617650119999999	0.37275330999999995	0.0536193978	0.06568812380000001	0.0511766434	0.0750038896
Sub17	0.114267694	0.10480735399999999	0.10668426900000001	0.06870469879999999	0.38559438	0.0562747866	0.0626493192	0.0581937664	0.0428237678
Sub18	0.0753228336	0.143790728	0.10712442999999998	0.1183053648	0.289915538	0.059448984399999995	0.0654811314	0.0695551338	0.07105588500000001
Sub19	0.08411292000000001	0.121719561	0.0841406082	0.14172890200000002	0.262020744	0.0530027028	0.0716382246	0.0520182106	0.1296180988
Sub20	0.14111136000000002	0.196482768	0.08498605099999999	0.06915822800000002	0.310872026	0.058773123999999996	0.0609256214	0.050602888400000004	0.027087969400000002
Sub21	0.1105645162	0.10106940099999999	0.05984884180000001	0.04881229	0.53530022	0.04570495200000001	0.039016743400000005	0.0360022112	0.0236808068
Sub22	0.0988962762	0.0950745552	0.17590002	0.158122844	0.17557583000000002	0.0682684634	0.0735239234	0.0570230778	0.0976149742
Sub23	0.11138600000000001	0.169312762	0.053247062	0.168044664	0.194245102	0.042259609399999995	0.08592902599999999	0.03702217	0.138553588
Sub24	0.0982057038	0.08078051500000001	0.10100996520000001	0.181060406	0.260755522	0.06246581960000001	0.0724151148	0.0540474044	0.0892595724
Sub25	0.07806241480000001	0.066323108	0.08050908520000001	0.33302040999999993	0.09853295440000001	0.0549659594	0.0802315422	0.04029126919999999	0.168063308
Sub26	0.0918751968	0.0650965124	0.08720795500000002	0.17709916	0.186383032	0.057401000800000004	0.0670788974	0.0362739538	0.23158426
Sub27	0.088298994	0.149586204	0.086397172	0.162483376	0.220781054	0.0515179552	0.055110220200000004	0.0477284096	0.138096618
Sub28	0.1003900448	0.111864162	0.08162013920000001	0.188402786	0.228139158	0.06514496859999999	0.0712844212	0.038135984199999994	0.1150183242
Sub29	0.12444329079999998	0.16763905399999998	0.0808411188	0.1196840632	0.280617516	0.049679854	0.0788120972	0.04047206800000001	0.0578109334
Sub30	0.096374231	0.263747614	0.057941933	0.062382131400000006	0.324178632	0.047387654999999994	0.056380364599999996	0.0377485592	0.0538588588
Sub31	0.1201513818	0.1237752588	0.0873052452	0.139315894	0.22564073799999998	0.0586717544	0.0667789332	0.053891733600000005	0.124469066
Sub32	0.08741516080000002	0.14521454	0.23194233199999997	0.154872452	0.06166144259999999	0.06865645000000001	0.057137315999999994	0.049149058600000003	0.14395122200000002
Sub33	0.0721363648	0.12040617720000002	0.07148665800000001	0.062327079800000004	0.44541057199999995	0.0466854444	0.06476523819999999	0.0428851108	0.073897324
Sub34	0.110223862	0.20450101800000003	0.0636190186	0.053331045	0.263180926	0.048494829	0.053438589599999996	0.050097065399999995	0.153113639
Sub35	0.06604617100000001	0.09396795299999999	0.12259256999999998	0.15181286	0.17075194600000002	0.058442859199999996	0.0862965258	0.04230015820000001	0.20778896600000002
Sub36	0.086658793	0.068157641	0.055531448	0.22667280399999998	0.119221077	0.044353561799999996	0.0568522392	0.032567976799999995	0.309984476
Sub37	0.112257702	0.25983133999999997	0.062248508	0.1111753784	0.23035504599999998	0.046515344800000004	0.0678914374	0.0380907816	0.07163448119999999
Sub38	0.0925031218	0.167199926	0.059537315800000004	0.019997081	0.511134156	0.0349032712	0.056756269000000005	0.030492040999999998	0.0274768548
Sub39	0.08334505680000001	0.078715822	0.030262985200000002	0.0796157074	0.482767788	0.027510352199999998	0.0667392218	0.0252225588	0.12582052800000001
Sub40	0.056505534600000004	0.0512186622	0.123147194	0.17971394199999996	0.0333836104	0.046305928399999995	0.0541648188	0.0425611358	0.41299915
Sub41	0.1042884458	0.220802896	0.09024934	0.16990995	0.144469268	0.0513517518	0.0637826948	0.03615929459999999	0.11898634320000001
Sub42	0.096534557	0.17623469	0.117878962	0.223644862	0.06960050679999999	0.0566993336	0.0680749074	0.043436235999999996	0.147895936
Sub43	0.12389194799999999	0.225515424	0.07994920799999998	0.13032124	0.123547327	0.059623519400000005	0.0819991814	0.0449138726	0.130238304
Sub44	0.12327551080000002	0.130303776	0.109028488	0.170590132	0.143464638	0.05934689280000001	0.080391984	0.0488884692	0.13471010300000003
Sub45	0.138927616	0.235902774	0.054896031199999994	0.071010827	0.23182389800000003	0.05265770439999999	0.096615813	0.052251402200000005	0.06591392059999998
Sub46	0.0685546744	0.1138543914	0.06080303859999999	0.10622101079999999	0.1495605308	0.0457436334	0.062513563	0.042819539399999995	0.34992964
Sub47	0.0730727096	0.10780964639999999	0.07292773100000001	0.10639605560000001	0.24010176999999996	0.047713192	0.061519982999999986	0.0524486534	0.23801028000000005
Sub48	0.10341337340000001	0.163828938	0.0730898578	0.0932277508	0.328502758	0.039411584799999996	0.0785800564	0.029588615800000002	0.090357081
Sub49	0.10129882800000001	0.23500121200000001	0.0533593284	0.164236534	0.267561234	0.0402519466	0.06319046860000001	0.030074503600000004	0.0450259724
Sub50	0.1099821912	0.14303594	0.0852368848	0.120074704	0.269397822	0.06083241359999999	0.06358627680000001	0.054399927800000004	0.0934538268
Sub51	0.0890357936	0.149898356	0.09484210299999998	0.161090146	0.251871036	0.046824572599999996	0.08053574	0.0354304936	0.090471742
Sub52	0.1198480324	0.16090716400000002	0.0318157268	0.17420353799999996	0.198563672	0.033724013	0.07793663819999999	0.0229228222	0.180078362
Sub53	0.0736744528	0.07544569840000001	0.11586059099999999	0.217327672	0.0473583308	0.0504978374	0.076557728	0.0507942088	0.292483482
Sub54	0.074708942	0.11663599580000002	0.0879904416	0.12311411680000002	0.245930442	0.0511140368	0.063530754	0.046603510800000005	0.19037176
Sub55	0.080803595	0.080646888	0.0672087756	0.24839288799999998	0.10605367399999999	0.0449967862	0.076573682	0.0335414218	0.261782278
Sub56	0.064452526	0.05765332720000001	0.11417342999999999	0.316996312	0.0276636824	0.0642199416	0.0704385652	0.0457917954	0.238610418
Sub57	0.11084957199999998	0.10897985179999999	0.127086388	0.126052492	0.24436779399999997	0.060967421200000003	0.0896348388	0.0430039426	0.08905771119999999
Sub58	0.095541357	0.164811994	0.04955405659999999	0.15516347400000002	0.319810382	0.040813835799999997	0.0735238544	0.035185667	0.0655953904
Sub59	0.083229682	0.077016508	0.06687415199999999	0.20231368200000005	0.22055599799999998	0.0528213018	0.08234022939999999	0.045166385399999995	0.169682054
Sub60	0.0878414046	0.05581705800000001	0.06666322799999999	0.368357806	0.07477865219999999	0.0495696114	0.071827759	0.0392451164	0.185899366
Sub61	0.0568350884	0.07786109620000001	0.0490224024	0.139668252	0.0799718554	0.035112479200000005	0.0497591036	0.034131344800000005	0.47763836
Sub62	0.11295599519999999	0.3054294700000001	0.073772851	0.058522955200000004	0.257280418	0.060470642000000005	0.061500638399999995	0.0434505696	0.026616467999999997
Sub63	0.136985662	0.172631688	0.10076874400000002	0.058738609	0.29295049600000006	0.061712800400000004	0.06253839280000001	0.0480199194	0.06565365740000001
Sub64	0.08859001879999999	0.12535622	0.09313616999999999	0.0599101004	0.305387772	0.06337668179999999	0.0904210696	0.0503205558	0.1235014368
Sub65	0.08080608079999999	0.168470422	0.12863083400000003	0.21075001599999998	0.0633099032	0.0703792988	0.14633113199999997	0.0587351748	0.07258719000000001
Sub66	0.08075146180000001	0.06485060740000001	0.060913277	0.172425286	0.39304690999999997	0.0476135104	0.07833195000000001	0.047801139199999995	0.0542658454
Sub67	0.0883632312	0.09667072200000001	0.08979682039999999	0.17124349	0.199529114	0.058885069	0.083227022	0.0498574568	0.16242707
