,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.0203402778,0.0906128852,0.088066956,0.394529079,0.094508911,0.0320478671999999,0.0095177272,0.0587156236,0.0624082912
GSM2154806,0.0230995939999999,0.0842291748,0.0755069888,0.439101348,0.0937854382,0.0391636602,0.0080783445999999,0.0688993044,0.0666533119999999
GSM2154808,0.0269816318,0.088457721,0.0679380198,0.5200675459999998,0.0490051656,0.0320900478,0.00773202286,0.0636418478,0.0466434191999999
GSM2154801,0.095006836,0.0201608962,0.09882123,0.2574902473799999,0.1361532459999999,0.04571901,0.0148789033999999,0.0758619478,0.0553598347999999
GSM2154807,0.0258154712,0.085063597,0.098084916,0.41188961,0.0906333479999999,0.0333840738,0.0097932449,0.070444297,0.0582368432
GSM2154802,0.095568266,0.049978254,0.1121535718,0.2363967611999998,0.1145675792,0.0514663694,0.0147775417999999,0.0813296658,0.0794941732
GSM2154805,0.0161459688,0.0780793529999999,0.0685664614,0.4990748551999997,0.078460421,0.0271878732,0.0079814398,0.0501760072,0.0447129749999999
GSM2154804,0.0167726902,0.0704473143999999,0.06198232,0.50706391,0.079511664,0.0305432542,0.0080228871999999,0.0500599044,0.0526609926
GSM2154800,0.0885825,0.021763166,0.0754556212,0.3350857123999999,0.100643938,0.046383383,0.0139872336,0.0709099338,0.0560454958
GSM2154803,0.0651593336,0.0454892134,0.175205174,0.1606299283999999,0.173936118,0.0544639562,0.0123410237,0.0986746838,0.0790370426
