,Macro,DCT,CD-PC,PT,LOH,Podo,Neutro,CD-IC,Endo
GSM2154809,0.0156043553,0.088317726,0.0809345736,0.4307674599999999,0.1072962119999999,0.0225198078,0.00772451978,0.071895635,0.082570324
GSM2154806,0.0147249972999999,0.117659274,0.0716299532,0.424475332,0.0985703471999999,0.0238205192,0.00579285494,0.071883161,0.085310041
GSM2154808,0.0161310254,0.132791922,0.06505307,0.52006719,0.0505857527999999,0.0171354347,0.0050070616399999,0.0608676369999999,0.0544475428
GSM2154801,0.0516952459999999,0.0638074684,0.1294579049999999,0.14002594,0.134431346,0.0330641592,0.0148972313999999,0.1093190321999999,0.135851724
GSM2154807,0.0157166753999999,0.109518713,0.0844443572,0.433599948,0.087869011,0.0196117159999999,0.00686153604,0.0772279729999999,0.0796915398
GSM2154802,0.0539409712,0.0823003546,0.105733741,0.213194176,0.1130351216,0.0305689552,0.0115499542,0.089773232,0.1387574888
GSM2154805,0.0114258294,0.0803404732,0.0599120071999999,0.564086948,0.080096592,0.0174506436,0.0060311110599999,0.0559553932,0.0507675413999999
GSM2154804,0.01247082,0.0794011276,0.0589613596,0.5397549620000001,0.0871590972,0.02008394,0.00568437152,0.058330232,0.0604600622
GSM2154800,0.0522302948,0.0618322754,0.1004448628,0.2345915999999999,0.1112053232,0.0341904894,0.0142398831999999,0.0984939606,0.121244481
GSM2154803,0.0415193836,0.0756280481999999,0.172942316,0.115767595,0.1219981248,0.031526503,0.01019739464,0.1003859606,0.183046416
