	beta	alpha	delta	gamma	endothelial	acinar	ductal
Sub1	0.153683788	0.176769856	0.0703524214	0.091723275	0.0297456776	0.10254906320000001	0.37517590400000006
Sub2	0.172670156	0.483084766	0.0708515154	0.0694100432	0.033998281	0.0509601764	0.11902508919999999
Sub3	0.184345552	0.24407798	0.0986063028	0.06548990019999999	0.035287279	0.17410814	0.198084872
Sub4	0.297953154	0.18281851	0.1123025302	0.20248394000000003	0.0249568722	0.066522202	0.112962814
Sub5	0.147154992	0.10460782179999999	0.061622057600000016	0.07445634	0.0150604162	0.13872737200000002	0.458371026
Sub6	0.42949213999999997	0.197356504	0.129716456	0.09289869399999999	0.068681562	0.027570376400000002	0.054284275400000005
Sub7	0.28653885199999996	0.278475372	0.1105053148	0.0870018218	0.0349305084	0.0826521268	0.11989597199999999
Sub8	0.43277315400000005	0.226657438	0.08305863919999999	0.0816866232	0.036561900800000005	0.0764725648	0.0627897214
Sub9	0.182270756	0.14725609	0.099463334	0.091893384	0.02828116	0.118456072	0.33237917199999994
Sub10	0.21986520199999998	0.148656034	0.078765768	0.060107162000000006	0.035549045200000004	0.083024218	0.37403256999999995
Sub11	0.0527243002	0.0925646606	0.048048166999999996	0.06273026179999999	0.0517328566	0.35933487799999997	0.332864844
Sub12	0.105691161	0.228199282	0.08856739040000002	0.11066751999999999	0.063971324	0.14924816800000001	0.253655104
Sub13	0.25880188	0.199839082	0.10976573280000002	0.124674434	0.047404395800000006	0.0791638148	0.180350668
Sub14	0.08651337699999999	0.0691886102	0.0403047882	0.056682122200000004	0.0264729644	0.25230050600000004	0.46853763600000004
Sub15	0.252531016	0.270004284	0.094711509	0.07577962320000001	0.0272858046	0.0717665738	0.20792118000000004
Sub16	0.353638088	0.17416378	0.10798958699999998	0.094324888	0.045296369600000004	0.08992506980000001	0.134662228
Sub17	0.365703812	0.15598057	0.138056882	0.0984344668	0.0587741808	0.061540409	0.12150966599999999
Sub18	0.30009025800000005	0.21122555799999998	0.10049284	0.09245266999999999	0.0576900304	0.08883492	0.149213704
Sub19	0.25666005199999997	0.21902423	0.08432056400000001	0.0887374492	0.038682393800000006	0.12520778	0.187367534
Sub20	0.298349124	0.30571385400000006	0.134570262	0.07561741	0.0334586432	0.036971145999999996	0.11531955279999999
Sub21	0.453921516	0.222382552	0.1115972752	0.055139095400000004	0.0283936576	0.035430152000000006	0.093135722
Sub22	0.213622464	0.1697491228	0.08489587299999998	0.088757358	0.05167651040000001	0.14882425800000001	0.2424744
Sub23	0.214190438	0.23441322600000003	0.08736176980000002	0.085636248	0.015656305500000002	0.172531772	0.19021021999999999
Sub24	0.279520048	0.14586196999999998	0.0999662232	0.0858637824	0.044670393	0.1010644668	0.243053098
Sub25	0.12433949120000001	0.12257070160000001	0.0579861702	0.0760004028	0.0241632526	0.24779634999999994	0.347143626
Sub26	0.21212576200000002	0.136532632	0.0703393956	0.0671128744	0.024651202200000003	0.202534206	0.286703928
Sub27	0.259715856	0.230988778	0.08091860040000001	0.07453468199999999	0.032930719600000005	0.127345606	0.19356577000000003
Sub28	0.220442436	0.203516474	0.073188703	0.061475939800000004	0.025582355	0.1079262812	0.307867786
Sub29	0.263461766	0.288708598	0.117200528	0.0990343822	0.028889961000000002	0.053305327199999995	0.149399404
Sub30	0.31392336800000004	0.36169096800000006	0.083434513	0.0637133436	0.022613095399999998	0.060948843200000005	0.09367586680000002
Sub31	0.24184357000000004	0.250085728	0.09899851400000001	0.080965358	0.039544588400000004	0.1069599268	0.181602296
Sub32	0.08703933999999999	0.25661326	0.0914333302	0.082565822	0.0583915832	0.192516814	0.23143985000000003
Sub33	0.34324536400000005	0.183548298	0.117675785	0.10675846419999999	0.041111792800000005	0.09631815319999999	0.11134217799999999
Sub34	0.251255558	0.332225828	0.11378173	0.07328271	0.0387754584	0.10982707039999999	0.0808516232
Sub35	0.21858479800000002	0.133519298	0.0715310798	0.10451479699999999	0.0392223146	0.20425326400000002	0.228374444
Sub36	0.137615962	0.120228478	0.058898555000000005	0.0498970704	0.0165048608	0.31028862199999996	0.306566478
Sub37	0.235072532	0.35189743599999995	0.09025317199999999	0.06653718859999999	0.0238574312	0.07736132840000001	0.155020948
Sub38	0.397102372	0.288867886	0.12262648899999999	0.10131925020000002	0.0243656196	0.0335104388	0.0322079774
Sub39	0.40265970400000006	0.146606466	0.10807521599999999	0.102236642	0.0177890512	0.11445571079999999	0.10817720500000001
Sub40	0.0674437384	0.100987354	0.05938068719999999	0.06759876520000001	0.0467202932	0.36102808399999997	0.29684110399999997
Sub41	0.159321386	0.317125322	0.093949023	0.0648482128	0.0275842256	0.1092183722	0.227953428
Sub42	0.09793415000000001	0.27236374999999996	0.08087845600000002	0.07441583800000001	0.0359775566	0.130015998	0.308414262
Sub43	0.143264089	0.343951976	0.09280060700000001	0.084129855	0.028396371200000003	0.1034502088	0.20400687200000003
Sub44	0.187655922	0.19310670800000002	0.10673967479999999	0.09073945759999999	0.03614459760000001	0.150345664	0.23526797400000002
Sub45	0.25251761	0.29481274	0.1436997168	0.1195357578	0.0381454536	0.059650448599999996	0.0916382692
Sub46	0.173618444	0.23577451	0.07908913480000002	0.07916819239999999	0.0368228556	0.22383959	0.17168724319999998
Sub47	0.27413921199999997	0.19671366799999998	0.08367368099999999	0.0864488512	0.040516738399999995	0.177297412	0.141210438
Sub48	0.283743442	0.277890696	0.1153499262	0.10382598999999999	0.025504414799999996	0.082829157	0.11085635600000002
Sub49	0.28167813399999997	0.321473754	0.0730749458	0.0635336524	0.0159689162	0.0466423044	0.19762831000000003
Sub50	0.27709199	0.240296966	0.09572897500000001	0.06660965960000001	0.036208919	0.08704985400000001	0.197013606
Sub51	0.2520429599999999	0.21970605	0.0959339008	0.08993330499999999	0.027303121200000002	0.10060785720000001	0.21447281
Sub52	0.21846302800000003	0.23470455	0.10943661200000002	0.07034321439999999	0.0095355572	0.150671626	0.20684542600000003
Sub53	0.0839833612	0.123602294	0.05900299980000001	0.0806641186	0.035116812000000004	0.30416922599999996	0.313461202
Sub54	0.255772676	0.19788519400000001	0.0852995452	0.0772906102	0.039399378	0.19392274	0.15042985400000003
Sub55	0.13883875699999998	0.1335459352	0.06886478	0.067290342	0.0198780554	0.238596838	0.33298530800000004
Sub56	0.0517903604	0.10507188600000002	0.053769582999999996	0.069356952	0.03953842419999999	0.25043939000000004	0.430033388
Sub57	0.25755598599999996	0.19379998	0.0972347872	0.10037032799999998	0.038125273599999995	0.1044636864	0.20844993
Sub58	0.29769558200000007	0.24433043599999998	0.09223960519999999	0.0769376358	0.019069370199999998	0.0703650874	0.19936230800000002
Sub59	0.24432832599999998	0.1342212982	0.0686755164	0.0758709372	0.0270338288	0.172865762	0.27700431
Sub60	0.10814564199999999	0.08944172539999999	0.05931737499999999	0.055577914000000006	0.021168980999999996	0.25679778200000003	0.4095506159999999
Sub61	0.129197784	0.15578536199999998	0.060476961600000004	0.05729990979999999	0.023834866200000002	0.359120216	0.21428492400000004
Sub62	0.234668614	0.44681867999999997	0.092410929	0.073932617	0.0296218876	0.031198420999999994	0.09134886440000001
Sub63	0.25569798600000004	0.31538221	0.12364576899999999	0.0827949278	0.0407724598	0.058739485800000005	0.12296719
Sub64	0.257896086	0.23082187599999998	0.1142572012	0.1219412808	0.0462597626	0.11302117	0.11580264600000001
Sub65	0.08919636959999999	0.24925077	0.09841851800000001	0.205191564	0.058465069800000005	0.08688393600000001	0.21259380400000003
Sub66	0.351689886	0.124074231	0.11713962199999998	0.121280283	0.0427821422	0.082104924	0.160928934
Sub67	0.207958132	0.171510758	0.088839906	0.0939700688	0.038152519600000004	0.174036058	0.22553257599999998
Sub68	0.29796898	0.22212034200000003	0.126309709	0.12683593799999998	0.0567510262	0.0780952182	0.09191880320000001
Sub69	0.37192437600000006	0.25511702999999997	0.116453944	0.08486679	0.0226808994	0.0478807318	0.10107621679999998
Sub70	0.166406376	0.241313912	0.10383779600000001	0.10486929600000001	0.053130450800000006	0.127460462	0.20298173200000003
Sub71	0.16410069200000002	0.265261762	0.0908457698	0.0727160336	0.0100496578	0.08653149	0.31049458199999996
Sub72	0.490581552	0.17543671200000002	0.101334542	0.0910082272	0.0454646192	0.030065783799999996	0.0661085676
Sub73	0.1142577458	0.36121496999999997	0.07002814900000001	0.07544077	0.0205029646	0.085298764	0.273256638
Sub74	0.048260800199999995	0.14414802200000001	0.0383669204	0.057298864399999996	0.021707291400000002	0.249777876	0.440440202
Sub75	0.18986186200000002	0.16487682399999998	0.0914865948	0.105237989	0.0490457724	0.062103727	0.33738721800000004
